legal_name,Gender
Noxolo Abraham-Ntantiso,F
Jackson Bici,M
Zoleka Capa,F
John Cupido,M
Mxolisi Dimaza,M
Thembeka Dunywa,F
Koliswa Fihlani,F
Madlenkosi Galo,M
Nomawethu Gqiba,F
Sicelo Gqobana,M
Dacre Haddon,M
Nomfundo Jamjam,F
Mcebisi Jonas,M
Noxolo Kiviet,F
Deborah Komose,F
John Phillip Korkie,M
Vuyani Morgan Limba,M
Nkosinathi Kuluta,M
Sam Kwelita,M
Pemmy Majodina,F
Busisiwe Makaula,F
Mandla Makupula,M
Thandiswa Marawu,F
Christian Martin,M
Phumulo Masualle,M
Humphrey Maxegwana,M
Masiza Max Mhlati,M
Nomvuzo Mlombile-Cingo,F
Phumzile Justice Mnguni,M
Phumeza Mpushe,F
Mzoleli Mrara,M
Nomxolisi Mtitshana,F
Viola Mtongana,F
Alfred Mtsi,M
Nonkosi Mvana,F
Veliswa Mvenya,F
Ntombesine Ndabeni,F
Dennis Sehloho Neer,M
Kadini Joel Ngalo,M
Phila Nkayi,M
Xolile Nqatha,M
Mbulelo Ntenjwa,M
Mninawa Nyusile,M
Xola Pakati,M
Nomalungelo Petela-Ngcanga,F
Michael Peter,M
Imamile Aubin Pikinini,M
Alice Nomvula Ponco,F
Mlibo Qoboshiyane,M
Phindiwe Samka-Mququ,F
Helen Sauls-August,F
Robert (Bobby) Stevenson,M
Zukiswa Thabaneng,F
Xoliswa Tom,F
Athol Trollip,M
Bulelwa Tunyiswa,F
Ncwadi Christopher Tunyiswa,M
Peter Edmund van Vuuren,M
Tabiso Wana,F
Angela Woodhall,F
Fikile Xasa,M
Ntombizodwa Tamara Xhanti,F
