legal_name,place_kind,place_name,organisation_kind,organisation_name,position_title
Mari George,Province,KwaZulu-Natal,KwaZulu-Natal Provincial Legislature Committee,Works Committee,Alternate Member
Mari George,Province,KwaZulu-Natal,Political Party,Democratic Alliance (DA),Party Member
Mari George,Province,KwaZulu-Natal,Provincial Legislature,KwaZulu-Natal Provincial Legislature,Member of the Provincial Legislature
Mazibuko J,Province,KwaZulu-Natal,KwaZulu-Natal Provincial Legislature Committee,Health Committee,Alternate Member
Mazibuko J,Province,KwaZulu-Natal,KwaZulu-Natal Provincial Legislature Committee,Human Settlement Committee,Committee Member
Mazibuko J,Province,KwaZulu-Natal,KwaZulu-Natal Provincial Legislature Committee,Sports and Recreation Committee,Alternate Member
Mazibuko J,Province,KwaZulu-Natal,KwaZulu-Natal Provincial Legislature Committee,Works Committee,Alternate Member
Mazibuko M.J.,Province,KwaZulu-Natal,KwaZulu-Natal Provincial Legislature Committee,Human Settlement Committee,Committee Member
Mazibuko M.J.,Province,KwaZulu-Natal,KwaZulu-Natal Provincial Legislature Committee,Transport Committee,Committee Member
Mazibuko M.J.,Province,KwaZulu-Natal,Political Party,Inkatha Freedom Party (IFP),Party Member
Mazibuko M.J.,Province,KwaZulu-Natal,Provincial Legislature,KwaZulu-Natal Provincial Legislature,Member of the Provincial Legislature
Mchunu E.S.,Province,KwaZulu-Natal,KwaZulu-Natal Provincial Legislature Committee,Community Safety and Liason Committee,Committee Member
Mchunu E.S.,Province,KwaZulu-Natal,KwaZulu-Natal Provincial Legislature Committee,Premier and Royal Household Committee,Committee Member
Mchunu E.S.,Province,KwaZulu-Natal,KwaZulu-Natal Provincial Legislature Committee,SCOPA Committee,Alternate Member
Mchunu E.S.,Province,KwaZulu-Natal,KwaZulu-Natal Provincial Legislature Committee,Social Development Committee,Alternate Member
Mchunu E.S.,Province,KwaZulu-Natal,KwaZulu-Natal Provincial Legislature Committee,Sports and Recreation Committee,Alternate Member
Mchunu E.S.,Province,KwaZulu-Natal,Political Party,African National Congress (ANC),Party Member
Mchunu E.S.,Province,KwaZulu-Natal,Provincial Legislature,KwaZulu-Natal Provincial Legislature,Member of the Provincial Legislature
Mchunu E.S.,Province,KwaZulu-Natal,Provincial Legislature,KwaZulu-Natal Provincial Legislature,Premier
Mchunu Sizwe,Province,KwaZulu-Natal,KwaZulu-Natal Provincial Legislature Committee,Community Safety and Liason Committee,Committee Member
Mchunu Sizwe,Province,KwaZulu-Natal,KwaZulu-Natal Provincial Legislature Committee,Premier and Royal Household Committee,Committee Member
Mchunu Sizwe,Province,KwaZulu-Natal,Political Party,Democratic Alliance (DA),Party Member
Mchunu Sizwe,Province,KwaZulu-Natal,Provincial Legislature,KwaZulu-Natal Provincial Legislature,Member of the Provincial Legislature
Mchunu T.W.,Province,KwaZulu-Natal,Political Party,African National Congress (ANC),Party Member
Mchunu T.W.,Province,KwaZulu-Natal,Provincial Legislature,KwaZulu-Natal Provincial Legislature,Member of the Provincial Legislature
McKay P.M.,Province,KwaZulu-Natal,KwaZulu-Natal Provincial Legislature Committee,Coop Gov & Trad Affairs,Committee Member
McKay P.M.,Province,KwaZulu-Natal,KwaZulu-Natal Provincial Legislature Committee,Education Committee,Alternate Member
McKay P.M.,Province,KwaZulu-Natal,KwaZulu-Natal Provincial Legislature Committee,Health Committee,Committee Member
McKay P.M.,Province,KwaZulu-Natal,KwaZulu-Natal Provincial Legislature Committee,Public Works Committee,Committee Member
McKay P.M.,Province,KwaZulu-Natal,KwaZulu-Natal Provincial Legislature Committee,SCOPA Committee,Alternate Member
McKay P.M.,Province,KwaZulu-Natal,Political Party,African National Congress (ANC),Party Member
McKay P.M.,Province,KwaZulu-Natal,Provincial Legislature,KwaZulu-Natal Provincial Legislature,Member of the Provincial Legislature
McKay P.M.,Province,KwaZulu-Natal,Provincial Legislature,KwaZulu-Natal Provincial Legislature,Whip
Mdlalose Makhosi,Province,KwaZulu-Natal,KwaZulu-Natal Provincial Legislature Committee,Arts and Culture Committee,Alternate Member
Mdlalose Makhosi,Province,KwaZulu-Natal,KwaZulu-Natal Provincial Legislature Committee,Education Committee,Alternate Member
Mdlalose Makhosi,Province,KwaZulu-Natal,KwaZulu-Natal Provincial Legislature Committee,Health Committee,Committee Member
Mdlalose Makhosi,Province,KwaZulu-Natal,KwaZulu-Natal Provincial Legislature Committee,Premier and Royal Household Committee,Committee Member
Mdlalose Makhosi,Province,KwaZulu-Natal,KwaZulu-Natal Provincial Legislature Committee,Quality of Life Committee,Committee Member
Mdlalose Makhosi,Province,KwaZulu-Natal,KwaZulu-Natal Provincial Legislature Committee,Social Development Committee,Committee Member
Mdlalose Makhosi,Province,KwaZulu-Natal,Political Party,Democratic Alliance (DA),Party Member
Mdlalose Makhosi,Province,KwaZulu-Natal,Provincial Legislature,KwaZulu-Natal Provincial Legislature,Member of the Provincial Legislature
Mdletshe B.N.,Province,KwaZulu-Natal,KwaZulu-Natal Provincial Legislature Committee,Agriculture and Rural Development Committee,Alternate Member
Mdletshe B.N.,Province,KwaZulu-Natal,KwaZulu-Natal Provincial Legislature Committee,Arts and Culture Committee,Alternate Member
Mdletshe B.N.,Province,KwaZulu-Natal,KwaZulu-Natal Provincial Legislature Committee,Conservation and Environment Committee,Committee Member
Mdletshe B.N.,Province,KwaZulu-Natal,KwaZulu-Natal Provincial Legislature Committee,Coop Gov & Trad Affairs,Committee Member
Mdletshe B.N.,Province,KwaZulu-Natal,KwaZulu-Natal Provincial Legislature Committee,Health Committee,Committee Member
Mdletshe B.N.,Province,KwaZulu-Natal,KwaZulu-Natal Provincial Legislature Committee,Premier and Royal Household Committee,Committee Member
Mdletshe B.N.,Province,KwaZulu-Natal,Political Party,Inkatha Freedom Party (IFP),Party Member
Mdletshe B.N.,Province,KwaZulu-Natal,Provincial Legislature,KwaZulu-Natal Provincial Legislature,Chairperson of the causus
Mdletshe B.N.,Province,KwaZulu-Natal,Provincial Legislature,KwaZulu-Natal Provincial Legislature,Member of the Provincial Legislature
Mkhize L.N.,Province,KwaZulu-Natal,KwaZulu-Natal Provincial Legislature Committee,Community Safety and Liason Committee,Committee Member
Mkhize L.N.,Province,KwaZulu-Natal,KwaZulu-Natal Provincial Legislature Committee,Health Committee,Alternate Member
Mkhize L.N.,Province,KwaZulu-Natal,KwaZulu-Natal Provincial Legislature Committee,Loc Gvt & Traditional Affairs,Alternate Member
Mkhize L.N.,Province,KwaZulu-Natal,KwaZulu-Natal Provincial Legislature Committee,Premier and Royal Household Committee,Committee Member
Mkhize L.N.,Province,KwaZulu-Natal,Political Party,African National Congress (ANC),Party Member
Mkhize L.N.,Province,KwaZulu-Natal,Provincial Legislature,KwaZulu-Natal Provincial Legislature,Deputy Chief Whip
Mkhize L.N.,Province,KwaZulu-Natal,Provincial Legislature,KwaZulu-Natal Provincial Legislature,Member of the Provincial Legislature
Mlaba Z.,Province,KwaZulu-Natal,KwaZulu-Natal Provincial Legislature Committee,Coop Gov & Trad Affairs,Committee Member
Mlaba Z.,Province,KwaZulu-Natal,KwaZulu-Natal Provincial Legislature Committee,PMLPPP Committee,Committee Member
Mlaba Z.,Province,KwaZulu-Natal,KwaZulu-Natal Provincial Legislature Committee,Premier and Royal Household Committee,Chair
Mlaba Z.,Province,KwaZulu-Natal,Political Party,African National Congress (ANC),Party Member
Mlaba Z.,Province,KwaZulu-Natal,Provincial Legislature,KwaZulu-Natal Provincial Legislature,Member of the Provincial Legislature
Mlabaza Z,Province,KwaZulu-Natal,KwaZulu-Natal Provincial Legislature Committee,Coop Gov & Trad Affairs,Committee Member
Mlabaza Z,Province,KwaZulu-Natal,KwaZulu-Natal Provincial Legislature Committee,Economic Development and Tourism Committee,Alternate Member
Mncwango L.A.,Province,KwaZulu-Natal,KwaZulu-Natal Provincial Legislature Committee,Education Committee,Alternate Member
Mncwango L.A.,Province,KwaZulu-Natal,KwaZulu-Natal Provincial Legislature Committee,Finance Committee,Alternate Member
Mncwango L.A.,Province,KwaZulu-Natal,KwaZulu-Natal Provincial Legislature Committee,PMLPPP Committee,Alternate Member
Mncwango L.A.,Province,KwaZulu-Natal,KwaZulu-Natal Provincial Legislature Committee,SCOPA Committee,Alternate Member
Mncwango L.A.,Province,KwaZulu-Natal,KwaZulu-Natal Provincial Legislature Committee,Transport Committee,Committee Member
Mncwango L.A.,Province,KwaZulu-Natal,Political Party,Inkatha Freedom Party (IFP),Party Member
Mncwango L.A.,Province,KwaZulu-Natal,Provincial Legislature,KwaZulu-Natal Provincial Legislature,Member of the Provincial Legislature
Mohlaka B.S.,Province,KwaZulu-Natal,KwaZulu-Natal Provincial Legislature Committee,Health Committee,Committee Member
Mohlaka B.S.,Province,KwaZulu-Natal,KwaZulu-Natal Provincial Legislature Committee,PMLPPP Committee,Committee Member
Mohlaka B.S.,Province,KwaZulu-Natal,KwaZulu-Natal Provincial Legislature Committee,Quality of Life Committee,Committee Member
Mohlaka B.S.,Province,KwaZulu-Natal,KwaZulu-Natal Provincial Legislature Committee,Social Development Committee,Alternate Member
Mohlaka B.S.,Province,KwaZulu-Natal,Political Party,Inkatha Freedom Party (IFP),Party Member
Mohlaka B.S.,Province,KwaZulu-Natal,Provincial Legislature,KwaZulu-Natal Provincial Legislature,Member of the Provincial Legislature
Moodley S.,Province,KwaZulu-Natal,KwaZulu-Natal Provincial Legislature Committee,Arts and Culture Committee,Alternate Member
Moodley S.,Province,KwaZulu-Natal,KwaZulu-Natal Provincial Legislature Committee,Conservation and Environment Committee,Alternate Member
Moodley S.,Province,KwaZulu-Natal,KwaZulu-Natal Provincial Legislature Committee,Economic Development and Tourism Committee,Committee Member
Moodley S.,Province,KwaZulu-Natal,KwaZulu-Natal Provincial Legislature Committee,PMLPPP Committee,Alternate Member
Moodley S.,Province,KwaZulu-Natal,KwaZulu-Natal Provincial Legislature Committee,SCOPA Committee,Committee Member
Moodley S.,Province,KwaZulu-Natal,KwaZulu-Natal Provincial Legislature Committee,Sports and Recreation Committee,Alternate Member
Moodley S.,Province,KwaZulu-Natal,KwaZulu-Natal Provincial Legislature Committee,Transport Committee,Alternate Member
Moodley S.,Province,KwaZulu-Natal,Political Party,Inkatha Freedom Party (IFP),Party Member
Moodley S.,Province,KwaZulu-Natal,Provincial Legislature,KwaZulu-Natal Provincial Legislature,Member of the Provincial Legislature
Msimango N.P.,Province,KwaZulu-Natal,KwaZulu-Natal Provincial Legislature Committee,Agriculture and Rural Development Committee,Alternate Member
Msimango N.P.,Province,KwaZulu-Natal,KwaZulu-Natal Provincial Legislature Committee,Community Safety and Liason Committee,Alternate Member
Msimango N.P.,Province,KwaZulu-Natal,KwaZulu-Natal Provincial Legislature Committee,Human Settlement Committee,Committee Member
Msimango N.P.,Province,KwaZulu-Natal,KwaZulu-Natal Provincial Legislature Committee,PMLPPP Committee,Alternate Member
Msimango N.P.,Province,KwaZulu-Natal,KwaZulu-Natal Provincial Legislature Committee,Quality of Life Committee,Alternate Member
Msimango N.P.,Province,KwaZulu-Natal,KwaZulu-Natal Provincial Legislature Committee,Transport Committee,Alternate Member
Msimango N.P.,Province,KwaZulu-Natal,Political Party,Inkatha Freedom Party (IFP),Party Member
Msimango N.P.,Province,KwaZulu-Natal,Provincial Legislature,KwaZulu-Natal Provincial Legislature,Member of the Provincial Legislature
Mthembu R.T.,Province,KwaZulu-Natal,KwaZulu-Natal Provincial Legislature Committee,Agriculture and Rural Development Committee,Chair
Mthembu R.T.,Province,KwaZulu-Natal,KwaZulu-Natal Provincial Legislature Committee,Agriculture and Rural Development Committee,Committee Member
Mthembu R.T.,Province,KwaZulu-Natal,KwaZulu-Natal Provincial Legislature Committee,Conservation and Environment Committee,Committee Member
Mthembu R.T.,Province,KwaZulu-Natal,KwaZulu-Natal Provincial Legislature Committee,Economic Development and Tourism Committee,Committee Member
Mthembu R.T.,Province,KwaZulu-Natal,KwaZulu-Natal Provincial Legislature Committee,Health Committee,Alternate Member
Mthembu R.T.,Province,KwaZulu-Natal,KwaZulu-Natal Provincial Legislature Committee,Sports and Recreation Committee,Committee Member
Mthembu R.T.,Province,KwaZulu-Natal,Political Party,African National Congress (ANC),Party Member
Mthembu R.T.,Province,KwaZulu-Natal,Provincial Legislature,KwaZulu-Natal Provincial Legislature,Member of the Provincial Legislature
Mthethwa T.P.,Province,KwaZulu-Natal,KwaZulu-Natal Provincial Legislature Committee,Arts and Culture Committee,Committee Member
Mthethwa T.P.,Province,KwaZulu-Natal,KwaZulu-Natal Provincial Legislature Committee,Education Committee,Alternate Member
Mthethwa T.P.,Province,KwaZulu-Natal,KwaZulu-Natal Provincial Legislature Committee,Loc Gvt & Traditional Affairs,Alternate Member
Mthethwa T.P.,Province,KwaZulu-Natal,KwaZulu-Natal Provincial Legislature Committee,Quality of Life Committee,Committee Member
Mthethwa T.P.,Province,KwaZulu-Natal,KwaZulu-Natal Provincial Legislature Committee,Sports and Recreation Committee,Committee Member
Mthethwa T.P.,Province,KwaZulu-Natal,Political Party,Inkatha Freedom Party (IFP),Party Member
Mthethwa T.P.,Province,KwaZulu-Natal,Provincial Legislature,KwaZulu-Natal Provincial Legislature,Member of the Provincial Legislature
Mthimkhulu M.E.,Province,KwaZulu-Natal,Political Party,African National Congress (ANC),Party Member
Mthimkhulu M.E.,Province,KwaZulu-Natal,Provincial Legislature,KwaZulu-Natal Provincial Legislature,Deputy Speaker
Mthimkhulu M.E.,Province,KwaZulu-Natal,Provincial Legislature,KwaZulu-Natal Provincial Legislature,Member of the Provincial Legislature
Mtshali LPHM.,Province,KwaZulu-Natal,KwaZulu-Natal Provincial Legislature Committee,Community Safety and Liason Committee,Alternate Member
Mtshali LPHM.,Province,KwaZulu-Natal,KwaZulu-Natal Provincial Legislature Committee,Economic Development and Tourism Committee,Alternate Member
Mtshali LPHM.,Province,KwaZulu-Natal,KwaZulu-Natal Provincial Legislature Committee,Finance Committee,Committee Member
Mtshali LPHM.,Province,KwaZulu-Natal,KwaZulu-Natal Provincial Legislature Committee,SCOPA Committee,Committee Member
Mtshali LPHM.,Province,KwaZulu-Natal,Political Party,Inkatha Freedom Party (IFP),Party Member
Mtshali LPHM.,Province,KwaZulu-Natal,Provincial Legislature,KwaZulu-Natal Provincial Legislature,Councillor to his Majesty
Mtshali LPHM.,Province,KwaZulu-Natal,Provincial Legislature,KwaZulu-Natal Provincial Legislature,Member of the Provincial Legislature
Nahara Y.M.,Province,KwaZulu-Natal,KwaZulu-Natal Provincial Legislature Committee,Agriculture and Rural Development Committee,Committee Member
Nahara Y.M.,Province,KwaZulu-Natal,KwaZulu-Natal Provincial Legislature Committee,Conservation and Environment Committee,Committee Member
Nahara Y.M.,Province,KwaZulu-Natal,KwaZulu-Natal Provincial Legislature Committee,Economic Development and Tourism Committee,Alternate Member
Nahara Y.M.,Province,KwaZulu-Natal,KwaZulu-Natal Provincial Legislature Committee,Social Development Committee,Chair
Nahara Y.M.,Province,KwaZulu-Natal,KwaZulu-Natal Provincial Legislature Committee,Social Development Committee,Committee Member
Nahara Y.M.,Province,KwaZulu-Natal,Political Party,African National Congress (ANC),Party Member
Nahara Y.M.,Province,KwaZulu-Natal,Provincial Legislature,KwaZulu-Natal Provincial Legislature,Member of the Provincial Legislature
Naicker S.V.,Province,KwaZulu-Natal,KwaZulu-Natal Provincial Legislature Committee,Agriculture and Rural Development Committee,Alternate Member
Naicker S.V.,Province,KwaZulu-Natal,KwaZulu-Natal Provincial Legislature Committee,Conservation and Environment Committee,Alternate Member
Naicker S.V.,Province,KwaZulu-Natal,KwaZulu-Natal Provincial Legislature Committee,Health Committee,Alternate Member
Naicker S.V.,Province,KwaZulu-Natal,KwaZulu-Natal Provincial Legislature Committee,Human Settlement Committee,Alternate Member
Naicker S.V.,Province,KwaZulu-Natal,KwaZulu-Natal Provincial Legislature Committee,Public Works Committee,Committee Member
Naicker S.V.,Province,KwaZulu-Natal,Political Party,Inkatha Freedom Party (IFP),Party Member
Naicker S.V.,Province,KwaZulu-Natal,Provincial Legislature,KwaZulu-Natal Provincial Legislature,Member of the Provincial Legislature
Naidoo R.,Province,KwaZulu-Natal,KwaZulu-Natal Provincial Legislature Committee,Arts and Culture Committee,Alternate Member
Naidoo R.,Province,KwaZulu-Natal,KwaZulu-Natal Provincial Legislature Committee,Coop Gov & Trad Affairs,Committee Member
Naidoo R.,Province,KwaZulu-Natal,KwaZulu-Natal Provincial Legislature Committee,Finance Committee,Committee Member
Naidoo R.,Province,KwaZulu-Natal,KwaZulu-Natal Provincial Legislature Committee,SCOPA Committee,Committee Member
Naidoo R.,Province,KwaZulu-Natal,Political Party,African National Congress (ANC),Party Member
Naidoo R.,Province,KwaZulu-Natal,Provincial Legislature,KwaZulu-Natal Provincial Legislature,Member of the Provincial Legislature
Ngcobo N.W.,Province,KwaZulu-Natal,KwaZulu-Natal Provincial Legislature Committee,Agriculture and Rural Development Committee,Committee Member
Ngcobo N.W.,Province,KwaZulu-Natal,KwaZulu-Natal Provincial Legislature Committee,Human Settlement Committee,Committee Member
Ngcobo N.W.,Province,KwaZulu-Natal,KwaZulu-Natal Provincial Legislature Committee,PMLPPP Committee,Committee Member
Ngcobo N.W.,Province,KwaZulu-Natal,KwaZulu-Natal Provincial Legislature Committee,Social Development Committee,Alternate Member
Ngcobo N.W.,Province,KwaZulu-Natal,Political Party,African National Congress (ANC),Party Member
Ngcobo N.W.,Province,KwaZulu-Natal,Provincial Legislature,KwaZulu-Natal Provincial Legislature,Member of the Provincial Legislature
Ngcobo N.W.,Province,KwaZulu-Natal,Provincial Legislature,KwaZulu-Natal Provincial Legislature,Whip
Ngxongo H.S.,Province,KwaZulu-Natal,KwaZulu-Natal Provincial Legislature Committee,Agriculture and Rural Development Committee,Alternate Member
Ngxongo H.S.,Province,KwaZulu-Natal,KwaZulu-Natal Provincial Legislature Committee,Community Safety and Liason Committee,Alternate Member
Ngxongo H.S.,Province,KwaZulu-Natal,KwaZulu-Natal Provincial Legislature Committee,Human Settlement Committee,Committee Member
Ngxongo H.S.,Province,KwaZulu-Natal,KwaZulu-Natal Provincial Legislature Committee,Premier and Royal Household Committee,Committee Member
Ngxongo H.S.,Province,KwaZulu-Natal,KwaZulu-Natal Provincial Legislature Committee,Sports and Recreation Committee,Committee Member
Ngxongo H.S.,Province,KwaZulu-Natal,Political Party,African National Congress (ANC),Party Member
Ngxongo H.S.,Province,KwaZulu-Natal,Provincial Legislature,KwaZulu-Natal Provincial Legislature,Member of the Provincial Legislature
Nkonyeni N.P.,Province,KwaZulu-Natal,Political Party,African National Congress (ANC),Party Member
Nkonyeni N.P.,Province,KwaZulu-Natal,Provincial Legislature,KwaZulu-Natal Provincial Legislature,Member of the Provincial Legislature
Nkosi S.C.,Province,KwaZulu-Natal,KwaZulu-Natal Provincial Legislature Committee,Arts and Culture Committee,Committee Member
Nkosi S.C.,Province,KwaZulu-Natal,KwaZulu-Natal Provincial Legislature Committee,Education Committee,Committee Member
Nkosi S.C.,Province,KwaZulu-Natal,KwaZulu-Natal Provincial Legislature Committee,SCOPA Committee,Chair
Nkosi S.C.,Province,KwaZulu-Natal,KwaZulu-Natal Provincial Legislature Committee,SCOPA Committee,Committee Member
Nkosi S.C.,Province,KwaZulu-Natal,KwaZulu-Natal Provincial Legislature Committee,Social Development Committee,Committee Member
Nkosi S.C.,Province,KwaZulu-Natal,KwaZulu-Natal Provincial Legislature Committee,Sports and Recreation Committee,Alternate Member
Nkosi S.C.,Province,KwaZulu-Natal,Political Party,African National Congress (ANC),Party Member
Nkosi S.C.,Province,KwaZulu-Natal,Provincial Legislature,KwaZulu-Natal Provincial Legislature,Member of the Provincial Legislature
Nkwanyana NJ,Province,KwaZulu-Natal,KwaZulu-Natal Provincial Legislature Committee,Community Safety and Liason Committee,Alternate Member
Nkwanyana NJ,Province,KwaZulu-Natal,KwaZulu-Natal Provincial Legislature Committee,Economic Development and Tourism Committee,Alternate Member
Nkwanyana NJ,Province,KwaZulu-Natal,KwaZulu-Natal Provincial Legislature Committee,Health Committee,Committee Member
Nkwanyana NJ,Province,KwaZulu-Natal,KwaZulu-Natal Provincial Legislature Committee,Social Development Committee,Alternate Member
Noel M.V.,Province,KwaZulu-Natal,KwaZulu-Natal Provincial Legislature Committee,PMLPPP Committee,Committee Member
Noel M.V.,Province,KwaZulu-Natal,Political Party,African National Congress (ANC),Party Member
Noel M.V.,Province,KwaZulu-Natal,Provincial Legislature,KwaZulu-Natal Provincial Legislature,Member of the Provincial Legislature
Noel N,Province,KwaZulu-Natal,KwaZulu-Natal Provincial Legislature Committee,Community Safety and Liason Committee,Alternate Member
Noel N,Province,KwaZulu-Natal,KwaZulu-Natal Provincial Legislature Committee,PMLPPP Committee,Committee Member
Noel V,Province,KwaZulu-Natal,KwaZulu-Natal Provincial Legislature Committee,Arts and Culture Committee,Alternate Member
Noel V,Province,KwaZulu-Natal,KwaZulu-Natal Provincial Legislature Committee,Human Settlement Committee,Alternate Member
Ntombela N.,Province,KwaZulu-Natal,KwaZulu-Natal Provincial Legislature Committee,Economic Development and Tourism Committee,Chair
Ntombela N.,Province,KwaZulu-Natal,KwaZulu-Natal Provincial Legislature Committee,Economic Development and Tourism Committee,Committee Member
Ntombela N.,Province,KwaZulu-Natal,KwaZulu-Natal Provincial Legislature Committee,Education Committee,Committee Member
Ntombela N.,Province,KwaZulu-Natal,KwaZulu-Natal Provincial Legislature Committee,Finance Committee,Alternate Member
Ntombela N.,Province,KwaZulu-Natal,KwaZulu-Natal Provincial Legislature Committee,Health Committee,Committee Member
Ntombela N.,Province,KwaZulu-Natal,Political Party,African National Congress (ANC),Party Member
Ntombela N.,Province,KwaZulu-Natal,Provincial Legislature,KwaZulu-Natal Provincial Legislature,Member of the Provincial Legislature
Ntuli B,Province,KwaZulu-Natal,KwaZulu-Natal Provincial Legislature Committee,Community Safety and Liason Committee,Committee Member
Ntuli B,Province,KwaZulu-Natal,KwaZulu-Natal Provincial Legislature Committee,Conservation and Environment Committee,Alternate Member
Ntuli B,Province,KwaZulu-Natal,KwaZulu-Natal Provincial Legislature Committee,Premier and Royal Household Committee,Committee Member
Ntuli B,Province,KwaZulu-Natal,KwaZulu-Natal Provincial Legislature Committee,Transport Committee,Committee Member
Ntuli M,Province,KwaZulu-Natal,KwaZulu-Natal Provincial Legislature Committee,Conservation and Environment Committee,Committee Member
Ntuli M,Province,KwaZulu-Natal,KwaZulu-Natal Provincial Legislature Committee,PMLPPP Committee,Committee Member
Ntuli M,Province,KwaZulu-Natal,KwaZulu-Natal Provincial Legislature Committee,Premier and Royal Household Committee,Alternate Member
Ntuli M,Province,KwaZulu-Natal,KwaZulu-Natal Provincial Legislature Committee,Sports and Recreation Committee,Committee Member
Ntuli M.B.,Province,KwaZulu-Natal,KwaZulu-Natal Provincial Legislature Committee,Community Safety and Liason Committee,Chair
Ntuli M.B.,Province,KwaZulu-Natal,KwaZulu-Natal Provincial Legislature Committee,Community Safety and Liason Committee,Committee Member
Ntuli M.B.,Province,KwaZulu-Natal,KwaZulu-Natal Provincial Legislature Committee,Conservation and Environment Committee,Committee Member
Ntuli M.B.,Province,KwaZulu-Natal,KwaZulu-Natal Provincial Legislature Committee,Premier and Royal Household Committee,Committee Member
Ntuli M.B.,Province,KwaZulu-Natal,KwaZulu-Natal Provincial Legislature Committee,Transport Committee,Committee Member
Ntuli M.B.,Province,KwaZulu-Natal,Political Party,African National Congress (ANC),Party Member
Ntuli M.B.,Province,KwaZulu-Natal,Provincial Legislature,KwaZulu-Natal Provincial Legislature,Member of the Provincial Legislature
Ntuli M.M.,Province,KwaZulu-Natal,KwaZulu-Natal Provincial Legislature Committee,PMLPPP Committee,Committee Member
Ntuli M.M.,Province,KwaZulu-Natal,KwaZulu-Natal Provincial Legislature Committee,Sports and Recreation Committee,Committee Member
Ntuli M.M.,Province,KwaZulu-Natal,Political Party,African National Congress (ANC),Party Member
Ntuli M.M.,Province,KwaZulu-Natal,Provincial Legislature,KwaZulu-Natal Provincial Legislature,Member of the Provincial Legislature
Pillay R.R.,Province,KwaZulu-Natal,Political Party,African National Congress (ANC),Party Member
Pillay R.R.,Province,KwaZulu-Natal,Provincial Legislature,KwaZulu-Natal Provincial Legislature,Member of the Provincial Legislature
Radebe B.M.,Province,KwaZulu-Natal,Political Party,African National Congress (ANC),Party Member
Radebe B.M.,Province,KwaZulu-Natal,Provincial Legislature,KwaZulu-Natal Provincial Legislature,Member of the Provincial Legislature
Scott B.F.,Province,KwaZulu-Natal,KwaZulu-Natal Provincial Legislature Committee,Economic Development and Tourism Committee,Committee Member
Scott B.F.,Province,KwaZulu-Natal,KwaZulu-Natal Provincial Legislature Committee,Finance Committee,Chair
Scott B.F.,Province,KwaZulu-Natal,KwaZulu-Natal Provincial Legislature Committee,Finance Committee,Committee Member
Scott B.F.,Province,KwaZulu-Natal,KwaZulu-Natal Provincial Legislature Committee,Loc Gvt & Traditional Affairs,Alternate Member
Scott B.F.,Province,KwaZulu-Natal,KwaZulu-Natal Provincial Legislature Committee,SCOPA Committee,Committee Member
Scott B.F.,Province,KwaZulu-Natal,Political Party,African National Congress (ANC),Party Member
Scott B.F.,Province,KwaZulu-Natal,Provincial Legislature,KwaZulu-Natal Provincial Legislature,Member of the Provincial Legislature
Shabalala L.F.,Province,KwaZulu-Natal,KwaZulu-Natal Provincial Legislature Committee,Community Safety and Liason Committee,Committee Member
Shabalala L.F.,Province,KwaZulu-Natal,KwaZulu-Natal Provincial Legislature Committee,Health Committee,Committee Member
Shabalala L.F.,Province,KwaZulu-Natal,KwaZulu-Natal Provincial Legislature Committee,PMLPPP Committee,Alternate Member
Shabalala L.F.,Province,KwaZulu-Natal,KwaZulu-Natal Provincial Legislature Committee,Sports and Recreation Committee,Committee Member
Shabalala L.F.,Province,KwaZulu-Natal,KwaZulu-Natal Provincial Legislature Committee,Transport Committee,Committee Member
Shabalala L.F.,Province,KwaZulu-Natal,Political Party,African National Congress (ANC),Party Member
Shabalala L.F.,Province,KwaZulu-Natal,Provincial Legislature,KwaZulu-Natal Provincial Legislature,Chief Whip
Shabalala L.F.,Province,KwaZulu-Natal,Provincial Legislature,KwaZulu-Natal Provincial Legislature,Member of the Provincial Legislature
Shabalala N.B.,Province,KwaZulu-Natal,KwaZulu-Natal Provincial Legislature Committee,Arts and Culture Committee,Committee Member
Shabalala N.B.,Province,KwaZulu-Natal,KwaZulu-Natal Provincial Legislature Committee,Education Committee,Committee Member
Shabalala N.B.,Province,KwaZulu-Natal,KwaZulu-Natal Provincial Legislature Committee,Social Development Committee,Alternate Member
Shabalala N.B.,Province,KwaZulu-Natal,KwaZulu-Natal Provincial Legislature Committee,Sports and Recreation Committee,Committee Member
Shabalala N.B.,Province,KwaZulu-Natal,KwaZulu-Natal Provincial Legislature Committee,Works Committee,Alternate Member
Shabalala N.B.,Province,KwaZulu-Natal,Political Party,Inkatha Freedom Party (IFP),Party Member
Shabalala N.B.,Province,KwaZulu-Natal,Provincial Legislature,KwaZulu-Natal Provincial Legislature,Member of the Provincial Legislature
Shelembe A.,Province,KwaZulu-Natal,Political Party,African National Congress (ANC),Party Member
Shelembe A.,Province,KwaZulu-Natal,Provincial Legislature,KwaZulu-Natal Provincial Legislature,Member of the Provincial Legislature
Sibhidla- Saphetha N.N.,Province,KwaZulu-Natal,Political Party,African National Congress (ANC),Party Member
Sibhidla- Saphetha N.N.,Province,KwaZulu-Natal,Provincial Legislature,KwaZulu-Natal Provincial Legislature,Member of the Provincial Legislature
Sikosana N.D.,Province,KwaZulu-Natal,KwaZulu-Natal Provincial Legislature Committee,Arts and Culture Committee,Committee Member
Sikosana N.D.,Province,KwaZulu-Natal,KwaZulu-Natal Provincial Legislature Committee,Health Committee,Alternate Member
