County Code,County Name,,,,,Const. Code,,Constituency Name,,,,,Ward Code,,Ward Name,,,Full Names A,,,,Full Names B,,,Party/Independent Candidate
1,Mombasa,,,,,1,,Changamwe,,,,,1,,Port Reitz,,,Fadhili Mwalimu,,,,Makarani,,,Orange Democratic Movement
1,Mombasa,,,,,1,,Changamwe,,,,,2,,Kipevu,,,Ibrahim Abdalla,,,,Kondo,,,Orange Democratic Movement
1,Mombasa,,,,,1,,Changamwe,,,,,3,,Airport,,,Mswabbah,,,,Rashid,,,Orange Democratic Movement
1,Mombasa,,,,,1,,Changamwe,,,,,4,,Changamwe,,,Jimmy Khadarli,,,,Odari,,,Orange Democratic Movement
1,Mombasa,,,,,1,,Changamwe,,,,,5,,Chaani,,,Stephen Emmanuel,,,,Wangudi,,,Orange Democratic Movement
1,Mombasa,,,,,2,,Jomvu,,,,,6,,Jomvu Kuu,,,Karisa Nzai,,,,Munyika,,,Orange Democratic Movement
1,Mombasa,,,,,2,,Jomvu,,,,,7,,Miritini,,,Kibwana Swaleh,,,,Baya,,,Orange Democratic Movement
1,Mombasa,,,,,2,,Jomvu,,,,,8,,Mikindani,,,Duncan Odhiambo,,,,Onyango,,,Orange Democratic Movement
1,Mombasa,,,,,3,,Kisauni,,,,,9,,Mjambere,,,Khamis Ali,,,,Mwabashiri,,,Orange Democratic Movement
1,Mombasa,,,,,3,,Kisauni,,,,,10,,Junda,,,Paul Oswago,,,,Onje,,,Orange Democratic Movement
1,Mombasa,,,,,3,,Kisauni,,,,,11,,Bamburi,,,Riziki Fundi,,,,Kitsao,,,Orange Democratic Movement
1,Mombasa,,,,,3,,Kisauni,,,,,12,,Mwakirunge,,,Enock Mwinga,,,,Mwadziwe,,,Orange Democratic Movement
1,Mombasa,,,,,3,,Kisauni,,,,,13,,Mtopanga,,,Lucy Chizi,,,,Chireri,,,Orange Democratic Movement
1,Mombasa,,,,,3,,Kisauni,,,,,14,,Magogoni,,,Zainab Mumba Dera,,,,Omar,,,Orange Democratic Movement
1,Mombasa,,,,,3,,Kisauni,,,,,15,,Shanzu,,,Maimuna Salim,,,,Mwawasi,,,Orange Democratic Movement
1,Mombasa,,,,,4,,Nyali,,,,,16,,Frere Town,,,Amir Mohamed,,,,Thoya,,,Orange Democratic Movement
1,Mombasa,,,,,4,,Nyali,,,,,17,,Ziwa La Ng'ombe,,,Salim David,,,,Kalume,,,Orange Democratic Movement
1,Mombasa,,,,,4,,Nyali,,,,,18,,Mkomani,,,Kizito Okoth,,,,Opeya,,,Orange Democratic Movement
1,Mombasa,,,,,4,,Nyali,,,,,19,,Kongowea,,,Jabess Mdhai,,,,Oduor,,,Orange Democratic Movement
1,Mombasa,,,,,4,,Nyali,,,,,20,,Kadzandani,,,Mohamed Ndanda,,,,Chiro,,,Orange Democratic Movement
1,Mombasa,,,,,5,,Likoni,,,,,21,,Mtongwe,,,Hamisi Musa,,,,Mwidani,,,Orange Democratic Movement
