source,category,feed
www.ghanaweb.com,  general,http://www.ghanaweb.com/feed/newsfeed.xml
www.ghananewsagency.org,general,http://www.ghananewsagency.org/%7Bbaseurl%7Drssfeed.xml
www.graphic.com.gh,general,http://graphic.com.gh/Politics/feed/rss.html
www.modernghana.com,parliament,http://www.modernghana.com/rssfeed/news.xml?cat_id=1&gender=270

