Place Name,Budget Name,Budget Value
ainabkoi-2013,Total Constituency Allocation,69777798
ainamoi-2013,Total Constituency Allocation,69786836
aldai-2013,Total Constituency Allocation,77598455
alego-usonga-2013,Total Constituency Allocation,80470583
awendo-2013,Total Constituency Allocation,71268576
bahati-2013,Total Constituency Allocation,72594027
balambala-2013,Total Constituency Allocation,73852369
banissa-2013,Total Constituency Allocation,98505464
baringo-central-2013,Total Constituency Allocation,69949783
baringo-north-2013,Total Constituency Allocation,75016762
baringo-south-2013,Total Constituency Allocation,70961468
belgut-2013,Total Constituency Allocation,71547004
bobasi-2013,Total Constituency Allocation,88552495
bomachoge-borabu-2013,Total Constituency Allocation,76430298
bomachoge-chache-2013,Total Constituency Allocation,72710357
bomet-central-2013,Total Constituency Allocation,76170798
bomet-east-2013,Total Constituency Allocation,78360411
bonchari-2013,Total Constituency Allocation,74868981
bondo-2013,Total Constituency Allocation,74304713
borabu-2013,Total Constituency Allocation,75861165
budalangi-2013,Total Constituency Allocation,71416710
bumula-2013,Total Constituency Allocation,85034676
bura-2013,Total Constituency Allocation,76941931
bureti-2013,Total Constituency Allocation,79755571
butere-2013,Total Constituency Allocation,79819089
butula-2013,Total Constituency Allocation,81815148
buuri-2013,Total Constituency Allocation,69588509
central-imenti-2013,Total Constituency Allocation,66821605
changamwe-2013,Total Constituency Allocation,65215095
chepalungu-2013,Total Constituency Allocation,87620803
cherangany-2013,Total Constituency Allocation,83145328
chesumei-2013,Total Constituency Allocation,71029957
chuka/igambang’ombe-2013,Total Constituency Allocation,70402984
dadaab-2013,Total Constituency Allocation,85601198
dagoretti-north-2013,Total Constituency Allocation,64977823
dagoretti-south-2013,Total Constituency Allocation,64083427
eldama-ravine-2013,Total Constituency Allocation,67697361
eldas-2013,Total Constituency Allocation,79553201
embakasi-central-2013,Total Constituency Allocation,61693900
embakasi-east-2013,Total Constituency Allocation,62401364
embakasi-north-2013,Total Constituency Allocation,64607566
embakasi-south-2013,Total Constituency Allocation,65786834
embakasi-west-2013,Total Constituency Allocation,61063686
emgwen-2013,Total Constituency Allocation,70488348
emuhaya-2013,Total Constituency Allocation,72298219
emurua-dikirr-2013,Total Constituency Allocation,72410169
endebess-2013,Total Constituency Allocation,71153805
fafi-2013,Total Constituency Allocation,75290099
funyula-2013,Total Constituency Allocation,75763428
galole-2013,Total Constituency Allocation,71994254
ganze-2013,Total Constituency Allocation,91799949
garissa-township-2013,Total Constituency Allocation,65632079
garsen-2013,Total Constituency Allocation,80239023
gatanga-2013,Total Constituency Allocation,74527652
gatundu-north-2013,Total Constituency Allocation,68004552
gatundu-south-2013,Total Constituency Allocation,67569836
gem-2013,Total Constituency Allocation,79342996
gichugu-2013,Total Constituency Allocation,67178399
gilgil-2013,Total Constituency Allocation,73529506
githunguri-2013,Total Constituency Allocation,66686959
hamisi-2013,Total Constituency Allocation,80682798
homa-bay-town-2013,Total Constituency Allocation,72007472
igembe-central-2013,Total Constituency Allocation,77476226
igembe-north-2013,Total Constituency Allocation,81215335
igembe-south-2013,Total Constituency Allocation,73499422
ijara-2013,Total Constituency Allocation,75022454
ikolomani-2013,Total Constituency Allocation,75080891
isiolo-north-2013,Total Constituency Allocation,76566084
isiolo-south-2013,Total Constituency Allocation,68849750
jomvu-2013,Total Constituency Allocation,64126632
juja-2013,Total Constituency Allocation,65909343
kabete-2013,Total Constituency Allocation,67355903
kabondo-kasipul-2013,Total Constituency Allocation,74918207
kabuchai-2013,Total Constituency Allocation,79417240
kacheliba-2013,Total Constituency Allocation,93908056
kaiti-2013,Total Constituency Allocation,75582837
kajiado-central-2013,Total Constituency Allocation,74542261
kajiado-east-2013,Total Constituency Allocation,70219170
kajiado-north-2013,Total Constituency Allocation,69115807
kajiado-south-2013,Total Constituency Allocation,78964640
kajiado-west-2013,Total Constituency Allocation,77183331
kaloleni-2013,Total Constituency Allocation,83731176
kamukunji-2013,Total Constituency Allocation,63213127
kandara-2013,Total Constituency Allocation,74393111
kanduyi-2013,Total Constituency Allocation,90327994
kangema-2013,Total Constituency Allocation,64643255
kangundo-2013,Total Constituency Allocation,72102621
kapenguria-2013,Total Constituency Allocation,82288101
kapseret-2013,Total Constituency Allocation,67792669
karachuonyo-2013,Total Constituency Allocation,80295385
kasarani-2013,Total Constituency Allocation,63933229
kasipul-2013,Total Constituency Allocation,75059249
kathiani-2013,Total Constituency Allocation,68118897
keiyo-north-2013,Total Constituency Allocation,66053271
keiyo-south-2013,Total Constituency Allocation,74946274
kesses-2013,Total Constituency Allocation,72570295
khwisero-2013,Total Constituency Allocation,76654053
kiambaa-2013,Total Constituency Allocation,67071168
kiambu-2013,Total Constituency Allocation,65799783
kibra-2013,Total Constituency Allocation,67873541
kibwezi-east-2013,Total Constituency Allocation,87754311
kibwezi-west-2013,Total Constituency Allocation,89778165
kieni-2013,Total Constituency Allocation,72730749
kigumo-2013,Total Constituency Allocation,71001111
kiharu-2013,Total Constituency Allocation,76179978
kikuyu-2013,Total Constituency Allocation,68631874
kilgoris-2013,Total Constituency Allocation,81173777
kilifi-north-2013,Total Constituency Allocation,91522984
kilifi-south-2013,Total Constituency Allocation,78341780
kilome-2013,Total Constituency Allocation,69766330
kimilili-2013,Total Constituency Allocation,67959286
kiminini-2013,Total Constituency Allocation,80952765
kinango-2013,Total Constituency Allocation,110038096
kinangop-2013,Total Constituency Allocation,80630228
kipipiri-2013,Total Constituency Allocation,71587093
kipkelion-east-2013,Total Constituency Allocation,72243727
kipkelion-west-2013,Total Constituency Allocation,72556787
kirinyaga-central-2013,Total Constituency Allocation,66713108
kisauni-2013,Total Constituency Allocation,69255070
kisumu-central-2013,Total Constituency Allocation,63136381
kisumu-east-2013,Total Constituency Allocation,76051617
kisumu-west-2013,Total Constituency Allocation,76304678
kitui-central-2013,Total Constituency Allocation,76718303
kitui-east-2013,Total Constituency Allocation,85068711
kitui-rural-2013,Total Constituency Allocation,74104740
kitui-south-2013,Total Constituency Allocation,94584769
kitui-west-2013,Total Constituency Allocation,66714446
kitutu-chache-north-2013,Total Constituency Allocation,77918354
kitutu-chache-south-2013,Total Constituency Allocation,73722278
kitutu-masaba-2013,Total Constituency Allocation,87769627
konoin-2013,Total Constituency Allocation,77151479
kuresoi-north-2013,Total Constituency Allocation,74237528
kuresoi-south-2013,Total Constituency Allocation,74645444
kuria-east-2013,Total Constituency Allocation,72988976
kuria-west-2013,Total Constituency Allocation,86922090
kwanza-2013,Total Constituency Allocation,81242330
lafey-2013,Total Constituency Allocation,97017837
lagdera-2013,Total Constituency Allocation,77164284
laikipia-east-2013,Total Constituency Allocation,71575155
laikipia-north-2013,Total Constituency Allocation,73494699
laikipia-west-2013,Total Constituency Allocation,86717871
laisamis-2013,Total Constituency Allocation,74385414
lamu-east-2013,Total Constituency Allocation,60186412
lamu-west-2013,Total Constituency Allocation,67004319
langata-2013,Total Constituency Allocation,63146101
lari-2013,Total Constituency Allocation,69573221
likoni-2013,Total Constituency Allocation,66565362
likuyani-2013,Total Constituency Allocation,77911938
limuru-2013,Total Constituency Allocation,71756880
loima-2013,Total Constituency Allocation,90624556
luanda-2013,Total Constituency Allocation,69396664
lugari-2013,Total Constituency Allocation,84286365
lunga-lunga-2013,Total Constituency Allocation,94755147
lurambi-2013,Total Constituency Allocation,72577226
maara-2013,Total Constituency Allocation,66066595
machakos-town-2013,Total Constituency Allocation,78776932
magarini-2013,Total Constituency Allocation,102288872
makadara-2013,Total Constituency Allocation,61674898
makueni-2013,Total Constituency Allocation,98571651
malava-2013,Total Constituency Allocation,88227101
malindi-2013,Total Constituency Allocation,82422859
mandera-east-2013,Total Constituency Allocation,85702452
mandera-north-2013,Total Constituency Allocation,101910878
mandera-south-2013,Total Constituency Allocation,124673643
mandera-west-2013,Total Constituency Allocation,99154411
manyatta-2013,Total Constituency Allocation,69015400
maragwa-2013,Total Constituency Allocation,76261689
marakwet-east-2013,Total Constituency Allocation,73436850
marakwet-west-2013,Total Constituency Allocation,77460899
masinga-2013,Total Constituency Allocation,81240588
matayos-2013,Total Constituency Allocation,77118704
mathare-2013,Total Constituency Allocation,68489371
mathioya-2013,Total Constituency Allocation,65769826
mathira-2013,Total Constituency Allocation,69749494
matuga-2013,Total Constituency Allocation,84008780
matungu-2013,Total Constituency Allocation,81134784
matungulu-2013,Total Constituency Allocation,76872477
mavoko-2013,Total Constituency Allocation,68078211
mbeere-north-2013,Total Constituency Allocation,73052901
mbeere-south-2013,Total Constituency Allocation,76709655
mbita-2013,Total Constituency Allocation,72307304
mbooni-2013,Total Constituency Allocation,87139903
mogotio-2013,Total Constituency Allocation,66563284
moiben-2013,Total Constituency Allocation,74163788
molo-2013,Total Constituency Allocation,68236748
mosop-2013,Total Constituency Allocation,75150991
moyale-2013,Total Constituency Allocation,82357489
msambweni-2013,Total Constituency Allocation,79719089
mt.-elgon-2013,Total Constituency Allocation,87818735
muhoroni-2013,Total Constituency Allocation,77191889
mukurweini-2013,Total Constituency Allocation,67215311
mumias-east-2013,Total Constituency Allocation,73286606
mumias-west-2013,Total Constituency Allocation,70710004
mvita-2013,Total Constituency Allocation,64976201
mwala-2013,Total Constituency Allocation,79309990
mwatate-2013,Total Constituency Allocation,68968974
mwea-2013,Total Constituency Allocation,74941821
mwingi-central-2013,Total Constituency Allocation,84850635
mwingi-north-2013,Total Constituency Allocation,91837332
mwingi-west-2013,Total Constituency Allocation,73442427
naivasha-2013,Total Constituency Allocation,79714596
nakuru-town-east-2013,Total Constituency Allocation,63680666
nakuru-town-west-2013,Total Constituency Allocation,63139839
nambale-2013,Total Constituency Allocation,75112608
nandi-hills-2013,Total Constituency Allocation,70068167
narok-east-2013,Total Constituency Allocation,68089445
narok-north-2013,Total Constituency Allocation,73705869
narok-south-2013,Total Constituency Allocation,82149661
narok-west-2013,Total Constituency Allocation,76699789
navakholo-2013,Total Constituency Allocation,79159288
ndaragwa-2013,Total Constituency Allocation,67775214
ndhiwa-2013,Total Constituency Allocation,84326539
ndia-2013,Total Constituency Allocation,66274384
njoro-2013,Total Constituency Allocation,79218665
north-horr-2013,Total Constituency Allocation,75834968
north-imenti-2013,Total Constituency Allocation,67275272
north-mugirango-2013,Total Constituency Allocation,76831905
nyakach-2013,Total Constituency Allocation,76741363
nyali-2013,Total Constituency Allocation,67589409
nyando-2013,Total Constituency Allocation,78207229
nyaribari-chache-2013,Total Constituency Allocation,76941155
nyaribari-masaba-2013,Total Constituency Allocation,77175000
nyatike-2013,Total Constituency Allocation,77092295
nyeri-town-2013,Total Constituency Allocation,63177178
ol-joro-orok-2013,Total Constituency Allocation,68444682
ol-kalou-2013,Total Constituency Allocation,72962510
othaya-2013,Total Constituency Allocation,65954738
pokot-south-2013,Total Constituency Allocation,82914629
rabai-2013,Total Constituency Allocation,69867981
rangwe-2013,Total Constituency Allocation,72560942
rarieda-2013,Total Constituency Allocation,71102715
rongai-2013,Total Constituency Allocation,72922727
rongo-2013,Total Constituency Allocation,70196227
roysambu-2013,Total Constituency Allocation,65441941
ruaraka-2013,Total Constituency Allocation,67610957
ruiru-2013,Total Constituency Allocation,70752792
