place_name,place_kind,person_name,organisation_name,organisation_kind,position_title
Bulawayo Central,Constituency,Dorcas Sibanda,Parliament,Governmental,Member of Parliament
Bulawayo East,Constituency,Thabitha Khumalo,Parliament,Governmental,Member of Parliament
Bulawayo South,Constituency,Edward G. Cross,Parliament,Governmental,Member of Parliament
EmaKhandeni-Entubane,Constituency,Dingilizwe Tshuma,Parliament,Governmental,Member of Parliament
Lobengula,Constituency,Samuel Sipepa,Parliament,Governmental,Member of Parliament
Luveve,Constituency,Reggie Moyo,Parliament,Governmental,Member of Parliament
Magwegwe,Constituency,Anele Ndebele,Parliament,Governmental,Member of Parliament
Makokoba,Constituency,Gorden Moyo,Parliament,Governmental,Member of Parliament
Nketa,Constituency,Phelele Masuku,Parliament,Governmental,Member of Parliament
Nkulumane,Constituency,Tamsanqa Mahlangu,Parliament,Governmental,Member of Parliament
Pelandaba-Mpompoma,Constituency,Bekithemba Nyathi,Parliament,Governmental,Member of Parliament
Pumula,Constituency,Albert Mhlanga,Parliament,Governmental,Member of Parliament
Budiriro,Constituency,Costa Machingauta,Parliament,Governmental,Member of Parliament
Chitungwiza North,Constituency,Godfrey Sithole,Parliament,Governmental,Member of Parliament
Chutungwiza South,Constituency,Christopher Chigumba,Parliament,Governmental,Member of Parliament
Dzivarasekwa,Constituency,Solomon Madzore,Parliament,Governmental,Member of Parliament
Epworth,Constituency,Amos Midzi,Parliament,Governmental,Member of Parliament
Glen Norah,Constituency,Webster Maondera,Parliament,Governmental,Member of Parliament
Glen View North,Constituency,Fani Munengani,Parliament,Governmental,Member of Parliament
Glen View South,Constituency,Paul Madzore,Parliament,Governmental,Member of Parliament
Harare Cental,Constituency,Murisi Zwizwai,Parliament,Governmental,Member of Parliament
Harare East,Constituency,Tendai Biti,Parliament,Governmental,Member of Parliament
Harare North,Constituency,Tongesai Mudambo,Parliament,Governmental,Member of Parliament
Harare South,Constituency,Shadreck Mashayamombe,Parliament,Governmental,Member of Parliament
Harare West,Constituency,Fungai J Majome,Parliament,Governmental,Member of Parliament
Hatfield,Constituency,Tapiwa Mashakada,Parliament,Governmental,Member of Parliament
Highfield East,Constituency,Erick Murai,Parliament,Governmental,Member of Parliament
Highfield West,Constituency,Moses Manyengawana,Parliament,Governmental,Member of Parliament
Kambuzuma,Constituency,Willias Madzimure,Parliament,Governmental,Member of Parliament
Kuwadzana,Constituency,Lucia Matibenga,Parliament,Governmental,Member of Parliament
Kuwadzna East,Constituency,Nelson Chamisa,Parliament,Governmental,Member of Parliament
Mabvuku-Tafara,Constituency,James Maridadi,Parliament,Governmental,Member of Parliament
Mbare,Constituency,Tendai Savanhu,Parliament,Governmental,Member of Parliament
Mt Pleasant,Constituency,Jaison Passade,Parliament,Governmental,Member of Parliament
Mufakose,Constituency,Paurina Mpariwa,Parliament,Governmental,Member of Parliament
Southerton,Constituency,Gift Chimanikire,Parliament,Governmental,Member of Parliament
St Mary's,Constituency,Unganai Tarusenga,Parliament,Governmental,Member of Parliament
Sunningdale,Constituency,Margaret Matienga,Parliament,Governmental,Member of Parliament
Warren Park,Constituency,Elias Mudzuri,Parliament,Governmental,Member of Parliament
Zengeza East,Constituency,Alexio Musundire,Parliament,Governmental,Member of Parliament
Zengeza West,Constituency,Simon Chidhakwa,Parliament,Governmental,Member of Parliament
Buhera Central,Constituency,Ronald Muderedzwa,Parliament,Governmental,Member of Parliament
Buhera North,Constituency,William Mutomba,Parliament,Governmental,Member of Parliament
Buhera South,Constituency,Joseph Chinotimba,Parliament,Governmental,Member of Parliament
Buhera West,Constituency,Oliver Mandipaka,Parliament,Governmental,Member of Parliament
Chimanimani East,Constituency,Samuel Undenge,Parliament,Governmental,Member of Parliament
Chimanimani West,Constituency,Munacho Mutezo,Parliament,Governmental,Member of Parliament
Chipinge Central,Constituency,Raymore Machingura,Parliament,Governmental,Member of Parliament
Chipinge East,Constituency,Win Busayi Mlambo,Parliament,Governmental,Member of Parliament
Chipinge South,Constituency,Enock Porusingazi,Parliament,Governmental,Member of Parliament
Chipinge West,Constituency,Adam Chimwamurombe,Parliament,Governmental,Member of Parliament
Dangamvura-Chikanga,Constituency,Arnold Tsunga,Parliament,Governmental,Member of Parliament
Headlands,Constituency,Didymua Mutasa,Parliament,Governmental,Member of Parliament
Makoni Central,Constituency,Patrick Chinamasa,Parliament,Governmental,Member of Parliament
Makoni North,Constituency,Francis Muchenje,Parliament,Governmental,Member of Parliament
Makoni South,Constituency,Mandi M. Chimene,Parliament,Governmental,Member of Parliament
Makoni West,Constituency,Kudzanayi Chipanga,Parliament,Governmental,Member of Parliament
Musikavanhu,Constituency,Prosper Mutseyami,Parliament,Governmental,Member of Parliament
Mutare Central,Constituency,Innocent Gonese,Parliament,Governmental,Member of Parliament
Mutare North,Constituency,Batsirayi Pemhenayi,Parliament,Governmental,Member of Parliament
Mutare South,Constituency,Nyasha Chikwinya,Parliament,Governmental,Member of Parliament
Mutare West,Constituency,Christoper Mushohwe,Parliament,Governmental,Member of Parliament
Mutasa Central,Constituency,Trevor Saruwaka,Parliament,Governmental,Member of Parliament
Mutasa North,Constituency,Luke Musamvu,Parliament,Governmental,Member of Parliament
Mutasa South,Constituency,Irene Zindi,Parliament,Governmental,Member of Parliament
Nyanga North,Constituency,Hubert Nyanhongo,Parliament,Governmental,Member of Parliament
Nyanga South,Constituency,Supa C. Mandiwanzira,Parliament,Governmental,Member of Parliament
Bindura North,Constituency,Kenneth S. Musanhi,Parliament,Governmental,Member of Parliament
Bindura South,Constituency,Toendepi Matangira,Parliament,Governmental,Member of Parliament
Guruve North,Constituency,Epmarcus Kanhanga,Parliament,Governmental,Member of Parliament
Guruve South,Constituency,Chriswell Mutematsaka,Parliament,Governmental,Member of Parliament
Mazowe Central,Constituency,Tabetha Kanengoni,Parliament,Governmental,Member of Parliament
Mazowe North,Constituency,Edgar Chidavaenzi,Parliament,Governmental,Member of Parliament
Mazowe South,Constituency,Fortune Chasi,Parliament,Governmental,Member of Parliament
Mazowe West,Constituency,Kazembe Kazembe,Parliament,Governmental,Member of Parliament
Mbire,Constituency,David Butau,Parliament,Governmental,Member of Parliament
Mt Darwin East,Constituency,Christopher Kuruneri,Parliament,Governmental,Member of Parliament
Mt Darwin North,Constituency,Noveti Muponora,Parliament,Governmental,Member of Parliament
Mt Darwin South,Constituency,Saviour Kasukuwere,Parliament,Governmental,Member of Parliament
Mt Darwin West,Constituency,Joice Mujuru,Parliament,Governmental,Member of Parliament
Muzarabani North,Constituency,Alfred Mufunga,Parliament,Governmental,Member of Parliament
Muzarabani south,Constituency,Christopher Chitindi,Parliament,Governmental,Member of Parliament
Rushinga,Constituency,Wonder Mashange,Parliament,Governmental,Member of Parliament
Shamva North,Constituency,Nicholas Goche,Parliament,Governmental,Member of Parliament
Shamva South,Constituency,Joseph Mapiki,Parliament,Governmental,Member of Parliament
Chikomba Central,Constituency,Felix Mhona,Parliament,Governmental,Member of Parliament
Chikomba East,Constituency,Edgar Mbwembwe,Parliament,Governmental,Member of Parliament
Chikomba West,Constituency,Michael Bimha,Parliament,Governmental,Member of Parliament
Goromonzi North,Constituency,Tendayi P. Zhanda,Parliament,Governmental,Member of Parliament
Goromonzi South,Constituency,Petronella Kadonye,Parliament,Governmental,Member of Parliament
Goromonzi West,Constituency,Biata B. Nyamupinga,Parliament,Governmental,Member of Parliament
Maramba Pfungwe,Constituency,Washington Masvaire,Parliament,Governmental,Member of Parliament
Marondera Central,Constituency,Ray Kaukonde,Parliament,Governmental,Member of Parliament
Marondera West,Constituency,Ambrose Mutinhiri,Parliament,Governmental,Member of Parliament
Mudzi North,Constituency,Newten Kachepa,Parliament,Governmental,Member of Parliament
Mudzi South,Constituency,Jonathan Samukange,Parliament,Governmental,Member of Parliament
Mudzi West,Constituency,Aqualina Katsande,Parliament,Governmental,Member of Parliament
Murehwa North,Constituency,Tendayi Makunde,Parliament,Governmental,Member of Parliament
Murehwa South,Constituency,Biggie J. Matiza,Parliament,Governmental,Member of Parliament
Murehwa West,Constituency,Ladislus Ndoro,Parliament,Governmental,Member of Parliament
Mutoko East,Constituency,Mubvumbi Mawere,Parliament,Governmental,Member of Parliament
Mutoko North,Constituency,Mable M. Chinomona,Parliament,Governmental,Member of Parliament
Mutoko South,Constituency,david Chapfika,Parliament,Governmental,Member of Parliament
Seke,Constituency,Phineas Chiota,Parliament,Governmental,Member of Parliament
Uzumba,Constituency,Simbaneuta Mudarikwa,Parliament,Governmental,Member of Parliament
Wedza North,Constituency,Simon Musanhu,Parliament,Governmental,Member of Parliament
Weda South,Constituency,Micheal Madanha,Parliament,Governmental,Member of Parliament
Chakari,Constituency,Aldrin Musiiwa,Parliament,Governmental,Member of Parliament
Chegutu East,Constituency,Webster Shamu,Parliament,Governmental,Member of Parliament
Chegutu West,Constituency,Dextor T. Nduna,Parliament,Governmental,Member of Parliament
Chinhoyi,Constituency,Peter Mataruse,Parliament,Governmental,Member of Parliament
Hurungwe Central,Constituency,Godfrey Beremauro,Parliament,Governmental,Member of Parliament
Hurungwe East,Constituency,Sarah Mahoka,Parliament,Governmental,Member of Parliament
Hurungwe North,Constituency,Reuben Marumahoko,Parliament,Governmental,Member of Parliament
Hurungwe West,Constituency,Temba Mliswa,Parliament,Governmental,Member of Parliament
Kadoma Central,Constituency,Fani Phanuel Phiri,Parliament,Governmental,Member of Parliament
Kariba,Constituency,Isaac Mackenzie,Parliament,Governmental,Member of Parliament
Magunje,Constituency,Godfrey Gandawa,Parliament,Governmental,Member of Parliament
Makonde,Constituency,Kindness Paradza,Parliament,Governmental,Member of Parliament
Mhangura,Constituency,Thomas Maseko,Parliament,Governmental,Member of Parliament
Mhondoro-Mubaira,Constituency,Sylvester Nguni,Parliament,Governmental,Member of Parliament
Mhondoro-Ngezi,Constituency,Mike Gava,Parliament,Governmental,Member of Parliament
Muzvezve,Constituency,Pater Haritotos,Parliament,Governmental,Member of Parliament
Norton,Constituency,Christopher Mutsvangwa,Parliament,Governmental,Member of Parliament
Sanyati,Constituency,Blessed Runesu,Parliament,Governmental,Member of Parliament
Zvimba East,Constituency,Francis Mukwangwariwa,Parliament,Governmental,Member of Parliament
Zvimba North,Constituency,Ignatius Chombo,Parliament,Governmental,Member of Parliament
Zvimba South,Constituency,Walter Chidhakwa,Parliament,Governmental,Member of Parliament
Zvimba West,Constituency,Ziyambi Ziyambi,Parliament,Governmental,Member of Parliament
Bikita East,Constituency,Kennedy Matimba,Parliament,Governmental,Member of Parliament
Bikita South,Constituency,Jeppy Jaboon,Parliament,Governmental,Member of Parliament
Bikita West,Constituency,Munyaradzi Kereke,Parliament,Governmental,Member of Parliament
Chiredzi East,Constituency,Denford Masiya,Parliament,Governmental,Member of Parliament
Chiredzi North,Constituency,Robert Mukwena,Parliament,Governmental,Member of Parliament
Chiredzi South,Constituency,Kalitso Gwanetsa,Parliament,Governmental,Member of Parliament
Chivi Central,Constituency,Ephraim Gwanonodza,Parliament,Governmental,Member of Parliament
Chivi North,Constituency,Mathias Tongofa,Parliament,Governmental,Member of Parliament
Chivi South,Constituency,Mafios Vutete,Parliament,Governmental,Member of Parliament
Gutu Central,Constituency,Lovemore Matuke,Parliament,Governmental,Member of Parliament
Gutu East,Constituency,Berta Chikwama,Parliament,Governmental,Member of Parliament
Gutu South,Constituency,Paul Chimedza,Parliament,Governmental,Member of Parliament
Gutu West,Constituency,Tongai Muzenda,Parliament,Governmental,Member of Parliament
Masvingo Central,Constituency,Edmond Mhere,Parliament,Governmental,Member of Parliament
Masvingo North,Constituency,Davis Murapira,Parliament,Governmental,Member of Parliament
Masvingo South,Constituency,Walter Mzembi,Parliament,Governmental,Member of Parliament
Masvingo Urban,Constituency,Daniel Shumba,Parliament,Governmental,Member of Parliament
Masvingo West,Constituency,Ezira Ruvai,Parliament,Governmental,Member of Parliament
Mwenezi East,Constituency,Chuma K. Bhasikiti,Parliament,Governmental,Member of Parliament
Mwenezi West,Constituency,Lamson Moyo,Parliament,Governmental,Member of Parliament
Zaka Central,Constituency,Paradzai Chakona,Parliament,Governmental,Member of Parliament
Zaka East,Constituency,Samson T. Mukanduri,Parliament,Governmental,Member of Parliament
Zaka North,Constituency,Robson Mavenyengwa,Parliament,Governmental,Member of Parliament
Zaka West,Constituency,Mapetere D. V. Mawere,Parliament,Governmental,Member of Parliament
Chirumanzu-Zibagwe,Constituency,Emmerson Mnangagwa,Parliament,Governmental,Member of Parliament
Chirumanzu,Constituency,Innocent Pedzisai,Parliament,Governmental,Member of Parliament
