AFRICAN CHRISTIAN DEMOCRATIC PARTY,National,1,KENNETH RASELABE JOSEPH,MESHOE
AFRICAN CHRISTIAN DEMOCRATIC PARTY,National,2,STEVEN NICHOLAS,SWART
AFRICAN CHRISTIAN DEMOCRATIC PARTY,National,3,CHERYLLYN,DUDLEY
AFRICAN CHRISTIAN DEMOCRATIC PARTY,National,4,WAYNE MAXIM,THRING
AFRICAN CHRISTIAN DEMOCRATIC PARTY,National,5,OCTAVIA MATSHIDISO,MDHLULI
AFRICAN CHRISTIAN DEMOCRATIC PARTY,National,6,MOKHETHI RAYMOND,TLAELI
AFRICAN CHRISTIAN DEMOCRATIC PARTY,National,7,MOKADI DANIEL,MATSIMELA
AFRICAN CHRISTIAN DEMOCRATIC PARTY,National,8,ANNIRUTH,KISSOONDUTH
AFRICAN CHRISTIAN DEMOCRATIC PARTY,National,9,GAYNORE,CELE
AFRICAN CHRISTIAN DEMOCRATIC PARTY,National,10,EDWARD,PESULO
AFRICAN CHRISTIAN DEMOCRATIC PARTY,National,11,GERHARDUS PETRUS,KOEKEMOER
AFRICAN CHRISTIAN DEMOCRATIC PARTY,National,12,MBELU EMMANUELLE KABAMBA,MUTEBA
AFRICAN CHRISTIAN DEMOCRATIC PARTY,National,13,BRENDON,GOVENDER
AFRICAN CHRISTIAN DEMOCRATIC PARTY,National,14,LINDA MERIDY,YATES
AFRICAN CHRISTIAN DEMOCRATIC PARTY,National,15,JANE REIKANTSEMANG,MOKGELE
AFRICAN CHRISTIAN DEMOCRATIC PARTY,National,16,TAMBO ANDREW,MOKOENA
AFRICAN CHRISTIAN DEMOCRATIC PARTY,National,17,MARSHA,GABRIEL
AFRICAN CHRISTIAN DEMOCRATIC PARTY,National,18,KGASHIANE ANNA,RAMOVHA
AFRICAN CHRISTIAN DEMOCRATIC PARTY,National,19,EMILY,BALOYI
AFRICAN CHRISTIAN DEMOCRATIC PARTY,National,20,MONGEZI,MABUNGANI
AFRICAN CHRISTIAN DEMOCRATIC PARTY,National,21,PULE JOSEPH,RAMPAI
AFRICAN CHRISTIAN DEMOCRATIC PARTY,National,22,TEFO JAKOB,MOSIKIDI
AFRICAN CHRISTIAN DEMOCRATIC PARTY,National,23,MARTHA JACOMINA,DEAN
AFRICAN CHRISTIAN DEMOCRATIC PARTY,National,24,KAGISO JOSIAH,MONYADIWA
AFRICAN CHRISTIAN DEMOCRATIC PARTY,National,25,JOHANNES BONGINKOSI,CHIYA
AFRICAN CHRISTIAN DEMOCRATIC PARTY,National,26,PHILEMON KOOS,MAHLANGU
AFRICAN CHRISTIAN DEMOCRATIC PARTY,National,27,PATRICIA SANDRA,ARENDSE
AFRICAN CHRISTIAN DEMOCRATIC PARTY,National,28,MZUKISI ELIAS,DINGILE
AFRICAN CHRISTIAN DEMOCRATIC PARTY,National,29,LUKE MONWABISI,QUSE
AFRICAN CHRISTIAN DEMOCRATIC PARTY,National,30,ISAAC,NKOSI
AFRICAN CHRISTIAN DEMOCRATIC PARTY,National,31,PETRUS ANDREAS STEFANUS,STRAUSS
AFRICAN CHRISTIAN DEMOCRATIC PARTY,National,32,ANGELO DENVER,ARENDSE
AFRICAN CHRISTIAN DEMOCRATIC PARTY,National,33,PHENEAS LUCKY,LEBELOANE
AFRICAN CHRISTIAN DEMOCRATIC PARTY,National,34,MPITI JONAS,THAMAE
AFRICAN CHRISTIAN DEMOCRATIC PARTY,National,35,TEFO RAYMOND,TSIKANG
AFRICAN CHRISTIAN DEMOCRATIC PARTY,National,36,KELLY LEE,RAU
AFRICAN CHRISTIAN DEMOCRATIC PARTY,National,37,JOSEPH,MATTHEE
AFRICAN CHRISTIAN DEMOCRATIC PARTY,National,38,SHAKESPEARE,ARENDS
AFRICAN CHRISTIAN DEMOCRATIC PARTY,National,39,DANIEL TSHOLOFELO,SELLO
AFRICAN CHRISTIAN DEMOCRATIC PARTY,National,40,DERICK DON,KLEINSMITH
AFRICAN CHRISTIAN DEMOCRATIC PARTY,National,41,XOLILE,NKWATENI
AFRICAN CHRISTIAN DEMOCRATIC PARTY,National,42,MOHALE JOHANNES,NAKANA
AFRICAN CHRISTIAN DEMOCRATIC PARTY,National,43,CHRISTIAN KARL PETER,ROHLSSEN
AFRICAN CHRISTIAN DEMOCRATIC PARTY,National,44,FEZEKA PENELOPE,PLAATJIES
AFRICAN CHRISTIAN DEMOCRATIC PARTY,National,45,NOZIPHO ZANELE,PHILLIPS
AFRICAN CHRISTIAN DEMOCRATIC PARTY,National,46,LETHUSANG MATHEU,KHALIENYANE
AFRICAN CHRISTIAN DEMOCRATIC PARTY,National,47,KHOMBO KNOX,MABASA
AFRICAN CHRISTIAN DEMOCRATIC PARTY,National,48,LUVUYO,MNGQIBISA
AFRICAN CHRISTIAN DEMOCRATIC PARTY,National,49,THANDO,MAGQAZA
AFRICAN CHRISTIAN DEMOCRATIC PARTY,National,50,DORCAS SEGAMETSI,RAMATLOTLO
AFRICAN CHRISTIAN DEMOCRATIC PARTY,National,51,DONN PAKAMISA,ROZANI
AFRICAN CHRISTIAN DEMOCRATIC PARTY,National,52,AGOSTINHO ANTONIO PERESTRELO,PESTANA
AFRICAN CHRISTIAN DEMOCRATIC PARTY,National,53,MASANDE INNOCENT,SKEYI
AFRICAN CHRISTIAN DEMOCRATIC PARTY,National,54,SIMBONGILE DONALD,GXUMISA
AFRICAN CHRISTIAN DEMOCRATIC PARTY,National,55,GRANT CHRISTOPHER RONALD,HASKIN
AFRICAN CHRISTIAN DEMOCRATIC PARTY,National,56,JONATHAN,NAIDOO
AFRICAN CHRISTIAN DEMOCRATIC PARTY,National,57,EUGENE JAMES THOMAS,PLAATJES
AFRICAN CHRISTIAN DEMOCRATIC PARTY,National,58,MALEFU MERIAM,MLANGENI
AFRICAN CHRISTIAN DEMOCRATIC PARTY,National,59,KEFILWE JENNIFER,MOSES
AFRICAN CHRISTIAN DEMOCRATIC PARTY,National,60,BOIKI JAMES,TSIME
AFRICAN CHRISTIAN DEMOCRATIC PARTY,National,61,KEFILWE LORRAINE,MACHE
AFRICAN CHRISTIAN DEMOCRATIC PARTY,National,62,STEPHEN SESING,MOOPELOA
AFRICAN CHRISTIAN DEMOCRATIC PARTY,National,63,NTHABISENG JEANNETTE,NUNU
AFRICAN CHRISTIAN DEMOCRATIC PARTY,National,64,PELONTLE,TSHOAELI
AFRICAN CHRISTIAN DEMOCRATIC PARTY,National,65,THABO INNOCENTIA,DINGILE
AFRICAN CHRISTIAN DEMOCRATIC PARTY,National,66,MZWANDILE ABRAM,VALA
AFRICAN CHRISTIAN DEMOCRATIC PARTY,National,67,MALOSE PHELLIMON,MOLOKOMME
AFRICAN CHRISTIAN DEMOCRATIC PARTY,National,68,JOSEPH KAMOGELO,MASHIYA
AFRICAN CHRISTIAN DEMOCRATIC PARTY,National,69,SEIPATI BEAUTY,NTHIMOLE
AFRICAN CHRISTIAN DEMOCRATIC PARTY,National,70,MANDISA EUNICE,MALANGE
AFRICAN CHRISTIAN DEMOCRATIC PARTY,National,71,KHOLEKILE GILBERT,NDATHANA
AFRICAN CHRISTIAN DEMOCRATIC PARTY,National,72,MYEKENI RICHARD,NKOSI
AFRICAN CHRISTIAN DEMOCRATIC PARTY,Regional: Eastern Cape,1,LUKE MONWABISI,QUSE
AFRICAN CHRISTIAN DEMOCRATIC PARTY,Regional: Eastern Cape,2,DONN PAKAMISA,ROZANI
AFRICAN CHRISTIAN DEMOCRATIC PARTY,Regional: Eastern Cape,3,MICHELE,MANN
AFRICAN CHRISTIAN DEMOCRATIC PARTY,Regional: Eastern Cape,4,MANDISA EUNICE,MALANGE
AFRICAN CHRISTIAN DEMOCRATIC PARTY,Regional: Eastern Cape,5,EUGENE JAMES THOMAS,PLAATJES
AFRICAN CHRISTIAN DEMOCRATIC PARTY,Regional: Eastern Cape,6,LUVUYO,MNGQIBISA
AFRICAN CHRISTIAN DEMOCRATIC PARTY,Regional: Eastern Cape,7,SIMBONGILE DONALD,GXUMISA
AFRICAN CHRISTIAN DEMOCRATIC PARTY,Regional: Eastern Cape,8,TOKOZILE MAVIS,MAQAMELA
AFRICAN CHRISTIAN DEMOCRATIC PARTY,Regional: Eastern Cape,9,MASANDE INNOCENT,SKEYI
AFRICAN CHRISTIAN DEMOCRATIC PARTY,Regional: Eastern Cape,10,KHOLEKILE GILBERT,NDATHANA
AFRICAN CHRISTIAN DEMOCRATIC PARTY,Regional: Eastern Cape,11,NIKLAAS,JACOBS
AFRICAN CHRISTIAN DEMOCRATIC PARTY,Regional: Eastern Cape,12,XOLILE,NKWATENI
AFRICAN CHRISTIAN DEMOCRATIC PARTY,Regional: Eastern Cape,13,THANDO,MAGQAZA
AFRICAN CHRISTIAN DEMOCRATIC PARTY,Regional: Free State,1,TEFO JAKOB,MOSIKIDI
AFRICAN CHRISTIAN DEMOCRATIC PARTY,Regional: Free State,2,MOABI DONALD,NYAMANE
AFRICAN CHRISTIAN DEMOCRATIC PARTY,Regional: Free State,3,MALEFU MERIAM,MLANGENI
AFRICAN CHRISTIAN DEMOCRATIC PARTY,Regional: Free State,4,HANNELENE,MOSTERT
AFRICAN CHRISTIAN DEMOCRATIC PARTY,Regional: Free State,5,TLALENG MERIAM,ADONSI
AFRICAN CHRISTIAN DEMOCRATIC PARTY,Regional: Free State,6,LETHUSANG MATHEU,KHALIENYANE
AFRICAN CHRISTIAN DEMOCRATIC PARTY,Regional: Free State,7,MARTHA JACOMINA,DEAN
AFRICAN CHRISTIAN DEMOCRATIC PARTY,Regional: Free State,8,YALIHELE DORA,KATO
AFRICAN CHRISTIAN DEMOCRATIC PARTY,Regional: Free State,9,MAJAFELA,MOKOENA
AFRICAN CHRISTIAN DEMOCRATIC PARTY,Regional: Gauteng,1,MYEKENI RICHARD,NKOSI
AFRICAN CHRISTIAN DEMOCRATIC PARTY,Regional: Gauteng,2,NTOMBIZANELE,RAMOTHWA
AFRICAN CHRISTIAN DEMOCRATIC PARTY,Regional: Gauteng,3,GLADYS MASINA,MODISE
AFRICAN CHRISTIAN DEMOCRATIC PARTY,Regional: Gauteng,4,MOKHETHI RAYMOND,TLAELI
AFRICAN CHRISTIAN DEMOCRATIC PARTY,Regional: Gauteng,5,LESLEY ANNE,COETZEE
AFRICAN CHRISTIAN DEMOCRATIC PARTY,Regional: Gauteng,6,MBELU EMMANUELLE KABAMBA,MUTEBA
AFRICAN CHRISTIAN DEMOCRATIC PARTY,Regional: Gauteng,7,TAMBO ANDREW,MOKOENA
AFRICAN CHRISTIAN DEMOCRATIC PARTY,Regional: Gauteng,8,QUEEN CHRISTINAH,MAGAGULA
AFRICAN CHRISTIAN DEMOCRATIC PARTY,Regional: Gauteng,9,BRIDGET NIKIWE,THWALA
AFRICAN CHRISTIAN DEMOCRATIC PARTY,Regional: Gauteng,10,ANNIRUTH,KISSOONDUTH
AFRICAN CHRISTIAN DEMOCRATIC PARTY,Regional: Gauteng,11,SUZAN NOZIPHO,GWALA
AFRICAN CHRISTIAN DEMOCRATIC PARTY,Regional: Gauteng,12,MOKETE JOHANNES,MOSIA
AFRICAN CHRISTIAN DEMOCRATIC PARTY,Regional: Gauteng,13,EMILY,BALOYI
