Name,IsAlternative?,Party,IsChairperson?,Committee
"Abram, Mr S",False,ANC,False,"Agriculture, Forestry and Fisheries"
"Cele, Mr MA",False,ANC,False,"Agriculture, Forestry and Fisheries"
"Johnson, Mr M",False,ANC,True,"Agriculture, Forestry and Fisheries"
"Nyalungu, Ms RE",False,ANC,False,"Agriculture, Forestry and Fisheries"
"Phaliso, Ms MN",False,ANC,False,"Agriculture, Forestry and Fisheries"
"Pilusa-Mosoane, Ms ME",False,ANC,False,"Agriculture, Forestry and Fisheries"
"Twala, Ms NM",False,ANC,False,"Agriculture, Forestry and Fisheries"
"Carter, Ms D",True,COPE,False,"Agriculture, Forestry and Fisheries"
"Steyn, Ms A",False,DA,False,"Agriculture, Forestry and Fisheries"
"Van Dalen, Mr P",False,DA,False,"Agriculture, Forestry and Fisheries"
"Msimang, Prof CT",True,IFP,False,"Agriculture, Forestry and Fisheries"
"Gaehler, Mr LB",False,UDM,False,"Agriculture, Forestry and Fisheries"
"Khorai, Mr LP",False,ANC,False,Arts and Culture
"Mavunda, Mr DW",False,ANC,False,Arts and Culture
"Morutoa, Ms MR",True,ANC,False,Arts and Culture
"Moss, Ms LN",False,ANC,False,Arts and Culture
"Mushwana, Ms FF",False,ANC,False,Arts and Culture
"Nwamitwa-Shilubana, Ms TL",False,ANC,False,Arts and Culture
"Sunduza, Ms TB",False,ANC,True,Arts and Culture
"Tshabalala, Ms J",False,ANC,False,Arts and Culture
"Carter, Ms D",True,COPE,False,Arts and Culture
"Ntshiqela, Mr P",False,COPE,False,Arts and Culture
"Van den Berg, Mr NJ",True,DA,False,Arts and Culture
"Van Schalkwyk, Dr HC",False,DA,False,Arts and Culture
"Msweli, Ms HS",True,IFP,False,Arts and Culture
"Van der Merwe, Mr JH",True,IFP,False,Arts and Culture
"Ntapane, Mr SZ",False,UDM,False,Arts and Culture
"Dudley, Ms C",True,ACDP,False,Basic Education
"Madikizela-Mandela, Ms NW",False,ANC,False,Basic Education
"Makhubele, Mr ZS",False,ANC,False,Basic Education
"Malgas, Ms HH",False,ANC,True,Basic Education
"Mashishi, Ms AC",False,ANC,False,Basic Education
"Moni, Mr CM",False,ANC,False,Basic Education
"Mushwana, Ms FF",False,ANC,False,Basic Education
"Dikobo, Mr KJ",True,AZAPO,False,Basic Education
"Adams, Ms LH",True,COPE,False,Basic Education
"Madisha, Mr WM",False,COPE,False,Basic Education
"Lovemore, Ms AT",False,DA,False,Basic Education
"Smiles, Mr DC",False,DA,False,Basic Education
"Hoosen, Mr MH",True,ID,False,Basic Education
"Mpontshane, Mr MA",False,IFP,False,Basic Education
"Msweli, Ms HS",True,IFP,False,Basic Education
"Bhoola, Mr RB",True,MF,False,Basic Education
"Kganyago, Mr NM",False,UDM,False,Basic Education
"Kekana, Mr CD",False,ANC,False,Communications
"Kholwane, Mr SE",False,ANC,True,Communications
"Lesoma, Ms RM",False,ANC,False,Communications
"Morutoa, Ms MR",True,ANC,False,Communications
"Muthambi, Ms AF",False,ANC,False,Communications
"Ndlazi, Ms AZ",False,ANC,False,Communications
"Newhoudt-Druchen, Ms WS",False,ANC,False,Communications
"Schneemann, Mr GD",False,ANC,False,Communications
"Tsebe, Ms SR",False,ANC,False,Communications
"Kilian, Ms JD",False,COPE,False,Communications
"Shinn, Ms MR",False,DA,False,Communications
"Steyn, Mr AC",False,DA,False,Communications
"Mncwango, Mr MA",False,IFP,False,Communications
"Bonhomme, Mr T",False,ANC,False,Cooperative Governance and Traditional Affairs
"Boshigo, Ms DF",False,ANC,False,Cooperative Governance and Traditional Affairs
"Mandela, Nkosi ZM",False,ANC,False,Cooperative Governance and Traditional Affairs
"Matshoba, Mr JM",False,ANC,False,Cooperative Governance and Traditional Affairs
"Mavunda, Mr DW",False,ANC,False,Cooperative Governance and Traditional Affairs
"Nelson, Ms WJ",False,ANC,False,Cooperative Governance and Traditional Affairs
"Nhlengethwa, Ms DG",False,ANC,True,Cooperative Governance and Traditional Affairs
"Segale-Diswai, Ms MJ",False,ANC,False,Cooperative Governance and Traditional Affairs
"Mosimane, Ms CK",False,COPE,False,Cooperative Governance and Traditional Affairs
"Boinamo, Mr GG",False,DA,False,Cooperative Governance and Traditional Affairs
"Steenhuisen, Mr JH",False,DA,False,Cooperative Governance and Traditional Affairs
"McGluwa, Mr JJ",True,ID,False,Cooperative Governance and Traditional Affairs
"Cebekhulu, Mr RN",True,IFP,False,Cooperative Governance and Traditional Affairs
"Msimang, Prof CT",True,IFP,False,Cooperative Governance and Traditional Affairs
"Smith, Mr PF",False,IFP,False,Cooperative Governance and Traditional Affairs
"Gaehler, Mr LB",False,UDM,False,Cooperative Governance and Traditional Affairs
"Abram, Mr S",False,ANC,False,Correctional Services
"Cele, Mr MA",False,ANC,False,Correctional Services
"Magagula, Mr VV",True,ANC,False,Correctional Services
"Ngubeni-Maluleka, Ms JP",False,ANC,False,Correctional Services
"Ngwenya, Ms W",False,ANC,False,Correctional Services
"Phaliso, Ms MN",False,ANC,False,Correctional Services
"Smith, Mr VG",False,ANC,True,Correctional Services
"Madisha, Mr WM",False,COPE,False,Correctional Services
"Mnguni, Mr PB",True,COPE,False,Correctional Services
"Max, Adv LH",False,DA,False,Correctional Services
"Selfe, Mr J",False,DA,False,Correctional Services
"Ndlovu, Mr VB",True,IFP,False,Correctional Services
"Van der Merwe, Mr JH",True,IFP,False,Correctional Services
"Daniels, Ms PN",False,ANC,False,Defence and Military Veterans
"Diale, Mr LN",False,ANC,False,Defence and Military Veterans
"Mabedla, Ms NR",False,ANC,False,Defence and Military Veterans
"Maziya, Mr AM",True,ANC,False,Defence and Military Veterans
"Mgabadeli, Ms HC",False,ANC,False,Defence and Military Veterans
"Mlambo, Mr ME",False,ANC,False,Defence and Military Veterans
"Mlangeni, Mr A",False,ANC,False,Defence and Military Veterans
"Motimele, Mr MS",False,ANC,True,Defence and Military Veterans
"George, Mr ME",False,COPE,False,Defence and Military Veterans
"Nhanha, Mr MA",False,COPE,False,Defence and Military Veterans
"Coetzee, Mr TW",False,DA,False,Defence and Military Veterans
"Esau, Mr S",False,DA,False,Defence and Military Veterans
"Groenewald, Mr PJ",False,FF+,False,Defence and Military Veterans
"Mncwango, Mr MA",False,IFP,False,Defence and Military Veterans
"Ndlovu, Mr VB",True,IFP,False,Defence and Military Veterans
"Mphahlele, Mr LM",True,PAC,False,Defence and Military Veterans
"Swart, Mr SN",True,ACDP,False,Economic Development
"Coleman, Ms EM",False,ANC,True,Economic Development
