"OLD EVOLUTION 
CODE",Constituency Head,Name,Location,Province,Description,Area,Group,GEOGRAPHICAL NAME,WARDS
-,Dorah Nokonwaba Matikinca,DA Constituency Area: Alfred Nzo,Alfred Nzo,Eastern Cape,"Wards and municipalities in area: Including Mbizana, Ntabankulu, Umzimvubu and Matatiele",EC,ECMPL,Alfred Nzo,"Including Mbizana, Ntabankulu, Umzimvubu and Matatiele"
263NB,Zisiwe Beauty Nosimo Balindlela,DA Constituency Area: Amahlathi-Kei,Amahlathi-Kei,Eastern Cape,Wards and municipalities in area: Border 2 Including Amahlathi and Great Kei Municipalities,EC,ECMP,Amahlathi-Kei,Border 2 Including Amahlathi and Great Kei Municipalities
-,Ross Kriel Purdon,DA Constituency Area: Ntsikana,Ntsikana,Eastern Cape,"Wards and municipalities in area: Border 1 Including Nxuba, Nkonkobe and Ngqushwa Municipalities",EC,ECMPL,Ntsikana,"Border 1 Including Nxuba, Nkonkobe and Ngqushwa Municipalities"
255AL,Kevin John Mileham,DA Constituency Area: Buffalo City Metro,Buffalo City Metro,Eastern Cape,Wards and municipalities in area: East London and Mdantsane and all Coastal Wards,EC,ECMP,Buffalo City Metro,East London and Mdantsane and all Coastal Wards
-,Terri Stander,DA Constituency Area: SB Farrow,SB Farrow,Eastern Cape,"Wards and municipalities in area: King Williams Town, Dimbaza, Zwelitsha and all Rural Wards",EC,ECMP,SB Farrow,"King Williams Town, Dimbaza, Zwelitsha and all Rural Wards"
-,Andrew Grant Whitfield,DA Constituency Area: Frontier,Frontier,Eastern Cape,Wards and municipalities in area: Frontier including Makana and Ndlambe Municipalities,EC,ECMP,Frontier,Frontier including Makana and Ndlambe Municipalities
256JP,Annette Theresa Lovemore,DA Constituency Area: Karoo,Karoo,Eastern Cape,Wards and municipalities in area: Karoo including Camdeboo and Ikwezi Municipalities,EC,ECMP,Karoo,Karoo including Camdeboo and Ikwezi Municipalities
-,Malcolm John Figg,DA Constituency Area: Baviaans,Baviaans,Eastern Cape,Wards and municipalities in area: Baviaans,EC,ECMP,Baviaans,Baviaans
258EVL,Elizabeth Van Lingen,DA Constituency Area: Tsitsi-Kouga,Tsitsi-Kouga,Eastern Cape,Wards and municipalities in area: Kouga and Koukamma Municipalities,EC,ECMP,Tsitsi-Kouga,Kouga and Koukamma Municipalities
-,Vicky Knoetze,DA Constituency Area: Zuurberg,Zuurberg,Eastern Cape,Wards and municipalities in area: Zuurberg including Sundays River and Blue Crane Municipalities,EC,ECMPL,Zuurberg,Zuurberg including Sundays River and Blue Crane Municipalities
-,Celeste Heloise Barker,DA Constituency Area: Chris Hani,Chris Hani,Eastern Cape,"Wards and municipalities in area: Border (3) including Lukhanji, Emalahleni, Sakhisizwe, Engcobo and Intsika Yethu Municipalities",EC,ECMPL,Chris Hani,"Border (3) including Lukhanji, Emalahleni, Sakhisizwe, Engcobo and Intsika Yethu Municipalities"
-,Jacobus Petrus Johannes Botha,DA Constituency Area: EC Midlands,EC Midlands,Eastern Cape,"Wards and municipalities in area: Including Inxuba Yethemba, Tsolwana and Inkwanca Municipalities",EC,ECMPL,EC Midlands,"Including Inxuba Yethemba, Tsolwana and Inkwanca Municipalities"
261AS,Annette Steyn,DA Constituency Area: New Horizon,New Horizon,Eastern Cape,"Wards and municipalities in area: New Horizon including Gariep, Maletswai, Senqu and Elundini Municipalities",EC,ECMP,New Horizon,"New Horizon including Gariep, Maletswai, Senqu and Elundini Municipalities"
-,Bennet Mzwenqaba Bhanga,DA Constituency Area: Ngqura,Ngqura,Eastern Cape,Wards and municipalities in area: 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 30 36 54 55 56 57 58 59 60,EC,ECMP,Ngqura,14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 30 36 54 55 56 57 58 59 60
-,Marshall Roberto Von Buchenroder,DA Constituency Area: Winterhoek,Winterhoek,Eastern Cape,Wards and municipalities in area: 42 43 44 45 46 47 48 49 50 51 52 53,EC,ECMPL,Winterhoek,42 43 44 45 46 47 48 49 50 51 52 53
260EVV,Peter Edmund Van Vuuren,DA Constituency Area: PE Northern Areas,PE Northern Areas,Eastern Cape,Wards and municipalities in area: 10 12 13 29 31 32 33 34 35 37 38 39 41,EC,ECMPL,PE Northern Areas,10 12 13 29 31 32 33 34 35 37 38 39 41
252RS,Robert Sykes Stevenson,DA Constituency Area: PE Southwest,PE Southwest,Eastern Cape,Wards and municipalities in area: 1 2 3 4 5 6 7 8 9 11 40,EC,ECMPL,PE Southwest,1 2 3 4 5 6 7 8 9 11 40
259VM,Veliswa Mvenya,DA Constituency Area: Phesheya Kwenciba,Phesheya Kwenciba,Eastern Cape,"Wards and municipalities in area: Pesheya Kwenciba including Mnquma (Amathole), Mbashe, KSD, Mhlontlo, Nyandeni, Nquza Hill and PSJ Municipalities",EC,ECMPL,Phesheya Kwenciba,"Pesheya Kwenciba including Mnquma (Amathole), Mbashe, KSD, Mhlontlo, Nyandeni, Nquza Hill and PSJ Municipalities"
-,Yusuf Cassim,DA Constituency Area: DASO,,Eastern Cape,"Wards and municipalities in area: DASO including NMMMU, Rhodes, Fort Hare and WSU as well as all other college campuses",EC,ECMP,DASO,"DASO including NMMMU, Rhodes, Fort Hare and WSU as well as all other college campuses"
323AL,Annelie Lotriet,DA Constituency Area: Moqwathe (Moqhaka Municipality),Moqhaka Municipality,Free State,Wards and municipalities in area: Moqhaka Municipality,FS 201,FSMP,Moqwathe,Moqhaka Municipality
321DR,Annelie Lotriet,DA Constituency Area: Moqwathe (Ngwathe Municipality),Ngwathe Municipality,Free State,Wards and municipalities in area: Ngwathe Municipality,FS 203,FSMP,Moqwathe,Ngwathe Municipality
-,David Christie Ross,DA Constituency Area: Northern FS (Nala Municipality),Nala Municipality,Free State,Wards and municipalities in area: Nala Municipality,FS 185,FSMP,Northern FS,Nala Municipality
,David Christie Ross,DA Constituency Area: Northern FS (Matjhabeng Municipality),Matjhabeng Municipality,Free State,Wards and municipalities in area: Matjhabeng Municipality,FS 184,FSMP,Northern FS,Matjhabeng Municipality
,Werner Horn,DA Constituency Area: Mangaung (Mangaung Metro Municipality),Mangaung Metro Municipality,Free State,Wards and municipalities in area: Mangaung Metro Municipality,MAN,FSMP,Mangaung,Mangaung Metro Municipality
,Nomsa Innocencia Tarabella Marchesi,DA Constituency Area: Caledon (Mohokare Municipality),Mohokare Municipality,Free State,Wards and municipalities in area: Mohokare Municipality,FS 163,FSMP,Caledon,Mohokare Municipality
,Nomsa Innocencia Tarabella Marchesi,DA Constituency Area: Caledon (Naledi Municipality),Naledi Municipality,Free State,Wards and municipalities in area: Naledi Municipality,FS 164,FSMP,Caledon,Naledi Municipality
,George Michalakis,DA Constituency Area: Lejweleputswa (Masilonyana Municipality),Masilonyana Municipality,Free State,Wards and municipalities in area: Masilonyana Municipality,FS 181,FSMP,Lejweleputswa,Masilonyana Municipality
,George Michalakis,DA Constituency Area: Lejweleputswa (Tolokolgo Municipality),Tolokolgo Municipality,Free State,Wards and municipalities in area: Tolokolgo Municipality,FS 182,FSMP,Lejweleputswa,Tolokolgo Municipality
,George Michalakis,DA Constituency Area: Lejweleputswa (Tswelopele Municipality),Tswelopele Municipality,Free State,Wards and municipalities in area: Tswelopele Municipality,FS 183,FSMP,Lejweleputswa,Tswelopele Municipality
,David Edward Janse Van Vuuren,DA Constituency Area: Koranna (Mantsopa Municipality),Mantsopa Municipality,Free State,Wards and municipalities in area: Mantsopa Municipality,FS 196,FSMPL,Koranna,Mantsopa Municipality
,David Edward Janse Van Vuuren,DA Constituency Area: Koranna (Setsoto Municipality),Setsoto Municipality,Free State,Wards and municipalities in area: Setsoto Municipality,FS 191,FSMPL,Koranna,Setsoto Municipality
,Roy Jankielsohn,DA Constituency Area: Maluti (Dihlabeng Municipality),Dihlabeng Municipality,Free State,Wards and municipalities in area: Dihlabeng Municipality,FS 192,FSMPL,Maluti,Dihlabeng Municipality
,Roy Jankielsohn,DA Constituency Area: Maluti (Nketoana Municipality),Nketoana Municipality,Free State,Wards and municipalities in area: Nketoana Municipality,FS 193,FSMPL,Maluti,Nketoana Municipality
,Leona Mary Kleynhans,DA Constituency Area: Drakensberg FS (Maluti-a-Phofung Municipality),Maluti-a-Phofung Municipality,Free State,Wards and municipalities in area: Maluti-a-Phofung Municipality,FS 194,FSMPL,Drakensberg FS,Maluti-a-Phofung Municipality
,Leona Mary Kleynhans,DA Constituency Area: Drakensberg FS (Phumelela Municipality),Phumelela Municipality,Free State,Wards and municipalities in area: Phumelela Municipality,FS 195,FSMPL,Drakensberg FS,Phumelela Municipality
