STATE NAME,STATE NUMBER,STATE CODE,LGA CODE,LGA NAME,PU PREFIX,SENATORIAL DISTRICT,FEDERAL CONSTITUENCY
ABIA,1,AB,1,Aba north,01/01/,Abia South,Aba North/South
ABIA,1,AB,2,Aba south,01/02/,Abia South,Aba North/South
ABIA,1,AB,3,Arochukwu,01/03/,Abia North,Arochukwu/Ohafia
ABIA,1,AB,4,Bende,01/04/,Abia North,Bende
ABIA,1,AB,5,Ikwuano,01/05/,Abia Central,Ikwuano/Umuahia North/South
ABIA,1,AB,6,Isiala ngwa north,01/06/,Abia Central,Isiala Ngwa North/South
ABIA,1,AB,7,Isiala Ngwa South,01/07/,Abia Central,Isiala Ngwa North/South
ABIA,1,AB,8,Isiukwuato,01/08/,Abia North,Isuikwato/Umunneochi
ABIA,1,AB,9,obingwa,01/09/,Abia South,Obingwa/Osisioma/Ugwunagbo
ABIA,1,AB,10,ohafia,01/10/,Abia North,Arochukwu/Ohafia
ABIA,1,AB,11,Osisioma,01/11/,Abia Central,Obingwa/Osisioma/Ugwunagbo
ABIA,1,AB,12,Ugwunagbo,01/12/,Abia South,Obingwa/Osisioma/Ugwunagbo
ABIA,1,AB,13,Ukwa east,01/13/,Abia South,Ukwa East/Ukwa West
ABIA,1,AB,14,Ukwa West,01/14/,Abia South,Ukwa East/Ukwa West
ABIA,1,AB,15,Umuahia North,01/15/,Abia Central,Ikwuano/Umuahia North/South
ABIA,1,AB,16,Umuahia South,01/16/,Abia Central,Ikwuano/Umuahia North/South
ABIA,1,AB,17,umunneochi,01/17/,Abia North,Isuikwato/Umunneochi
ADAMAWA,2,AD,1,DEMSA,02/01/,Adamawa South,Demsa/Numan/Lamurde
ADAMAWA,2,AD,2,FUFORE/GURIN,02/02/,Adamawa Central,Furore/Song
ADAMAWA,2,AD,3,GANYE,02/03/,Adamawa South,Ganye/Mayo Belwa/Toungo/JADA
ADAMAWA,2,AD,4,GIREI,02/04/,Adamawa Central,Yola North/Yola South/Girei
ADAMAWA,2,AD,5,GOMBI,02/05/,Adamawa Central,Hong/Gombi
ADAMAWA,2,AD,6,GUYUK,02/06/,Adamawa South,Guyuk/Shelleng
ADAMAWA,2,AD,7,HONG,02/07/,Adamawa Central,Hong/Gombi
ADAMAWA,2,AD,8,JADA,02/08/,Adamawa South,Ganye/Mayo Belwa/Toungo/JADA
ADAMAWA,2,AD,9,LAMURDE,02/09/,Adamawa South,Demsa/Numan/Lamurde
ADAMAWA,2,AD,10,MADGALI,02/10/,Adamawa North,Michika/Madagali
ADAMAWA,2,AD,11,MAIHA,02/11/,Adamawa North,Mubi North/Mu South/Maiha
ADAMAWA,2,AD,12,MAYO-BELWA,02/12/,Adamawa South,Ganye/Mayo Belwa/Toungo/JADA
ADAMAWA,2,AD,13,MICHIKA,02/13/,Adamawa North,Michika/Madagali
ADAMAWA,2,AD,14,MUBI NORTH,02/14/,Adamawa North,Mubi North/Mu South/Maiha
ADAMAWA,2,AD,15,MUBI SOUTH,02/15/,Adamawa North,Mubi North/Mu South/Maiha
ADAMAWA,2,AD,16,NUMAN,02/16/,Adamawa South,Demsa/Numan/Lamurde
ADAMAWA,2,AD,17,SHELLENG,02/17/,Adamawa South,Guyuk/Shelleng
ADAMAWA,2,AD,18,SONG,02/18/,Adamawa Central,Furore/Song
ADAMAWA,2,AD,19,TOUNGO,02/19/,Adamawa South,Ganye/Mayo Belwa/Toungo/JADA
ADAMAWA,2,AD,20,YOLA NORTH,02/20/,Adamawa Central,Yola North/Yola South/Girei
ADAMAWA,2,AD,21,YOLA SOUTH,02/21/,Adamawa Central,Yola North/Yola South/Girei
AKWA IBOM,3,AK,1,ABAK,03/01/,Akwa Ibom North-West,Abak/ETIM EKPO/IKA
AKWA IBOM,3,AK,2,EASTERN OBOLO,03/02/,Akwa Ibom South,Ikot Abasi/MKPAT ENIN/EASTERN OBOLO
AKWA IBOM,3,AK,3,EKET,03/03/,Akwa Ibom South,Eket/Onna/Esit/eket/ibeno
AKWA IBOM,3,AK,4,ESIT EKET,03/04/,Akwa Ibom South,Eket/Onna/Esit/eket/ibeno
AKWA IBOM,3,AK,5,ESSIEN UDIM,03/05/,Akwa Ibom North-West,Ikot Ekpene/ Essien Udim/ Obot Akara
AKWA IBOM,3,AK,6,ETIM EKPO,03/06/,Akwa Ibom North-West,Abak/ETIM EKPO/IKA
AKWA IBOM,3,AK,7,ETINAN,03/07/,Akwa Ibom North-East,Etinan/ nsit/nsit Ubium
AKWA IBOM,3,AK,8,IBENO,03/08/,Akwa Ibom South,Eket/Onna/Esit/eket/ibeno
AKWA IBOM,3,AK,9,IBESIKPO ASUTAN,03/09/,Akwa Ibom North-East,Uyo/Uruan/Nsit Ata/Ibeskip Asutan
AKWA IBOM,3,AK,10,IBIONO IBOM,03/10/,Akwa Ibom North-East,Itu/Ibiono Ibom
AKWA IBOM,3,AK,11,Ika,03/11/,Akwa Ibom North-West,Abak/ETIM EKPO/IKA
AKWA IBOM,3,AK,12,Ikono,03/12/,Akwa Ibom North-West,Ikono/ Ini
AKWA IBOM,3,AK,13,IKOT ABASI,03/13/,Akwa Ibom South,Ikot Abasi/MKPAT ENIN/EASTERN OBOLO
AKWA IBOM,3,AK,14,Ikot Ekpene,03/14/,Akwa Ibom North-West,Ikot Ekpene/ Essien Udim/ Obot Akara
AKWA IBOM,3,AK,15,Ini,03/15/,Akwa Ibom North-West,Ikono/ Ini
AKWA IBOM,3,AK,16,ITU,03/16/,Akwa Ibom North-East,Itu/Ibiono Ibom
AKWA IBOM,3,AK,17,MBO,03/17/,Akwa Ibom South,Oron/Mbo/Okobo/UrueOffong/Oruko/Udung-Uko
AKWA IBOM,3,AK,18,MKPAT ENIN,03/18/,Akwa Ibom South,Ikot Abasi/MKPAT ENIN/EASTERN OBOLO
