STATE NAME,STATE CODE,LGA NAME,LGA CODE,WARD NAME,WARD CODE
ADAMAWA,AD,GANYE,03,YEBBI,10
ADAMAWA,AD,GIRE I,04,DAKRI,01
ADAMAWA,AD,GIRE I,04,DAMARE,02
ADAMAWA,AD,GIRE I,04,GEREI I,03
ADAMAWA,AD,GIRE I,04,GIREI II,04
ADAMAWA,AD,GIRE I,04,GERENG,05
ADAMAWA,AD,GIRE I,04,JERA BAKARI,06
ADAMAWA,AD,GIRE I,04,JERA BONYO,07
ADAMAWA,AD,GIRE I,04,MODIRE/ VINIKILANG,08
ADAMAWA,AD,GIRE I,04,TAMBO,09
ADAMAWA,AD,GIRE I,04,WURO DOLE,10
ADAMAWA,AD,GOMBI,05,BOGA/ DINGAI,01
ADAMAWA,AD,GOMBI,05,DUWA,02
ADAMAWA,AD,GOMBI,05,GA'ANDA,03
ADAMAWA,AD,GOMBI,05,GABUN,04
ADAMAWA,AD,GOMBI,05,GOMBI NORTH,05
ADAMAWA,AD,GOMBI,05,GOMBI SOUTH,06
ADAMAWA,AD,GOMBI,05,GARKIDA,07
ADAMAWA,AD,GOMBI,05,GUYAKU,08
ADAMAWA,AD,GOMBI,05,TAWA,09
ADAMAWA,AD,GOMBI,05,YANG,10
ADAMAWA,AD,GUYUK,06,BANJIRAM,01
ADAMAWA,AD,GUYUK,06,BOBINI,02
ADAMAWA,AD,GUYUK,06,BODENO,03
ADAMAWA,AD,GUYUK,06,CHIKILA,04
ADAMAWA,AD,GUYUK,06,DUKUL,05
ADAMAWA,AD,GUYUK,06,DUMNA,06
ADAMAWA,AD,GUYUK,06,GUYUK,07
ADAMAWA,AD,GUYUK,06,KOLA,08
ADAMAWA,AD,GUYUK,06,LOKORO,09
ADAMAWA,AD,GUYUK,06,PUROKAYO,10
ADAMAWA,AD,HONG,07,BANGSHIKA,01
ADAMAWA,AD,HONG,07,DAKSIRI,02
ADAMAWA,AD,HONG,07,GARAHA,03
ADAMAWA,AD,HONG,07,GAYA,04
ADAMAWA,AD,HONG,07,HILDI,05
ADAMAWA,AD,HONG,07,HONG,06
ADAMAWA,AD,HONG,07,HUSHERE ZUM,07
ADAMAWA,AD,HONG,07,KWARHI,08
ADAMAWA,AD,HONG,07,MAYO LOPE,09
ADAMAWA,AD,HONG,07,SHANGUI,10
ADAMAWA,AD,HONG,07,THILBANG,11
ADAMAWA,AD,HONG,07,UBA,12
ADAMAWA,AD,JADA,08,DANABA,01
ADAMAWA,AD,JADA,08,JADA I,02
ADAMAWA,AD,JADA,08,JADA II,03
ADAMAWA,AD,JADA,08,KOMA I,04
ADAMAWA,AD,JADA,08,KOMA II,05
ADAMAWA,AD,JADA,08,LEKO,06
ADAMAWA,AD,JADA,08,MAPEO,07
ADAMAWA,AD,JADA,08,MAYOKALAYE,08
ADAMAWA,AD,JADA,08,MBULO,09
ADAMAWA,AD,JADA,08,NYIBANGO,10
ADAMAWA,AD,JADA,08,YELLI,11
ADAMAWA,AD,LAMURDE,09,DUBWANGUN,01
ADAMAWA,AD,LAMURDE,09,GYAWANA,02
ADAMAWA,AD,LAMURDE,09,LAFIYA,03
ADAMAWA,AD,LAMURDE,09,LAMURDE,04
ADAMAWA,AD,LAMURDE,09,NGBAKOWO,05
ADAMAWA,AD,LAMURDE,09,MGBEBONGUN,06
ADAMAWA,AD,LAMURDE,09,OPALO,07
ADAMAWA,AD,LAMURDE,09,RIGANGE,08
ADAMAWA,AD,LAMURDE,09,SUWA,09
ADAMAWA,AD,LAMURDE,09,WADUKU,10
ADAMAWA,AD,MADAGALI,10,BABEL,01
ADAMAWA,AD,MADAGALI,10,DUHU/ SHUWA,02
ADAMAWA,AD,MADAGALI,10,GULAK,03
ADAMAWA,AD,MADAGALI,10,HYAMBULA,04
ADAMAWA,AD,MADAGALI,10,K/WURO NGAYANDI,05
ADAMAWA,AD,MADAGALI,10,MADAGALI,06
ADAMAWA,AD,MADAGALI,10,PALLAM,07
ADAMAWA,AD,MADAGALI,10,SHELMI / SUKUR/ VAPURA,08
ADAMAWA,AD,MADAGALI,10,WAGGA,09
ADAMAWA,AD,MADAGALI,10,WULA,10
ADAMAWA,AD,MAIHA,11,BELEL,01
ADAMAWA,AD,MAIHA,11,HUMBUTUDI,02
ADAMAWA,AD,MAIHA,11,KONKOL,03
ADAMAWA,AD,MAIHA,11,MAIHA GARI,04
ADAMAWA,AD,MAIHA,11,MANJEKIN,05
ADAMAWA,AD,MAIHA,11,MAYONGULI,06
ADAMAWA,AD,MAIHA,11,PAKKA,07
ADAMAWA,AD,MAIHA,11,SORAU 'A',08
ADAMAWA,AD,MAIHA,11,SORAU 'B',09
ADAMAWA,AD,MAIHA,11,TAMBAJAM,10
ADAMAWA,AD,MAYO - BELWA,12,BAJAMA,01
ADAMAWA,AD,MAYO - BELWA,12,BINYERI,02
ADAMAWA,AD,MAYO - BELWA,12,GANGFADA,03
ADAMAWA,AD,MAYO - BELWA,12,GENGLE,04
ADAMAWA,AD,MAYO - BELWA,12,GOROBI,05
ADAMAWA,AD,MAYO - BELWA,12,MAYO-BELWA,06
ADAMAWA,AD,MAYO - BELWA,12,MAYO FARANG,07
ADAMAWA,AD,MAYO - BELWA,12,NASSARAWO JERENG,08
ADAMAWA,AD,MAYO - BELWA,12,NDIKONG,09
ADAMAWA,AD,MAYO - BELWA,12,RIBADU,10
ADAMAWA,AD,MAYO - BELWA,12,TOLA,11
ADAMAWA,AD,MAYO - BELWA,12,YOFFO,12
ADAMAWA,AD,MICHIKA,13,BAZZA MARGI,01
ADAMAWA,AD,MICHIKA,13,FUTUDOU / FUTULES,02
ADAMAWA,AD,MICHIKA,13,GARTA / GHUNCHI,03
ADAMAWA,AD,MICHIKA,13,JIGALAMBU,04
ADAMAWA,AD,MICHIKA,13,MADZI,05
ADAMAWA,AD,MICHIKA,13,MICHIKA I,06
ADAMAWA,AD,MICHIKA,13,MICHIKA II,07
ADAMAWA,AD,MICHIKA,13,MINKISI/ WURO NGIKI,08
ADAMAWA,AD,MICHIKA,13,MODA / DLAKA / GHENJUWA,09
ADAMAWA,AD,MICHIKA,13,MUNKAVICITA,10
ADAMAWA,AD,MICHIKA,13,SINA / KAMALE / KWANDE,11
ADAMAWA,AD,MICHIKA,13,THUKUDOU / SUFUKU / ZAH,12
ADAMAWA,AD,MICHIKA,13,SUKUMU / TILLIJO,13
ADAMAWA,AD,MICHIKA,13,TUMBARA / NGABILI,14
ADAMAWA,AD,MICHIKA,13,VI / BOKA,15
ADAMAWA,AD,MICHIKA,13,WAMBLIMI / TILLI,16
ADAMAWA,AD,MUBI NORTH,14,BAHULI,01
ADAMAWA,AD,MUBI NORTH,14,BETSO,02
ADAMAWA,AD,MUBI NORTH,14,DIGIL,03
ADAMAWA,AD,MUBI NORTH,14,KOLERE,04
ADAMAWA,AD,MUBI NORTH,14,LOKUWA,05
ADAMAWA,AD,MUBI NORTH,14,MAYO BANI,06
ADAMAWA,AD,MUBI NORTH,14,MIJILU,07
ADAMAWA,AD,MUBI NORTH,14,MUCHALLA,08
ADAMAWA,AD,MUBI NORTH,14,SABON LAYI,09
ADAMAWA,AD,MUBI NORTH,14,VIMTIM,10
ADAMAWA,AD,MUBI NORTH,14,YELWA,11
ADAMAWA,AD,MUBI SOUTH,15,DIRBISHI/GANDIRA,01
ADAMAWA,AD,MUBI SOUTH,15,DUVU/ CHABA/ GIRBURUM,02
ADAMAWA,AD,MUBI SOUTH,15,GELLA,03
ADAMAWA,AD,MUBI SOUTH,15,GUDE,04
ADAMAWA,AD,MUBI SOUTH,15,KWAJA,05
ADAMAWA,AD,MUBI SOUTH,15,LAMORDE,06
ADAMAWA,AD,MUBI SOUTH,15,MUJARA,07
ADAMAWA,AD,MUBI SOUTH,15,MUGULBU/ YADAFA,08
ADAMAWA,AD,MUBI SOUTH,15,NASSARAWO,09
ADAMAWA,AD,MUBI SOUTH,15,NDUKU,10
ADAMAWA,AD,NUMAN,16,BARE,01
ADAMAWA,AD,NUMAN,16,BOLKI,02
ADAMAWA,AD,NUMAN,16,GAMADIO,03
ADAMAWA,AD,NUMAN,16,IMBURU,04
ADAMAWA,AD,NUMAN,16,KODOMTI,05
ADAMAWA,AD,NUMAN,16,NUMAN I,06
ADAMAWA,AD,NUMAN,16,NUMAN II,07
ADAMAWA,AD,NUMAN,16,NUMAN III,08
ADAMAWA,AD,NUMAN,16,SABON PEGI,09
ADAMAWA,AD,NUMAN,16,VULPI,10
ADAMAWA,AD,SHELLENG,17,BAKTA,01
