Same/Different,API Name,API Party,API Place,Contest Type,API Candidate Code,Mz Legal Name,Mz Other Names,Mz Candidate Code,Mz URL,Mz Parties Ever,Mz Aspirant Ever,Mz Politician Ever,Mz ID
Same,WILBER KHASILWA OTTICHILO,ORANGE DEMOCRATIC MOVEMENT,EMUHAYA (constituency),,F62B6787-DC6B-E211-A5C8-005056870012,Wilber Ottichilo Khasilwa,,,http://info.mzalendo.com/person/wilber-ottichilo/,Orange Democratic Movement,Aspirant MP at Emuhaya (Constituency 2013-),Member of Parliament at Emuhaya (Constituency 2007-2013),131
Same,PAUL NYONGESA OTUOMA,ORANGE DEMOCRATIC MOVEMENT,FUNYULA (constituency),,78D92E34-766C-E211-A5C8-005056870012,Paul Nyongesa Otuoma,Paul Nyongesa Otuoma,,http://info.mzalendo.com/person/Paul-Otuoma/,Orange Democratic Movement,Aspirant MP at Funyula (Constituency 2013-),Member of Parliament at Funyula (Constituency 2007-2013),132
Same,DHADHO GADDAE GODHANA,ORANGE DEMOCRATIC MOVEMENT,GALOLE (constituency),,89380272-DA6D-E211-A5C8-005056870012,Dhadho Gaddae Godhana,Dhadho Gaddae Godhana,,http://info.mzalendo.com/person/Dhadho-Godhana/,Orange Democratic Movement,Aspirant MP at Galole (Constituency 2013-),Member of Parliament at Galole (Constituency 2007-2013),23
Same,ADEN BARE DUALE,UNITED REPUBLICAN PARTY,GARISSA TOWNSHIP (constituency),,AC72AF45-6C6C-E211-A5C8-005056870012,Aden Bare Duale,Aden Bare Duale,,http://info.mzalendo.com/person/Aden-duale/,"Orange Democratic Movement, United Republican Party (URP)",Aspirant MP at Garissa Township (Constituency 2013-),Member of Parliament at Dujis (Constituency 2007-2013),15
Same (post vying for missing),CLEMENT KUNGU WAIBARA,PEOPLES PARTY OF KENYA,GATUNDU NORTH (constituency),,81923704-7B69-E211-B91E-005056870012,Clement Kung'u Waibara,Clement Kung'u Waibara,,http://info.mzalendo.com/person/clement-waibara/,Party of Independent Candidates of Kenya (PICK),,Member of Parliament at Gatundu North (Constituency 2007-2013),146
Same,WASHINGTON JAKOYO MIDIWO,ORANGE DEMOCRATIC MOVEMENT,GEM (constituency),,CE7330FF-A16B-E211-A5C8-005056870012,Washington Jakoyo Midiwo,Washington Jakoyo Midiwo,,http://info.mzalendo.com/person/Jakoyo-midiwo/,Orange Democratic Movement,Aspirant MP at Gem (Constituency 2013-),Member of Parliament at Gem (Constituency 2007-2013),184
Same (post vying for missing),PETER NJOROGE BAIYA,THE NATIONAL ALLIANCE,GITHUNGURI (constituency),,66838050-9F67-E211-8158-00505687000D,Peter Njoroge Baiya,Peter Njoroge Baiya,,http://info.mzalendo.com/person/peter-baiya/,Safina Party Of Kenya,,Member of Parliament at Githunguri (Constituency 2007-2013),8
Same (post vying for missing),MARTIN OTIENO OGINDO,FEDERAL PARTY OF KENYA,HOMA BAY TOWN (constituency),,7C21744F-AE6B-E211-A5C8-005056870012,Martin Otieno Ogindo,Martin Otieno Ogindo,,http://info.mzalendo.com/person/martin-ogindo/,Orange Democratic Movement,,Member of Parliament at Rangwe (Constituency 2007-2013),120
Same,FRANKLIN MITHIKA LINTURI,THE NATIONAL ALLIANCE,IGEMBE SOUTH (constituency),,2AD8A1FB-A067-E211-8158-00505687000D,Franklin Mithika Linturi,Franklin Mithika Linturi,,http://info.mzalendo.com/person/Franklin-linturi/,"Kenya African National Union, The National Alliance (TNA)",Aspirant MP at Igembe South (Constituency 2013-),Member of Parliament at Igembe South (Constituency 2007-2013),69
Same,SOPHIA ABDI NOOR,UNITED REPUBLICAN PARTY,IJARA (constituency),,A3FA8127-3669-E211-9497-005056870012,Sophia Abdi Noor,Sophia Abdi Noor,,http://info.mzalendo.com/person/sophia-noor/,"Orange Democratic Movement, United Republican Party (URP)",Aspirant MP at Ijara  (Constituency 2013-),Nominated Member of Parliament at None,375
Same (post vying for missing),LEWIS NGANGA NGUYAI,NATIONAL RAINBOW COALITION,KABETE (constituency),,1384ECBB-3E6C-E211-A5C8-005056870012,Lewis Nganga Nguyai,Lewis Nganga Nguyai,,http://info.mzalendo.com/person/lewis-nguyai/,Party of National Unity,,Member of Parliament at Kikuyu (Constituency 2007-2013),113
Same,JOSEPH KASAINE NKAISSERY,ORANGE DEMOCRATIC MOVEMENT,KAJIADO CENTRAL (constituency),,87A61CBD-486C-E211-A5C8-005056870012,Joseph Kasaine Ole Nkaissery,Joseph Kasaine Ole Nkaissery,,http://info.mzalendo.com/person/joseph-nkaissery/,Orange Democratic Movement,"Aspirant MP at Kajiado Central (Constituency 2013-), Aspirant MP at Kajiado Central (Constituency 2013-)",Member of Parliament at Kajiado Central (Constituency 2007-2013),192
Same (post vying for missing),MOSES SOMOINE OLE SAKUDA,THE NATIONAL ALLIANCE,KAJIADO WEST (constituency),,1138EDD7-9B67-E211-8158-00505687000D,Moses Somoine ole Sakuda,Moses Somoine ole Sakuda,,http://info.mzalendo.com/person/moses-ole-sakuda/,The National Alliance (TNA),,Member of Parliament at Kajiado North (Constituency 2007-2013),442
Same,YUSUF HASSAN ABDI,THE NATIONAL ALLIANCE,KAMUKUNJI (constituency),,EB529B2C-7C69-E211-B91E-005056870012,Yusuf Hassan Abdi,Yusuf Hassan Abdi,,http://info.mzalendo.com/person/yusuf-hassan-abdi/,"Party of National Unity, The National Alliance (TNA)",Aspirant MP at Kamukunji (Constituency 2013-),Member of Parliament at Kamukunji (Constituency 2007-2013),398
Same (switched parties?),JAMES MAINA KAMAU,DEMOCRATIC PARTY OF KENYA,KANDARA (constituency),,B160075C-C866-E211-A3B9-00505687000D,James Maina Kamau,James Maina Kamau,,http://info.mzalendo.com/person/Maina-kamau/,Party of National Unity,,Member of Parliament at Kandara (Constituency 2007-2013),34
Same (post vying for missing),JAMES GORDON KWANYA REGE,ORANGE DEMOCRATIC MOVEMENT,KARACHUONYO (constituency),,ADD4E7C5-3669-E211-9497-005056870012,James Kwanya Rege,James Kwanya Rege,,http://info.mzalendo.com/person/james-rege/,Orange Democratic Movement,,Member of Parliament at Karachuonyo (Constituency 2007-2013),135
Same,JOSEPH O. MAGWANGA,ORANGE DEMOCRATIC MOVEMENT,KASIPUL (constituency),,988B3EDA-BE6B-E211-A5C8-005056870012,Joseph Oyugi Magwanga,,,http://info.mzalendo.com/person/joseph-magwanga/,Orange Democratic Movement,,Member of Parliament at Kasipul Kabondo (Constituency 2007-2013),73
Same,DUNSON MUTUKU MUTISO,RESTORE AND BUILD KENYA,KATHIANI (constituency),,775CCD40-5A66-E211-A3B9-00505687000D,Dunson Mutiso,Dunson Mutiso,,http://info.mzalendo.com/person/dunson-mutiso/,,Aspirant MP at Kathiani (Constituency 2007-2013),,409
Same,JACKSON KIPLAGAT KIPTANUI,UNITED REPUBLICAN PARTY,KEIYO SOUTH (constituency),,5CF58BF4-3569-E211-9497-005056870012,Jackson Kiplagat Kiptanui,Jackson Kiplagat Kiptanui,,http://info.mzalendo.com/person/jackson-kiptanui/,"Orange Democratic Movement, United Republican Party (URP)",Aspirant MP at Keiyo South (Constituency 2013-),Member of Parliament at Keiyo South (Constituency 2007-2013),52
Same (post vying for missing),DAVID KIPTANUI KOROS,KENYA AFRICAN NATIONAL UNION,KESSES (constituency),,81E17E2C-DB69-E211-B91E-005056870012,David Kiptanui Koros,David Kiptanui Koros,,http://info.mzalendo.com/person/david-koros/,Kenya African National Union,,,314
Same (Post vying for not listed),JULIUS ARUNGAH,FEDERAL PARTY OF KENYA,KHWISERO (constituency),,623A09A4-686C-E211-A5C8-005056870012,Julius Odenyo Arungah,,,http://info.mzalendo.com/person/julius-arungah/,National Rainbow Coalition,,,292
Same (post vying for missing),EVANS BULIMO AKULA,FORUM FOR RESTORATION OF DEMOCRACY-KENYA,KHWISERO (constituency),,7F66141B-0269-E211-9497-005056870012,Evans Bulimo Akula,Evans Bulimo Akula,,http://info.mzalendo.com/person/evans-akula/,Orange Democratic Movement,,Member of Parliament at Khwisero (Constituency 2007-2013),4
Same,JESSICA NDUKU KIKO MBALU,WIPER DEMOCRATIC MOVEMENT- KENYA,KIBWEZI EAST (constituency),,1586C22B-8E6C-E211-A5C8-005056870012,Jessica N. Mbalu,,,http://info.mzalendo.com/person/jessica-mbalu/,,Aspirant MP at Kibwezi East (Constituency 2013-),,432
Same,JAMLECK IRUNGU KAMAU,THE NATIONAL ALLIANCE,KIGUMO (constituency),,CA7D3677-9F67-E211-8158-00505687000D,Jamleck Irungu Kamau,Jamleck Irungu Kamau,,http://info.mzalendo.com/person/jamleck-kamau/,"Party of National Unity, The National Alliance (TNA)",Aspirant MP at Kigumo (Constituency 2013-),Member of Parliament at Kigumo (Constituency 2007-2013),35
Same,BARNABAS MUTURI C. MWANGI,GRAND NATIONAL UNION,KIHARU (constituency),,2AF3A76B-BB66-E211-A3B9-00505687000D,Barnabas Muturi C. Mwangi,Barnabas Muturi C. Mwangi,,http://info.mzalendo.com/person/barnabas-mwangi/,"Grand National Union, Party of National Unity",Aspirant MP at Kiharu (Constituency 2013-),Member of Parliament at Kiharu (Constituency 2007-2013),102
Same,VISCOUNT JAMES KIMATHI,DEMOCRATIC PARTY OF KENYA,KIKUYU (constituency),,7C60075C-C866-E211-A3B9-00505687000D,Viscount James Kimathi,Viscount James Kimathi,,http://info.mzalendo.com/person/viscount-kimathi/,"Democratic Party, Kenya African National Union",Aspirant MP at Kikuyu (Constituency 2013-),,237
Same (post vying for missing),GIDEON SITELU KONCHELLA,UNITED REPUBLICAN PARTY,KILGORIS (constituency),,5EF4D733-3669-E211-9497-005056870012,Gideon Sitelu Konchella,Gideon Sitelu Konchella,,http://info.mzalendo.com/person/gideon-konchella/,Party of National Unity,,Member of Parliament at Kilgoris (Constituency 2007-2013),322
Same,BENEDICT FONDO  GUNDA,CHAMA CHA UZALENDO,KILIFI SOUTH (constituency),,5C53DB25-B567-E211-8158-00505687000D,Benedict Fondo Gunda,,,http://info.mzalendo.com/person/benedict-gunda/,"Chama Cha Uzalendo, Orange Democratic Movement",Aspirant MP at Kilifi South (Constituency 2013-),Member of Parliament at Bahari (Constituency 2007-2013),25
Same,SAMUEL GONZI RAI,THE NATIONAL ALLIANCE,KINANGO (constituency),,52910520-A86C-E211-A5C8-005056870012,Samuel Gonzi Rai,Samuel Gonzi Rai,,http://info.mzalendo.com/person/samuel-rai/,"Ford People, Kenya African National Union, The National Alliance (TNA)",Aspirant MP at Kinango (Constituency 2013-),Member of Parliament at Kinango (Constituency 2007-2013),203
Same (post vying for missing),JOSEPH GACHOKI GITARI,THE NATIONAL ALLIANCE,KIRINYAGA CENTRAL (constituency),,5B838050-9F67-E211-8158-00505687000D,Joseph Gachoki Gitari,Joseph Gachoki Gitari,,http://info.mzalendo.com/person/joseph-gitari/,Party of National Unity,,Member of Parliament at Kirinyaga Central (Constituency 2007-2013),388
