senatorial_district,lga_areas
ABIA CENTRAL,Umuahia North,Umuahia South,Ikwuano,Isiala Ngwa North,Isiala Ngwa South
ABIA NORTH,Umu-Nneochi,Isuikwua,Ohafia Abia,Arochukw,Bende
ABIA SOUTH,Aba North,Aba South,Ugwunagbo,Obio/Akp,Ukwa East,Ukwa West,Osisioma Ngwa
ADAMAWA CENTRAL,Hong,Fufore,Song,Yola North,Yola South
ADAMAWA NORTH,Madagali,Maiha,Michika,Mubi North,Mubi South
ADAMAWA SOUTH,Demsa,Ganye,Guyuk,Jada,Mayo-Bel,Numan,Shelleng,Teungo,Lamurde
AKWA IBOM NORTH EAST,Etinan,Ibesikpo Asutan,Ibiono Ibom,Itu,Nsit Atai,Nsit Ibom,Nsit Ubium,Uruan,Uyo
AKWA IBOM NORTH WEST,Abak,Essien-U,EtimEkpo,Ika,Ikono,Ikot-Ekp,Ini,Obot Akara,Oruk-Ana,Ukanafun
AKWA IBOM SOUTH,Eastern O bolo,Eket,Esit Eket,Ibeno,Ikot-Aba,Mbo,Mkpat Enin,Okobo,Onna,Oron,Udung Uko,UrueOffo
ANAMBRA CENTRAL,AwkaNort,AwkaSout,Njikoka,Anaocha,Idemili North,Idemili South,Dunukofia
ANAMBRA NORTH,Onitsha North,Onitsha South,Oyi,Ogbaru,Anambra East,Anambra West,Ayamelum
ANAMBRA SOUTH,Ihiala,NnewiNort,AbujaMun,OrumbaSo,OrumbaNo,Aguata,Ekwusigo
Bauchi CENTRAL,Ningi,Warji,Darazo,Gwagwala,Misau,Damban
Bauchi NORTH,Zaki,Gamawa,Jama'are,Itas/Gad,Shira,Giade,Katagum
Bauchi SOUTH,Alkaleri,Kirfi,175 Bauchi,Tafawa-B,Bogoro,Dass,Toro
BAYELSA CENTRAL,Kolokuma/Opokuma,Southern Ijaw,Yenegoa
BAYELSA EAST,Brass,Nembe,Ogbia
BAYELSA WEST,Ekeremor,Sagbama
BENUE NORTH EAST,Katsina (Benue),Konshish,Kwande,Logo,Ukum,Ushongo,Vandeiky
BENUE NORTH WEST,Buruku,Gboko,Guma,Gwer East,GwerWest,Makurdi,Tarka
