state,senatorial_district,code,lga_areas
Gombe,GOMBE NORTH ,SD/045/GM,"FUNAKAYE, NAFADA, GOMBE, KWAMI,DUKKU"
Gombe,GOMBE SOUTH,SD/044/GM,"BALANGA, BILLIRI, KALTUNGO, SHONGOM"
Imo,IMO EAST,SD/046/IM,"ABOH MBAISE, AHIAZU MBAISE, EZINIHITTE, IKEDURU, MBAITOLI, NGOR OKPALA, OWERRI MUNICIPAL, OWERRI NORTH, OWERRI WEST"
Imo,IMO NORTH ,SD/048/IM,"EHIME MBANO, IHITE/UBOMA, ISIALA MBANO, OBOWO, OKIGWE, ONUIMO"
Imo,IMO WEST,SD/047/IM,"IDEATO NORTH, IDEATO SOUTH, ISU, NJABA, NKWERE, NWANGELE, OGUTA, OHAJI/EGBEMA, ORLU, ORSU, ORU WEST, ORU EAST"
Jigawa,JIGAWA NORTH - WEST ,SD/051/JG,"BABURA, GAGARA, GARKI, GWIWA, KAZAURE, MAIGATAR, RONI, RINGIN, S/TANKAR, TAURA, YANKWASHI, GUME"
Jigawa,JIGAWA NORTH – EAST,SD/050/JG,"AUYO, BIRNIWA, GURI, HADEJIA, KAUGAMA, K/HAUSA, K/KASAMMA, M/MADORI"
Jigawa,JIGAWA SOUTH – WEST,SD/049/JG,"BIRNIN KUDU, BUJI, DUTSE, GWARAM, KIYAWA, JAUN, MIGA"
Kaduna,KADUNA CENTRAL,SD/053/KD,"BIRNIN GWARI, GIWA, IGABI, KADUNA NORTH, KADUNA SOUTH, CHIKUN, KAJURU"
Kaduna,KADUNA NORTH,SD/052/KD,"KUBAU, IKARA, MAKARFI, SOBA, SABON GARI, ZARIA, LERE, KUDAN"
Kaduna,KADUNA SOUTH,SD/054/KD,"JEMA’A, JABA, KAURA, ZANGON, KAURA, KACHIA, KAGARKO, SANGA"
Kano,KANO SOUTH,SD/057/KN,"ALBASU, BEBEJI, BUNKURE, DOGUWA, GAYA, KIRU, RANO, TAKAI, AJINGI, ROGO, KIBIYA, TUDUN WADA, GARKO, WUDIL, SUMAILA"
Kano,KANO CENTRAL,SD/055/KN,"DALA, GWALE, DAWAKIN, GEZAWA, TARAUNI, FAGGE, GARUM MALLAM, KANO MUNICIPAL, KUMBOTSO, KURA, MADOBI, MINJIBIR, NASSARAWA, UNGOGO, WARAWA"
Kano,KANO NORTH,SD/056/KN,"BICHI, SHANONO, BAGWAI, DANBATTA, MAKODA, DAWAKIN, GABASAWA, GWARZO, KABO, RIMI GADO, TOFA, TSANYAWA, KUNCHI, KARAYE"
Katsina,KATSINA CENTRAL ,SD/060/KT,"KATSINA, KAITA, JIBIA, BATSARI, SAFANA, DUTSIN-MA, KURFI, BATAGARAWA, RIMI, CHARANCHI, DANMUSA"
Katsina,KATSINA NORTH,SD/058/KT,"DAURA, ZANGO, MAIADUA, MASHI, MANI, INGAWA, BINDAWA, SANDAMU, DUTSI, KANKIA, KUSADA, BAURE"
Katsina,KATSINA SOUTH,SD/059/KT,"FUNTUA, FASKARI, DANJA, DANDUME, BAKORI, KANKARA, MALUMEFASHI, KAFUR, MUSAWA, MATAZU, SABUWA"
Kebbi,KEBBI CENTRAL,SD/062/KB,"ALEIRO, BIRNIN KEBBI, BUNZA, GWANDU, KALGO, KOKO BESSE, MAIYAMA"
Kebbi,KEBBI NORTH,SD/061/KB,"AREWA, ARGUNGU, AUGIE, BAGUDO, DANDI, SURU, JEGA"
Kebbi,KEBBI SOUTH,SD/063/KB,"FAKAI, NGASKI, SAKABA, SHANGA, WASAGU/DANKO, YAURI, ZURU"
Kogi,KOGI CENTRAL,SD/064/KG,"ADAVI, AJAOKUTA, OGORI/MAGONGO, OKEHI, OKENE"
Kogi,KOGI EAST,SD/065/KG,"ANKPA, BASSA, DEKINA, IBAJI, IDAH, IGALAMELA-ODOLU, OFU, OLAMABORO, OMALA"
Kogi,KOGI WEST,SD/066/KG,"IJUMU, KABBA, KOGI, LOKOJA, MOPAMURO, YAGBA EAST, YAGBA WEST"
Kwara,KWARA CENTRAL,SD/068/KW,"ASA, ILORIN EAST, ILORIN SOUTH, ILORIN WEST, OFFA"
Kwara,KWARA NORTH,SD/067/KW,"BARUTEN, EDU, PATIGI, KAIAMA, MORO"
Kwara,KWARA SOUTH,SD/069/KW,"EKITI, OKE-ERO, IFELODUN, IREPODUN, ISIN, OYUN"
Lagos,LAGOS WEST,SD/072/LA,"AGEGE,IFAKO-IJAYE, ALIMOSHO, BADAGRY, OJO, AJEROMI/IFELODUN, AMUWO-ODOFIN, OSHODI/ISOLO, IKEJA, MUSHIN"
Lagos,LAGOS CENTRAL,SD/070/LA,"LAGOS ISLAND, LAGOS MAINLAND, SURULERE, APAPA, ETI-OSA"
Lagos,LAGOS EAST,SD/071/LA,"SHOMOLU, KOSOFE, EPE, IBEJU-LEKKI, IKORODU"
Nassarawa,NASSARAWA SOUTH,SD/075/NW,"LAFIA, AWE, DOMA, KEANA, OBI"
Nassarawa,NASSARAWA NORTH,SD/073/NW,"AKAWANGA, NASSARAWA EGGON, WAMBA"
Nassarawa,NASSARAWA WEST,SD/074/NW,"NASSARAWA, KEFFI, KOKONA, KARU, TOTO"
Niger,NIGER EAST,SD/076/NG,"BOSSO, CHACHANGA, GURARA, PAIKORO, RAFI, SHIRORO, MUYA, SULEJA, TAFA"
Niger,NIGER NORTH,SD/077/NG,"AGWARA, BORGU, KONTOGORA, MARIGA, RIJAU, WUSHISHI, MASHEGU MAGAMA"
Niger,NIGER SOUTH,SD/078/NG,"AGAIE, BIDA, KATCHA, BATAGI, LAPAI, LAVUN, EDATI-IDATI, MOKWA"
Ogun,OGUN CENTRAL,SD/079/OG,"IFO, EWEKORO, OBAFEMI/OWODE, ABEOKUTA NORTH, ABEOKUTA SOUTH, ODEDA"
Ogun,OGUN EAST,SD/080/OG,"SAGAMU, IKENNE, REMO NORTH, IJEBU-ODE, ODOGBOLU, IJEBU NORTH EAST, IJEBU NORTH, IJEBU EAST, OGUN WATERSIDE"
Ogun,OGUN WEST,SD/081/OG,"IMEKO AFON, EGBADO NORTH, EGBADO SOUTH, IPOKIA, ADO-ODO/OTA"
Ondo,ONDO CENTRAL,SD/083/OD,"AKURE NORTH, AKURE SOUTH, IFEDORE, IDANRE, ONDO EAST, ONDO WEST"
Ondo,ONDO NORTH,SD/082/OD,"AKOKO NORTH EAST, AKOKO NORTH WEST, AKOKO SOUTH WEST,AKOKO SOUTH EAST, OSE, OWO"
Ondo,ONDO SOUTH,SD/084/OD,"ILEOLUJI/OKEIGBO, ODIGBO, IRELE, OKITIPUPA, ESE-ODO, ILAJE"
Osun,OSUN CENTRAL,SD/085/OS,"BORIPE, BOLOWADURO, IFELODUN, ILA, IFEDAYO, IREPODUN, OROLU, ODO-OTIN, OLORUNDA, OSOGBO"
Osun,OSUN EAST,SD/086/OS,"ATAKUNMOSA EAST, ATAKUNMOSA WEST, IFE CENTRAL, IFE EAST, IFE NORTH, IFE SOUTH, ILESA EAST, ILESA WEST, OBOKUN, ORIADE"
Osun,OSUN WEST,SD/087/OS,"AYADAADE, AYEDIRE, EDE NORTH, EDE SOUTH, EGBEDORE, EJIGBO, IREWOLE, ISOKAN, IWO, OLA-OLUWA"
Oyo,OYO CENTRAL,SD/088/OY,"AFIJIO, AKINYELE, EGBEDA, OGO OLUWA, SURULERE, LAGELU, OLUYOLE, ONA-ARA, OYO EAST, OYO WEST, ATIBA"
Oyo,OYO NORTH,SD/089/OY,"SAKI WEST, SAKI EAST, ATIGBO, IREPO, OLORUNSOGO, KAJOLA, IWAJOWA, OGBOMOSHO NORTH, OGBOMOSHO SOUTH, ISEYIN, OORELOPE, ORIRE, ITESIWAJU"
Oyo,OYO SOUTH,SD/090/OY,"IBADAN NORTH, IBADAN NORTH EAST, IBADAN NORTH WEST, IBADAN SOUTH EAST, IBADAN SOUTH WEST, IBARAPA CENTRAL, IBARAPA NORTH, IBARAPA EAST, IDO"
Plateau,PLATEAU CENTRAL,SD/092/PL,"BOKKOS, KANKE, MANGU, PANKSHIN, KANAM"
Plateau,PLATEAU NORTH,SD/093/PL,"BARKIN LADI, BASSA, JOS EAST, JOS NORTH, JOS SOUTH, RIYOM"
Plateau,PLATEAU SOUTH,SD/091/PL,"LANTANG NORTH, LANTANG SOUTH, MIKANG, QUA’AN PAN, SHENDAM, WASE"
Rivers,RIVERS EAST,SD/094/RV,"ETCHE, OMUMA, IKWERRE, OBIO AKPOR, PORT HARCOURT, OKIRIKA, OGU BOLO, EMOHUA"
Rivers,RIVERS SOUTH EAST,SD/095/RV,"OPOBO/NKORO, ANDONI, OYIGBO, TAI, ELEME, GOKANA, KHANA"
Rivers,RIVERS WEST,SD/096/RV,"ASARI-TORU, AKUKU-TORU, DEGEMA, OGBA/EGBEMA/NDONI, ABUA-ODUAL, AHOADA EAST, AHOADA WEST, BONNY"
Sokoto,SOKOTO EAST,SD/097/SO,"ISA, SABON BIRNI, WURNO, GORONYO, RABAH, GADA, ILLELA, GWADABAWA"
Sokoto,SOKOTO NORTH,SD/098/SO,"TANGAZA, BINJI, SILAME, GUDU, KWARE, WAMAKKO,SOKOTO NORTH, SOKOTO SOUTH"
Sokoto,SOKOTO SOUTH,SD/099/SO,"DANGE SHUNI, TURETA, BODINGA, SHAGARI, YABO, TAMBUWA, KEBBE"
Taraba,TARABA CENTRAL,SD/101/TR,"SARDAUNA, KURMI, BALI, GASHAKA, GASSOL"
Taraba,TARABA NORTH,SD/102/TR,"JALINGO, YORRO, ZING, LAU, ARDO-KOLA, KARIM-LAMIDO"
Taraba,TARABA SOUTH,SD/100/TR,"WUKARI, IBI, DONGA, USSA, TAKUM"
Yobe,YOBE EAST,SD/103/YB,"BURSARI, GEIDAM,GUJBA, GULANI, TARMUWA, YUNUSARI"
Yobe,YOBE NORTH,SD/104/YB,"BADE, JAKUSKO, MACHINA, KARASUWA, NGURU, YUSUFARI"
Yobe,YOBE SOUTH,SD/105/YB,"FIKA, FUNE, NANGERE, POTISKUM, DAMATURU"
Zamfara,ZAMFARA CENTRAL,SD/107/ZF,"GUSAU, TSAFE, BUNGUDU, MARU"
Zamfara,ZAMFARA NORTH,SD/106/ZF,"K/NAMODA, SHINKAFI, ZURMI, BIRNIN MAGAJI, T/MAFARA"
Zamfara,ZAMFARA WEST,SD/108/ZF,"MARADUN, BAKURA, ANKA, BUKKUYUM, GUMMI"
