state,senatorial_district,code,lga_areas
Abia,ABIA CENTRAL ,SD/002/AB,"UMUAHIA NORTH, UMUAHIA SOUTH, IKWUANO, ISIALA NGWA NORTH, ISIALA NGWA SOUTH, "
Abia,ABIA NORTH ,SD/001/AB,"UMUNNEOCHI, ISUKWUATO, OHAFIA, AROCHUKWU, BENDE"
Abia,ABIA SOUTH ,SD/003/AB,"ABA NORTH, ABA SOUTH, UGWUNAGBO, OBINGWA, UKWA EAST, UKWA WEST & OSISIOMA "
Adamawa,ADAMAWA CENTRAL,SD/006/AD,"HONG, FUFORE, SONG, YOLA NORTH, YOLA SOUTH, GERFI"
Adamawa,ADAMAWA NORTH,SD/004/AD,"MADAGALI, MAIHA, MICHIKA, MUBI NORTH, MUBI SOUTH "
Adamawa,ADAMAWA SOUTH ,SD/005/AD,"DEMSA, GANYE, GUYUK, JADA, MAYO-BELWA, NUMAN, SHELLENG, TOUNGO, LAMURDE"
Akwa Ibom,AKWA IBOM NORTH EAST,SD/007/AK,"ETINAN, IBESIKPO ASUTAN, IBIONO IBOM, ITU, NSIT ATAI, NSIT IBOM, NSIT UBIUM, URUAN, UYO"
Akwa Ibom,AKWA IBOM NORTH WEST ,SD/008/AK,"ABAK, ESSIEN UDIM, ETIM EKPO, IKA, IKONO, IKOT EKPENE, INI, OBOT AKARA, ORUK ANAM, UKANAFUN"
Akwa Ibom,AKWA IBOM SOUTH ,SD/009/AK,"EASTERN OBOLO, EKET, ESIT EKET, IBENO, IKOT ABASI, MBO, MKPAT ENIN, OKOBO, ONNA, ORON, UDUNG UKO,URUE OFFONG/ORUKO"
Anambra,ANAMBRA CENTRAL ,SD/011/AN,"AWKA NORTH, AWKA SOUTH, NJIKOKA, ANAOCHA, IDEMILI NORTH, IDEMILI SOUTH, DUNUKOFIA"
Anambra,ANAMBRA NORTH ,SD/010/AN,"ONITSHA NORTH, ONITSHA SOUTH, OYI, OGBARU, ANAMBRA EAST, ANAMBRA WEST, AYAMELUM"
Anambra,ANAMBRA SOUTH ,SD/012/AN,"IHIALA, NNEWI NORTH, NNEWI SOUTH, ORUMBA SOUTH, ORUMBA NORTH, AGUATA, EKWUSIGO"
Bauchi,BAUCHI CENTRAL ,SD/014/BA,"NINGI, WARJI, DARAZO, GANJUWA, MISAU, DAMBAN"
Bauchi,BAUCHI NORTH ,SD/015/BA,"ZAKI, GAMAWA, JAMA’ARE, ITAS-GADAU, SHIRA, GIADE, KATAGUM"
Bauchi,BAUCHI SOUTH ,SD/013/BA,"ALKALERI, KIRFI, BAUCHI, TAFAWA BALEWA, BOGORO, DASS, TORO"
Bayelsa,BAYELSA CENTRAL ,SD/017/BY,"KOLOKUMA/OPOKUMA, SOUTHERN IJAW, YENAGOA"
Bayelsa,BAYELSA EAST,SD/016/BY,"BRASS, NEMBE, OGBIA"
Bayelsa,BAYELSA WEST ,SD/018/BY,"EKEREMOR, SAGBAMA"
Benue,BENUE NORTH EAST ,SD/019/BN,"KATSINA-ALA, KONSHISHA, KWANDE, LOGO, UKUM, USHONGO, VANDEIKYA"
Benue,BENUE NORTH WEST,SD/020/BN,"BURUKU, GBOKO, GUMA, GWER-EAST, GWER-WEST, MARKURDI, TARKA"
Benue,BENUE SOUTH,SD/021/BN,"ADO, AGATU, APA, OBI, OGBADIBO, OHIMINI, OJU,OKPOKWU, OTUKPO"
Borno,BORNO CENTRAL,SD/023/BO,"DIKWA, JERE, KALA BALGE, MAFA, METROPOLITAN, NGALA, KONDUGA, BAMA, KAGA"
Borno,BORNO NORTH,SD/022/BO,"ABADAM, GUBIO, GUZAMALA, KUKAWA, MAGUMERI, MARTE, MOBBAR, NGANZA, MOGUNO"
Borno,BORNO SOUTH,SD/024/BO,"ASKIRA/UBA, BAYO, BIU, CHIBOK, DAMABOA, GWOZA, HAWUL, KWAYA, SHANI"
Cross River,CROSS RIVER CENTRAL,SD/026/CR,"ABI, BOKI, ETUNG, IKOM, OBUBRA, YAKURR"
Cross River,CROSS RIVER NORTH,SD/025/CR,"BEKWARRA, OBANLIKU, OBUDU, OGOJA, YALA, BIASE"
Cross River,CROSS RIVER SOUTH,SD/027/CR,"CALABAR MUNICIPAL, CALABAR SOUTH, AKAMKPA, AKPABUYO, BAKASSI, ODUKPANI"
Delta,DELTA CENTRAL,SD/028/DT,"ETHIOPE EAST, ETHIOPE WEST, OKPE, SAPELE,UDU, UGHELLI NORTH, UGHELI SOUTH, UVWIE"
Delta,DELTA NORTH,SD/029/DT,"ANIOCHA NORTH, ANIOCHA SOUTH, IKA NORTH-EAST, IKA SOUTH, NDOKWA EAST, NDOKWA WEST, OSHIMILI NORTH, OSHIMILI SOUTH, UKWUANI"
Delta,DELTA SOUTH,SD/030/DT,"BOMADI, BURUTU, ISOKO NORTH, ISOKO SOUTH, PATANI, WARRI NORTH, WARRI SOUTH, WARRI SOUTH WEST"
Ebonyi,EBONYI SOUTH,SD/033/EB,"AFIKPO NORTH, AFIKPO SOUTH, IVO, OHAOZARA, ONICHA"
Ebonyi,EBONYI CENTRAL,SD/032/EB,"EZZA NORTH, EZZA SOUTH, IKWO, ISHIELU"
Ebonyi,EBONYI NORTH,SD/031/EB,"ABAKALIKI, EBONYI, IZZI, OHAUKWU"
Edo,EDO SOUTH,SD/036/ED,"OREDO, ORHIONMWON, OVIA NORTH EAST, OVIA SOUTH WEST, EGOR, UHUNMWODE, IKPOBA OKHA"
Edo,EDO CENTRAL,SD/034/ED,"ESAN CENTRAL, ESAN NORTH EAST, ESAN SOUTH EAST, ESAN WEST, IGUEBEN"
Edo,EDO NORTH,SD/035/ED,"AKOKO EDO, ETSAKO EAST, ETSAKO CENTRAL, ETSAKO WEST, OWAN EAST, OWAN WEST"
Ekiti,EKITI SOUTH,SD/039/EK,"EKITI SOUTH WEST, IKERE, EMURE, ISE/ORUN, GBONYIN, EKITI EAST"
Ekiti,EKITI CENTRAL,SD/038/EK,"ADO EKITI, IREPODUN/IFELODUN, IJERO, EFON, EKITI WEST"
Ekiti,EKITI NORTH,SD/037/EK,"IKOLE, OYE, IDO/OSI, MOBA, ILEJEMEJE"
Enugu,ENUGU NORTH,SD/042/EN,"IGBO-ETITI, IGBO-EZE NORTH, IGO-EZE SOUTH, UZO UWANI, UDENU, NSUKKA"
Enugu,ENUGU EAST,SD/040/EN,"ENUGU EAST, ENUGU NORTH, ENUGU SOUTH, ISI-UZO, NKANU EAST, NKANU WEST"
Enugu,ENUGU WEST,SD/041/EN,"ANINIRI, AWGU, EZEAGU, OJI RIVER, UDI "
Federal Capital Territory,FEDERAL CAPITAL TERRITORY,SD/109/FCT,"ABAJI AREA COUNCIL, GWAGWA AREA COUNCIL, KUJE AREA COUNCIL, MUNICIPAL AREA COUNCIL, KWALI AREA COUNCIL, BWARI AREA COUNCIL"
Gombe,GOMBE CENTRAL,SD/043/GM,"AKKO, YAMALTU/DEBA"
