current_name,lga_areas
BATAGARA/CHARANGI/RIMI,Batagarawa,Charanchi,Rimi
Mushin II Federal Constituency,Mushin
Kano Municipal,473 Kano
Bali/Gassol,Bali,Gassol
Gombi/Hong,Gombi,Hong
ADO/OGBADIBO/OKPOKWU,Ado,Ogbadibo,Okpokwu
Bade/Jakusko,Bade,Jakusko
Eti-Osa,Eti-Osa
Konshisha/Vandekiya,Konshish,Vandeiky
Southern Ijaw,Southern Ijaw
Hadejia/KafinHau,Hadejia,KafinHau
Oluyole,Oluyole
Malunfashi/Kafur,Malumfashi,Kafur
Arewa/Dandi,Arewa,Dandi
Igabi,Igabi
Jere,Jere
Soba,Soba
Tankarkar/Gagarawa,Gagarawa
Lere,Lere
GUSAU/TSAFE,Gusau,Tsafe
Gashaka/Kurmi/Sardauna,Gashaka,Kurmi,Sardauna
Lavvn/Edati/Mokwa,Lavun,Edati,Mokwa
Akure South / North,Akure South,Akure North
Ini /Ikono,Ini,Ikono
SHENDAMMIKANG/QUAANPAN,Shendam,Qua'anpa
Ohaji / Egbema-Oguta-Oru West,Ohaji/Eg,Oguta,Oru West
JAMAARE/ITAS-GADAU,Jama'are,Itas/Gad
Kukawa/Guzamala Abadam/Mobbar,Kukawa,Guzamala,Abadam,Mobbar
Mani/Bindawa Constituency,Mani,Bindawa
Makarfi/Kudan,Makarfi,Kudan
Tangaza/Gudu,Tangazar,Gudu
Gwagwala/Kuje,Gwagwala,Kuje
Ibi/Wukari,Ibi,Wukari
Karu / Kokona / Keffi,Karu,Kokona,Keffi
IDAH/IGALAMELA/IBAJI/OFU,Idah,Igalamela-Odolu,Ibaji,Ofu
Fika/Fune,Fika,Fune
Kachiya/Kagarko,Kachia,Kagarko
Lau/K/Lamido/Ardo-Kola,Lau,Gwiwa,Ardo-Kola
ORLU/ORSU/ORUE AST,Orlu,Orsu,Oru East
Egor / Ikpoba-Okha,Egor,Ikpoba-Okha
Apapa Federal Constituency,Apapa
GBOKO/TARKA,Gboko,Tarka
Obubra/Etung,Obubra,Etung
Boluwaduro / Ifedayo / Ila,Boluwaduro,Ifedayo,Ila
Wurno / Rabah,Wurno,Rabah
Maiduguri,Maidugur
Birnin Kebbi - Kalgo - Bunza,BirninKe,Kalgo,Bunza
Saki East/West/Atisbo,Saki East,Saki West,Atisbo
Ijebu Central,IjebuOde
Port Harcourt One,Port Harcourt
Itu,Itu
Damatura/Gujba/Gulani/Tarmuwa,Damaturu,Gujba,Gulani,Tarmuwa
Gombe Kwami Funakaye,370 Gombe,Kwami,Funakaye
Lafia  / Obi,Lafia,Obi
