"old_url","old_node_id","committee_meeting_id"
"/minutes/20030622-budget-vote",2960,2622
"/minutes/19980827-discussion",7622,6763
"/minutes/20001009-cultural-laws-second-amendment-bill-pansalb-nominations",2,2
"/minutes/20010402-budget-briefing",767,656
"/minutes/19980903-voting",7623,6764
"/minutes/20000111-deliberations",6309,5549
"/minutes/19981102-deliberations",7162,6323
"/minutes/20071016-deliberations",9864,8695
"/minutes/20080117-national-regulator-compulsory-specifications-nrcs-bill-and-standards-bill-briefing",10089,8728
"/report/20080507-sentech-20078-budget",11617,9050
"/report/20080812-expenditure-first-quarter-2008",13476,9474
"/report/20091104-review-joint-rules",19376,11064
"/report/20110921-review-salga-funding-model",28577,13436
"/report/20111207-election-chairperson",30085,13855
"/report/20120301-committee-programme",30893,14052
"/report/20120314-adoption-committee-programme",31172,14140
"/report/20120919-presentation-researchers",34114,14908
"/report/20121102-trade",35064,15155
"/report/20140903-colloquium-beneficiation",46526,17480
"/report/20120214-deliberations-south-african-weather-services-amendment-bill-b22-2011/feed",30450,13925
"/report/20120214-performance-management-system-independent-communications-authority-so/feed",30449,13924
"/report/20120214-lease-management-saps-offices-201112/feed",30448,13923
"/report/20091021-deputy-minister-dept-public-service-administration-state-information-/feed",18873,10932
"/report/20120306-consideration-committees-draft-report/feed",30976,14078
"/report/20120314-adoption-committee-programme/feed",31172,14140
"/report/20120201-consideration-south-african-languages-bill-b23-2011-second-briefing-d/feed",30277,13890
"/report/20120201-pc-justice-deliberations-superior-courts-bill-and-constitution-sevent/feed",30278,13891
"/report/20120201-department-energy-following-amendment-national-energy-regulator-act/feed",30279,13892
"/report/20120201-update-merger-khula-samaf-and-idc-small-business-activities/feed",30280,13893
"/report/20120209-department-transport-their-annual-report-201011/feed",30340,13894
"/report/20120208-consideration-indaba-resolutions-committee/feed",30341,13895
"/report/20120207-briefing-department-basic-education-and-umalusi-outcome-matric-result/feed",30342,13896
"/report/20120207-workshop-financial-and-fiscal-commission-budget-analysis-effective-ov/feed",30343,13897
"/report/20120207-minister-way-forward-presidency-outcome-cop-17/feed",30344,13898
"/report/20120207-southern-african-association-conference-industry-saaci-its-role-respe/feed",30345,13899
"/report/20120207-consideration-further-education-and-training-colleges-amendment-bill-/feed",30346,13900
"/report/20120207-minister-transport-status-interventions-road-traffic-management-corpo/feed",30347,13901
"/report/20120207-informal-briefing-national-treasury-draft-credit-rating-services-bill/feed",30348,13902
"/report/20120207-department-agriculture-forestry-and-fisheries-zero-hunger/feed",30349,13903
"/report/20120207-department-rural-development-and-land-reform-special-investigative-un/feed",30350,13904
"/report/20120207-deliberations-superior-courts-bill-and-constitution-seventeenth-amend/feed",30351,13905
"/report/20120207-adoption-committee-programme/feed",30352,13906
"/report/20120208-update-department-transport-work-done-national-department-strategy-mo/feed",30360,13907
"/report/20120208-follow-presentation-nelson-mandela-metro-urban-settlements-developmen/feed",30361,13908
"/report/20120208-consideration-and-adoption-first-term-committee-programme/feed",30362,13909
"/report/20120208-detailed-progress-report-ipap2-detailed-update-status-nipp-commitment/feed",30363,13910
"/report/20120208-ministers-public-service-and-administration-and-finance-progress-made/feed",30364,13911
"/report/20120208-department-trade-and-industry-small-business-review-report-briefing/feed",30365,13912
"/report/20120208-national-department-public-works-third-quarter-financial-performance-/feed",30366,13913
"/report/20120208-informal-briefing-national-treasury-draft-credit-rating-services-bill/feed",30367,13914
"/report/20120208-economic-development-department-their-third-quarter-report-considerat/feed",30368,13915
"/report/20120208-consideration-and-adoption-first-term-programme-2012-outstanding-comm/feed",30374,13916
"/report/20120208-briefing-all-provincial-commissioners-their-provinces-performances-cr/feed",30375,13917
"/report/20120208-ministerialdepartmental-assessmentanalysis-cop17-presented-ministerdi/feed",30376,13918
"/report/20120209-national-government-interventions-gauteng-free-state-and-limpopo-mini/feed",30379,13919
"/report/20120208-deliberations-remuneration-deputy-public-protector/feed",30386,13920
"/report/20120208-mining-charter-public-hearings-report-adoption-minutes/feed",30389,13921
"/report/20120208-presentation-department-labour-progress-achieving-millennium-developm/feed",30395,13922
"/report/20120214-department-justice-and-constitutional-development-sheriffs-amendment-/feed",30451,13926
"/report/20120214-department-sport-and-recreation-response-state-nation-address-sona/feed",30452,13927
"/report/20120214-national-treasury-department-public-works-social-sector-expanded-publ/feed",30456,13928
"/report/20120214-researcher-onimpact-presidents-state-nation-address-2012-work-committ/feed",30457,13929
"/report/20120214-department-energy-its-international-programmes-including-power-poolin/feed",30458,13930
"/report/20120214-department-health-national-health-insurance-white-paper-and-new-hiv-p/feed",30459,13931
"/report/20120214-department-basic-education-their-quarterly-reports-3rd-quarter-201112/feed",30461,13932
"/report/20120215-ministerial-and-departmental-briefings-interventions-eastern-cape-dep/feed",30462,13933
"/report/20120214-department-energy-salga-eskom-implementation-integrated-national-elec/feed",30464,13934
"/report/20120214-hearings-department-public-works-annual-report-and-financial-statemen/feed",30465,13935
"/report/20120214-follow-meeting-expanded-public-works-programme-incentive-model-follow/feed",30466,13936
"/report/20120214-south-african-airways-and-south-african-express-airways-actions-taken/feed",30467,13937
"/report/20120214-parliamentary-research-unit-cape-peninsula-university-technology-anal/feed",30468,13938
"/report/20120214-ms-mm-sommer-counsellor-labour-and-social-affairs-german-embassy/feed",30469,13939
"/report/20120214-department-transport-its-programmes-and-activities-2012-informed-its-/feed",30470,13940
"/report/20120214-department-cooperative-governance-establishment-role-and-functions-an/feed",30471,13941
"/report/20120215-committees-researcher-judicial-inspectorate-correctional-services-201/feed",30480,13942
"/report/20120215-department-mineral-resources-analysis-impact-state-nation-address-son/feed",30481,13943
"/report/20120215-departmental-briefing-progress-made-address-challenges-identified-dur/feed",30482,13944
"/report/20120215-response-department-submissions-received-gambling-review-commissions-/feed",30483,13945
"/report/20120215-minister-public-service-approach-and-progress-made-towards-implementa/feed",30485,13946
"/report/20120215-department-health-national-health-amendment-bill-b24-2011/feed",30486,13947
"/report/20120215-department-higher-education-and-training-registration-and-enrolments-/feed",30487,13948
"/report/20120215-department-justice-constitutional-development-implementation-domestic/feed",30491,13949
"/report/20120215-deliberations-key-issues-emanating-state-nation-address-receive-thorn/feed",30492,13950
"/report/20120215-update-square-kilometre-array-ska-project-department-briefing-committ/feed",30493,13951
"/report/20120215-business-unity-south-africa-south-africas-response-global-economic-cr/feed",30494,13952
"/report/20120215-department-international-relations-and-cooperation-their-strategic-pl/feed",30495,13953
"/report/20120215-department-trade-and-industry-policy-development-special-economic-zon/feed",30496,13954
"/report/20120214-election-chairperson-committee-programme-discussion/feed",30499,13955
"/report/20120215-consideration-south-african-languages-bill-b23-2011/feed",30517,13956
"/report/20120215-cooperative-governance-and-traditional-affairs-cogta-annual-report-20/feed",30518,13957
"/report/20120215-committee-deliberations-follow-oversight-visit-provinces-limpopo-and-/feed",30521,13958
"/report/20120215-deliberations-remuneration-package-deputy-public-protector/feed",30522,13959
"/report/20120217-energy-outcomes-cop-17-department-energy-world-wildlife-fund-briefing/feed",30557,13960
"/report/20120216-committee-programme-preliminary-deliberations/feed",30559,13961
"/report/20120221-independent-complaints-directorate-all-their-lease-agreements/feed",30596,13962
"/report/20120221-media-development-and-diversity-agency-asasa-aca-progress-made-transf/feed",30597,13963
"/report/20120221-presentation-health-and-welfare-seta-its-programmes/feed",30598,13964
"/report/20120221-presentation-national-sports-councils-sport-development-municipalitie/feed",30600,13965
"/report/20120221-department-home-affairs-funded-unfunded-posts-department-home-affairs/feed",30601,13966
"/report/20120221-electricity-distribution-industry-south-africa-doe-department-coopera/feed",30602,13967
"/report/20121010-ffc-mineral-resource-budget/feed",34381,14969
"/report/20120221-department-public-works-remedial-actions-department-will-take-201011/feed",30603,13968
"/report/20120221-auditor-general-filling-vacancies-departments-health/feed",30604,13969
"/report/20120221-deputy-minister-and-department-trade-and-industry-status-support-deve/feed",30605,13970
"/report/20120221-presentation-federated-hospitality-association-southern-africa-touris/feed",30606,13971
"/report/20120221-south-african-council-educators-implementation-continuing-professiona/feed",30607,13972
"/report/20120221-department-transport-human-resources-development-strategy-produce-sca/feed",30608,13973
"/report/20120221-postponed-meeting-agriculture-forestry-and-fisheries-3rd-quarter-expe/feed",30609,13974
"/report/20120221-hearing-department-rural-development-annual-report-financial-statemen/feed",30610,13975
"/report/20120221-wieta-work-association-has-done-order-ensure-its-members-were-applyin/feed",30611,13976
"/report/20120221-adoption-outstanding-committee-minutes-update-preparation-strategic-p/feed",30612,13977
"/report/20120221-discussion-committee-envisaged-oversight-visit-kwazulu-natal-and-east/feed",30613,13978
"/report/20120221-presentation-impact-state-nation-address-co-operative-governance-and-/feed",30614,13979
"/report/20120221-input-south-african-police-service-public-submissions-criminal-proced/feed",30615,13980
"/report/20120222-mintek-and-council-geoscience-their-201011-annual-reports/feed",30621,13981
"/report/20120222-department-correctional-services-extension-bosasa-nutrition-contract/feed",30622,13982
"/report/20120222-department-response-state-nation-address-progress-dwa-response-govern/feed",30629,13983
"/report/20120222-department-human-settlements-city-cape-town-recommendations-made-comm/feed",30630,13984
"/report/20120222-pc-pservices-department-public-service-and-administration-african-pee/feed",30631,13985
"/report/20120222-department-trade-and-industry-outcome-8th-world-trade-organisation-wt/feed",30632,13986
"/report/20120222-human-resources-development-council-south-africa-hrdcsa-programmes/feed",30633,13987
"/report/20120222-consideration-report-symposium-israeli-palestine-conflict-discussion-/feed",30634,13988
"/report/20120222-davidson-proposal-prohibit-contracting-between-organ-state-national-s/feed",30635,13989
"/report/20120222-department-science-technology-grand-challenges-bioeconomy-committee-d/feed",30636,13990
"/report/20120221-cancellation-meeting-department-human-settlements-audit-housing-units/feed",30651,13991
"/report/20120222-department-women-children-people-disabilities-response-state-nation-a/feed",30655,13992
"/report/20120222-committees-strategic-planning-report-2012-adoption-minutes/feed",30657,13993
"/report/20120222-committee-minutes-adoption/feed",30659,13994
"/report/20120222-expenditure-report-department-arts-and-culture/feed",30665,13995
"/report/20120222-criminal-procedure-amendment-bill-b39-–-2010-deliberations/feed",30667,13996
"/report/20120221-national-budget-201213-minister-finance/feed",30669,13997
"/report/20120222-health-professions-councils-regulation-higher-education-qualification/feed",30674,13998
"/report/20120224-general-intelligence-laws-amendment-bill-b25-2011-briefing-minister-s/feed",30702,13999
"/report/20120228-outstanding-committee-matters/feed",30704,14000
"/report/20120224-minister-trade-and-industry-2012-state-nation-address-budget-national/feed",30705,14001
