Surname,First names,Title,List,Party,Organisation,Place,Position Title,Start Date,End Date
MTHEMBU,NOKUKHANYA, Mrs,National,ANC,National Assembly,,Member,2014-05-21,future
MTHETHWA,EMMANUEL NKOSINATHI, Mr,National,ANC,National Assembly,,Member,2014-05-21,future
MTHETHWA,ENOCK MUZI, Mr,KZN,ANC,National Assembly,KwaZulu-Natal,Member,2014-05-21,future
MUBU,KENNETH SILILO, Mr,GP,DA,National Assembly,Gauteng,Member,2014-05-21,future
MUDAU,ABRAM MOLEFE, Mr,NW,ANC,National Assembly,North West,Member,2014-05-21,future
MULAUDZI,THILIVHALI ELPHUS, Mr,LP,EFF,National Assembly,Limpopo,Member,2014-05-21,future
MULDER,PIETER WILLEM ADRIAAN, Dr,National,FF Plus,National Assembly,,Member,2014-05-21,future
MULDER,CORNELIUS PETRUS, Dr,National,FF Plus,National Assembly,,Member,2014-05-21,future
MUTHAMBI,AZWIHANGWISI FAITH, Ms,National,ANC,National Assembly,,Member,2014-05-21,future
NCHABELENG,MAMAGASE ELLECK, Mr,LP,ANC,National Assembly,Limpopo,Member,2014-05-21,future
NDABA,CLAUDIA NONHLANHLA, Ms,GP,ANC,National Assembly,Gauteng,Member,2014-05-21,future
NDABENI-ABRAHAMS,STELLA TEMBISA, Ms,EC,ANC,National Assembly,Eastern Cape,Member,2014-05-21,future
NDEBELE,JOEL SIBUSISO, Mr,National,ANC,National Assembly,,Member,2014-05-21,future
NDLOZI,MBUYISENI QUINTIN, Mr,National,EFF,National Assembly,,Member,2014-05-21,future
NDONGENI,NOKUZOLA, Ms,EC,ANC,National Assembly,Eastern Cape,Member,2014-05-21,future
NEL,ANDRIES CARL, Mr,National,ANC,National Assembly,,Member,2014-05-21,future
NENE,NHLANHLA MUSA, Mr,KZN,ANC,National Assembly,KwaZulu-Natal,Member,2014-05-21,future
NESI,BONISILE ALFRED, Mr,EC,ANC,National Assembly,Eastern Cape,Member,2014-05-21,future
NGCOBO,BEATRICE THEMBEKILE, Ms,KZN,ANC,National Assembly,KwaZulu-Natal,Member,2014-05-21,future
NGWENYA-MABILA,PHUMUZILE CATHERINE, Ms,National,ANC,National Assembly,,Member,2014-05-21,future
NKADIMENG,MOGOTLE FRIDDAH, Ms,MP,ANC,National Assembly,Mpumalanga,Member,2014-05-21,future
NKOANA,HLAKUDI FRANS, Mr,MP,ANC,National Assembly,Mpumalanga,Member,2014-05-21,future
NKOANA-MASHABANE,MAITE EMILY, Ms,National,ANC,National Assembly,,Member,2014-05-21,future
NKOMO,SIBONGILE JUDITH, Ms,National,IFP,National Assembly,,Member,2014-05-21,future
NKWINTI,GUGILE ERNEST, Mr,National,ANC,National Assembly,,Member,2014-05-21,future
NOBANDA,GIRLY NAMHLA, Ms,NW,ANC,National Assembly,North West,Member,2014-05-21,future
NQAKULA,NOSIVIWE NOLUTHANDO, Ms,National,ANC,National Assembly,,Member,2014-05-21,future
Nqweniso,Ntombovuyo Veronica,Ms,GP,EFF,National Assembly,Gauteng,Member,2014-05-21,future
Ntobongwana,Pumza,Ms,National,EFF,National Assembly,,Member,2014-05-21,future
NTOMBELA,MADALA LOUIS DAVID, Mr,FS,ANC,National Assembly,Free State,Member,2014-05-21,future
NTSHAYISA,LULAMA MAXWELL, Mr,National,AIC,National Assembly,,Member,2014-05-21,future
NTULI,BONGI MARIA, Ms,National,ANC,National Assembly,,Member,2014-05-21,future
NXESI,THEMBELANI WALTERMADE, Mr,National,ANC,National Assembly,,Member,2014-05-21,future
NYALUNGU,RAESIBE EUNICE, Ms,National,ANC,National Assembly,,Member,2014-05-21,future
NZIMANDE,BONGINKOSI EMMANUEL, Mr,National,ANC,National Assembly,,Member,2014-05-21,future
OLIPHANT,MILDRED NELISIWE, Ms,National,ANC,National Assembly,,Member,2014-05-21,future
OLIPHANT,GAOLATLHE GODFREY, Mr,National,ANC,National Assembly,,Member,2014-05-21,future
OLLIS,IAN MICHAEL, Mr,National,DA,National Assembly,,Member,2014-05-21,future
OOSTHUIZEN,GERHARDUS CORNELIUS, Mr,National,ANC,National Assembly,,Member,2014-05-21,future
ORIANI-AMBROSINI,MARIO GASPARE, Dr,National,IFP,National Assembly,,Member,2014-05-21,future
PANDOR,GRACE NALEDI MANDISA, Ms,National,ANC,National Assembly,,Member,2014-05-21,future
PATEL,EBRAHIM, Mr,National,ANC,National Assembly,,Member,2014-05-21,future
PETERS,ELIZABETH DIPUO, Ms,National,ANC,National Assembly,,Member,2014-05-21,future
PHAAHLA,MATHUME JOSEPH, Mr,National,ANC,National Assembly,,Member,2014-05-21,future
PHOSA,YVONNE NKWENKWEZI, Mrs,National,ANC,National Assembly,,Member,2014-05-21,future
PIKININI,IMAMILE AUBIN, Mr,EC,ANC,National Assembly,Eastern Cape,Member,2014-05-21,future
PILANE-MAJAKE,MAKGATHATSO CHARLOTTE CHANA, Ms,GP,ANC,National Assembly,Gauteng,Member,2014-05-21,future
PLOUAMMA,MOLAPI ANDRIES, Mr,National,AGANG ,National Assembly,,Member,2014-05-21,future
QIKANI,AGNES DAPHNE NOLUTHANDO, Ms,National,ANC,National Assembly,,Member,2014-05-21,future
RABOTAPI,MPONENG WINSTON, Mr,NW,DA,National Assembly,North West,Member,2014-05-21,future
RADEBE,JEFFREY THAMSANQA, Mr,National,ANC,National Assembly,,Member,2014-05-21,future
RADEBE,BHEKIZIZWE ABRAM, Mr,FS,ANC,National Assembly,Free State,Member,2014-05-21,future
RADEBE,GOODWILL SBUSISO, Mr,MP,ANC,National Assembly,Mpumalanga,Member,2014-05-21,future
RALEGOMA,STRIKE MICHAEL, Mr,GP,ANC,National Assembly,Gauteng,Member,2014-05-21,future
RAMAKATSA,RAMAKAUDI PAUL, Mr,National,EFF,National Assembly,,Member,2014-05-21,future
RAMAPHOSA,MATAMELA CYRIL, Mr,National,ANC,National Assembly,,Member,2014-05-21,future
RAMATLHODI,NGOAKO ABEL, Mr,National,ANC,National Assembly,,Member,2014-05-21,future
RAMOKHOASE,TETE RAMALIE JONAS EZEKIEL, Mr,FS,ANC,National Assembly,Free State,Member,2014-05-21,future
RANTHO,DAPHNE ZUKISWA, Ms,EC,ANC,National Assembly,Eastern Cape,Member,2014-05-21,future
RAPHUTI,DEBORAH DINEO, Ms,GP,ANC,National Assembly,Gauteng,Member,2014-05-21,future
REDELINGHUYS,MARIUS HELENIS, Mr,GP,DA,National Assembly,Gauteng,Member,2014-05-21,future
ROBINSON,DENISE, Mrs,National,DA,National Assembly,,Member,2014-05-21,future
ROSS,DAVID CHRISTIE, Mr,FS,DA,National Assembly,Free State,Member,2014-05-21,future
SCHEEPERS,MAUREEN ANGELA, Ms,FS,ANC,National Assembly,Free State,Member,2014-05-21,future
SCHMIDT,HENDRIK CORNELUS, Mr,GP,DA,National Assembly,Gauteng,Member,2014-05-21,future
SELFE,JAMES, Mr,WC,DA,National Assembly,Western Cape,Member,2014-05-21,future
SEMENYA,MACHWENE ROSINA, Ms,National,ANC,National Assembly,,Member,2014-05-21,future
SEPTEMBER,CORNELIA CAROL, Ms,National,ANC,National Assembly,,Member,2014-05-21,future
SESHOKA,MMOBA SOLOMON, Mr,National,DA,National Assembly,,Member,2014-05-21,future
SHABANGU,SUSAN, Ms,National,ANC,National Assembly,,Member,2014-05-21,future
SHAIK EMAM,AHMED MUNZOOR, Mr,KZN,NFP,National Assembly,KwaZulu-Natal,Member,2014-05-21,future
SHELEMBE,MALIYAKHE LYMON, Mr,KZN,NFP,National Assembly,KwaZulu-Natal,Member,2014-05-21,future
Shinn,Marian Robin,Mrs,EC,DA,National Assembly,Eastern Cape,Member,2014-05-21,future
SHIVAMBU,NYIKO FLOYD, Mr,National,EFF,National Assembly,,Member,2014-05-21,future
SHOPE-SITHOLE,SHEILA COLEEN NKHENSANI, Ms,National,ANC,National Assembly,,Member,2014-05-21,future
SIBANDE,MTIKENI PATRICK, Mr,National,ANC,National Assembly,,Member,2014-05-21,future
SINGH,NAREND, Mr,KZN,IFP,National Assembly,KwaZulu-Natal,Member,2014-05-21,future
SISULU,LINDIWE NONCEBA, Ms,National,ANC,National Assembly,,Member,2014-05-21,future
SISULU,MAX VUYISILE, Mr,National,ANC,National Assembly,,Member,2014-05-21,future
SITHOLE,KHETHAMABALA PETROS, Mr,GP,IFP,National Assembly,Gauteng,Member,2014-05-21,future
SIWELA,ELVIS KHOLWANA, Mr,MP,ANC,National Assembly,Mpumalanga,Member,2014-05-21,future
SIZANI,PHUMELELE STONE, Mr,National,ANC,National Assembly,,Member,2014-05-21,future
SKOSANA,JAMES JIM, Mr,MP,ANC,National Assembly,Mpumalanga,Member,2014-05-21,future
SKWATSHA,MCEBISI, Mr,National,ANC,National Assembly,,Member,2014-05-21,future
SMITH,VINCENT GEORGE, Mr,GP,ANC,National Assembly,Gauteng,Member,2014-05-21,future
SONTI,NOKULUNGA PRIMROSE, Ms,NW,EFF,National Assembly,North West,Member,2014-05-21,future
SOTYU,MAKHOTSO MAGDELINE, Ms,FS,ANC,National Assembly,Free State,Member,2014-05-21,future
STANDER,TERRI, Ms,National,DA,National Assembly,,Member,2014-05-21,future
STEENHUISEN,JOHN HENRY, Mr,KZN,DA,National Assembly,KwaZulu-Natal,Member,2014-05-21,future
STEENKAMP,JOHANNA, Ms,NW,DA,National Assembly,North West,Member,2014-05-21,future
STEYN,ANNETTE, Ms,National,DA,National Assembly,,Member,2014-05-21,future
STUBBE,DIRK JAN, Mr,National,DA,National Assembly,,Member,2014-05-21,future
SURTY,MOHAMED ENVER, Mr,National,ANC,National Assembly,,Member,2014-05-21,future
SWART,STEVEN NICHOLAS, Mr,National,ACDP,National Assembly,,Member,2014-05-21,future
TARABELLA MARCHESI,NOMSA INNOCENCIA, Ms,FS,DA,National Assembly,Free State,Member,2014-05-21,future
TERBLANCHE,JOHANNA FREDRIKA, Ms,National,DA,National Assembly,,Member,2014-05-21,future
THABETHE,ELIZABETH, Ms,GP,ANC,National Assembly,Gauteng,Member,2014-05-21,future
THOMSON,BARBARA, Ms,KZN,ANC,National Assembly,KwaZulu-Natal,Member,2014-05-21,future
TLEANE,SELLO ALBERT, Mr,GP,ANC,National Assembly,Gauteng,Member,2014-05-21,future
TOBIAS,THANDI VIVIAN, Ms,National,ANC,National Assembly,,Member,2014-05-21,future
TOM,XOLISWA SANDRA, Ms,National,ANC,National Assembly,,Member,2014-05-21,future
TSEKE,GRACE KEKULU, Ms,National,ANC,National Assembly,,Member,2014-05-21,future
TSELI,REMBULUWANI MOSES, Mr,LP,ANC,National Assembly,Limpopo,Member,2014-05-21,future
TSENOLI,SOLOMON LECHESA, Mr,National,ANC,National Assembly,,Member,2014-05-21,future
TSHWETE,PAMELA, Ms,National,ANC,National Assembly,,Member,2014-05-21,future
Tshishonga,Michael Malisa,Mr,National,Agang,National Assembly,,Member,2014-05-21,future
TSOLELI,SIBONGILE PEARM, Mr,FS,ANC,National Assembly,Free State,Member,2014-05-21,future
TSOPO,MANTSHENG ANNA, Ms,National,ANC,National Assembly,,Member,2014-05-21,future
TSOTETSI,DIKELEDI REBECCA, Ms,GP,ANC,National Assembly,Gauteng,Member,2014-05-21,future
TWALA,DILIZA LUCKY, Mr,GP,EFF,National Assembly,Gauteng,Member,2014-05-21,future
VAN DAMME,PHUMZILE THELMA, Ms,National,DA,National Assembly,,Member,2014-05-21,future
VAN DER MERWE,LIEZL LINDA, Ms,National,IFP,National Assembly,,Member,2014-05-21,future
VAN DER WALT,DÉSIRÉE, Ms,National,DA,National Assembly,,Member,2014-05-21,future
VAN DER WESTHUIZEN,ANDRICUS PIETER, Mr,WC,DA,National Assembly,Western Cape,Member,2014-05-21,future
VAN DYK,VERONICA, Ms,National,DA,National Assembly,,Member,2014-05-21,future
VAN ONSELEN,BELINDA, Ms,GP,DA,National Assembly,Gauteng,Member,2014-05-21,future
VAN ROOYEN,DAVID DOUGLAS DES, Mr,GP,ANC,National Assembly,Gauteng,Member,2014-05-21,future
VAN SCHALKWYK,MARTHINUS CHRISTOFFEL JOHANNES, Mr,National,ANC,National Assembly,,Member,2014-05-21,future
VAN SCHALKWYK,SHAROME RENAY, Ms,NC,ANC,National Assembly,Northern Cape,Member,2014-05-21,future
VOLMINK,HEINRICH CYRIL, Mr,GP,DA,National Assembly,Gauteng,Member,2014-05-21,future
VOS,JAMES, Mr,National,DA,National Assembly,,Member,2014-05-21,future
WALTERS,THOMAS CHARLES RAVENSCROFT, Mr,National,DA,National Assembly,,Member,2014-05-21,future
WATERS,MICHAEL, Mr,GP,DA,National Assembly,Gauteng,Member,2014-05-21,future
WHITFIELD,ANDREW GRANT, Mr,National,DA,National Assembly,,Member,2014-05-21,future
WILSON,EVELYN RAYNE, Ms,National,DA,National Assembly,,Member,2014-05-21,future
XASA,TOKOZILE, Ms,National,ANC,National Assembly,,Member,2014-05-21,future
XEGO-SOVITA,SHEILLA TEMBALAM, Ms,EC,ANC,National Assembly,Eastern Cape,Member,2014-05-21,future
XINGWANA,LULAMA MARYTHERESA, Ms,National,ANC,National Assembly,,Member,2014-05-21,future
YENGENI,LUMKA ELIZABETH, Ms,National,ANC,National Assembly,,Member,2014-05-21,future
ZOKWANA,SENZENI, Mr,National,ANC,National Assembly,,Member,2014-05-21,future
ZULU,LINDIWE DAPHNE, Ms,National,ANC,National Assembly,,Member,2014-05-21,future
Makhubele,Zondi Silence, Mr,LP,ANC,National Assembly,Limpopo,Member,2014-05-21,future
Mkhize,Hlengiwe Buhle, Mr,National,ANC,National Assembly,,Member,2014-05-21,future
Ntwanambi,Nosipho Dorothy, Ms,National,ANC,National Assembly,,Member,2014-05-21,future
ZUMA,JACOB GEDLEYIHLEKISA,Mr,National,ANC,National Assembly,,Member,2014-05-21,2014-05-21
MBETE,BALEKA, Ms,National,ANC,National Assembly,,Speaker,2014-05-21,future
TSENOLI,SOLOMON LECHESA, Mr,National,ANC,National Assembly,,Deputy Speaker,2014-05-21,future
