Surname,First names,Title,List,Party,Organisation,Place,Position Title,Start Date,End Date
BOSHIELO,SHELA PAULINA, Ms,LP,ANC,National Assembly,Limpopo,Member,2014-05-21,future
BOSHOFF,HILDEGARD SONJA, Ms,National,DA,National Assembly,,Member,2014-05-21,future
Botha,Yolanda Rachel,Ms,NC,ANC,National Assembly,Northern Cape,Member,2014-05-21,future
BRAUTESETH,TIMOTHY JAMES, Mr,KZN,DA,National Assembly,KwaZulu-Natal,Member,2014-05-21,future
BREYTENBACH,GLYNNIS, Mrs,National,DA,National Assembly,,Member,2014-05-21,future
BROWN,LYNETTE, Ms,National,ANC,National Assembly,,Member,2014-05-21,future
BUTHELEZI,MANGOSUTHU GATSHA, Prince,National,IFP,National Assembly,,Member,2014-05-21,future
CAPA,ROSEMARY NOKUZOLA, Ms,National,ANC,National Assembly,,Member,2014-05-21,future
CAPA,NDUMISO, Mr,EC,ANC,National Assembly,Eastern Cape,Member,2014-05-21,future
CARDO,MICHAEL JOHN, Mr,National,DA,National Assembly,,Member,2014-05-21,future
CARRIM,YUNUS ISMAIL, Mr,National,ANC,National Assembly,,Member,2014-05-21,future
CARTER,DEIDRE, Ms,National,COPE,National Assembly,,Member,2014-05-21,future
CASSIM,YUSUF, Mr,EC,DA,National Assembly,Eastern Cape,Member,2014-05-21,future
CELE,BHEKOKWAKHE HAMILTON, Mr,KZN,ANC,National Assembly,KwaZulu-Natal,Member,2014-05-21,future
CELE,MOSIE ANTONY, Mr,KZN,ANC,National Assembly,KwaZulu-Natal,Member,2014-05-21,future
CHABANE,OHM COLLINS, Mr,National,ANC,National Assembly,,Member,2014-05-21,future
CHANCE,ROGER WILLIAM TOBIAS, Mr,GP,DA,National Assembly,Gauteng,Member,2014-05-21,future
CHIKUNGA,LYDIA SINDISIWE, Ms,MP,ANC,National Assembly,Mpumalanga,Member,2014-05-21,future
CHOHAN,FATIMA ISMAIL, Ms,National,ANC,National Assembly,,Member,2014-05-21,future
CHUEU,MAMONARE PATRICIA, Ms,GP,ANC,National Assembly,Gauteng,Member,2014-05-21,future
COLEMAN,ELSIE MMATHULARE, Ms,National,ANC,National Assembly,,Member,2014-05-21,future
CRONIN,JEREMY PATRICK, Mr,National,ANC,National Assembly,,Member,2014-05-21,future
CWELE,SIYABONGA CYPRIAN, Mr,National,ANC,National Assembly,,Member,2014-05-21,future
DAVIES,ROBERT HAYDN, Mr,National,ANC,National Assembly,,Member,2014-05-21,future
DAVIS,GAVIN RICHARD, Mr,National,DA,National Assembly,,Member,2014-05-21,future
DE FREITAS,MANUEL SIMÃO FRANCA, Mr,GP,DA,National Assembly,Gauteng,Member,2014-05-21,future
DE KOCK,KAREN, Ms,NC,DA,National Assembly,Northern Cape,Member,2014-05-21,future
DIDIZA,ANGELA THOKOZILE, Ms,National,ANC,National Assembly,,Member,2014-05-21,future
DIRKS,MERVYN ALEXANDER, Mr,KZN,ANC,National Assembly,KwaZulu-Natal,Member,2014-05-21,future
DLAKUDE,DORRIES EUNICE, Ms,MP,ANC,National Assembly,Mpumalanga,Member,2014-05-21,future
DLAMINI,BATHABILE OLIVE, Ms,National,ANC,National Assembly,,Member,2014-05-21,future
