Party,List,Rank,Name,Surname,Organisation,Position Title,Start Date,End Date,Place Name
AFRICAN CHRISTIAN DEMOCRATIC PARTY,National,1,KENNETH RASELABE JOSEPH,MESHOE,National Assembly,Member-elect,2014-05-16,2014-05-21,
AFRICAN CHRISTIAN DEMOCRATIC PARTY,National,2,STEVEN NICHOLAS,SWART,National Assembly,Member-elect,2014-05-16,2014-05-21,
AFRICAN CHRISTIAN DEMOCRATIC PARTY,National,3,CHERYLLYN,DUDLEY,National Assembly,Member-elect,2014-05-16,2014-05-21,
AFRICAN INDEPENDENT CONGRESS,National,1,MANDLENKOSI PHILLIP,GALO,National Assembly,Member-elect,2014-05-16,2014-05-21,
AFRICAN INDEPENDENT CONGRESS,National,2,LULAMA MAXWELL,NTSHAYISA,National Assembly,Member-elect,2014-05-16,2014-05-21,
AFRICAN INDEPENDENT CONGRESS,National,3,STEVEN MAHLUBANZIMA,JAFTA,National Assembly,Member-elect,2014-05-16,2014-05-21,
AFRICAN NATIONAL CONGRESS,National,1,JACOB GEDLEYIHLEKISA,ZUMA,National Assembly,Member-elect,2014-05-16,2014-05-21,
AFRICAN NATIONAL CONGRESS,National,2,MATAMELA CYRIL,RAMAPHOSA,National Assembly,Member-elect,2014-05-16,2014-05-21,
AFRICAN NATIONAL CONGRESS,National,3,KNOWLEDGE MALUSI NKANYEZI,GIGABA,National Assembly,Member-elect,2014-05-16,2014-05-21,
AFRICAN NATIONAL CONGRESS,National,4,GRACE NALEDI MANDISA,PANDOR,National Assembly,Member-elect,2014-05-16,2014-05-21,
AFRICAN NATIONAL CONGRESS,National,5,JEFFREY THAMSANQA,RADEBE,National Assembly,Member-elect,2014-05-16,2014-05-21,
AFRICAN NATIONAL CONGRESS,National,6,FIKILE APRIL,MBALULA,National Assembly,Member-elect,2014-05-16,2014-05-21,
AFRICAN NATIONAL CONGRESS,National,7,BONGINKOSI EMMANUEL,NZIMANDE,National Assembly,Member-elect,2014-05-16,2014-05-21,
AFRICAN NATIONAL CONGRESS,National,8,BATHABILE OLIVE,DLAMINI,National Assembly,Member-elect,2014-05-16,2014-05-21,
AFRICAN NATIONAL CONGRESS,National,9,LINDIWE NONCEBA,SISULU,National Assembly,Member-elect,2014-05-16,2014-05-21,
AFRICAN NATIONAL CONGRESS,National,10,OHM COLLINS,CHABANE,National Assembly,Member-elect,2014-05-16,2014-05-21,
AFRICAN NATIONAL CONGRESS,National,11,MATSIE ANGELINA,MOTSHEKGA,National Assembly,Member-elect,2014-05-16,2014-05-21,
AFRICAN NATIONAL CONGRESS,National,12,EMMANUEL NKOSINATHI,MTHETHWA,National Assembly,Member-elect,2014-05-16,2014-05-21,
AFRICAN NATIONAL CONGRESS,National,13,PRAVIN JAMNADAS,GORDHAN,National Assembly,Member-elect,2014-05-16,2014-05-21,
AFRICAN NATIONAL CONGRESS,National,14,NOSIVIWE NOLUTHANDO,NQAKULA,National Assembly,Member-elect,2014-05-16,2014-05-21,
AFRICAN NATIONAL CONGRESS,National,15,ANGELA THOKOZILE,DIDIZA,National Assembly,Member-elect,2014-05-16,2014-05-21,
AFRICAN NATIONAL CONGRESS,National,16,PAKISHE AARON,MOTSOALEDI,National Assembly,Member-elect,2014-05-16,2014-05-21,
AFRICAN NATIONAL CONGRESS,National,17,DEREK ANDR�,HANEKOM,National Assembly,Member-elect,2014-05-16,2014-05-21,
AFRICAN NATIONAL CONGRESS,National,18,MAX VUYISILE,SISULU,National Assembly,Member-elect,2014-05-16,2014-05-21,
