"Van der Westhuizen, Mr AP",Andricus Pieter Van der Westhuizen
"Van der Linde, Mr JJ",Jacob Jeffrey Van der Linde
"van der Merwe, Ms LL",Liezl Linda van der Merwe
"Van den Berg, Mr NJ",Nicolaas Jacobus Van den Berg
"Williams-De Bruyn, Ms ST",Sophia Theresa Williams-De Bruyn
"van Wyk, Ms A",Annelizé van Wyk
"Van Rooyen, Mr DD",David Douglas Van Rooyen
"Schäfer, Ms DA",Deborah Anne Schäfer
"Kohler-Barnard, Ms D",Dianne Kohler-Barnard
"Van Lingen, Ms EC",Elizabeth Christina Van Lingen
"Mc Intosh, Mr GB",Graham Brian Douglas Mc Intosh
"Mac Kenzie, Mr GP",Graham Peter Dalziel Mac Kenzie
"Line-Hendriks, Ms H",Helen Line-Hendriks
"Bogopane-Zulu, Ms HI",Hendrietta Ipeleng Bogopane-Zulu
"Ngubeni-Maluleka, Ms JP",Jabhile Pretty Ngubeni-Maluleka
"De Lange, Adv JH",Johannes Hendrik De Lange
"Moloi-Moropa, Ms JC",Joyce Clementine Moloi-Moropa
"Kloppers-Lourens, Dr JC",Junita Carolina Kloppers-Lourens
"Makhubela-Mashele, Ms LS",Lusizo Sharon Makhubela-Mashele
"Nkoana-Mashabane, Ms ME",Maite Emily Nkoana-Mashabane
"Pilane-Majake, Ms MC",Makgathatso Charlotte Chana Pilane-Majake
"De Freitas, Mr MS",Manuel Simão Franca De Freitas
"Oriani-Ambrosini, Mr MG",Mario Gaspare Oriani-Ambrosini
"Pilusa-Mosoane, Ms ME",Maropeng Elizabeth Pilusa-Mosoane
"De Villiers, Mr MJ",Michael Jacobs Roland De Villiers
"Sayedali Shah, Mr MR",Mohammed Rafeek Sayedali Shah
"Segale-Diswai, Ms MJ",Morwesi Johannah Segale-Diswai
"Du Toit, Mr D",Nicolaas Deetlefs Du Toit
"Madikizela-Mandela, Ms NW",Nomzamo Winfred Madikizela-Mandela
"Mapisa-Nqakula, Ms NN",Nosiviwe Noluthando Mapisa-Nqakula
"Ngwenya-Mabila, Ms PC",Phumuzile Catherine Ngwenya-Mabila
"Van Dalen, Mr P",Pieter Van Dalen
"Van Dyk, Dr SM",Salomon Maritz Van Dyk
"Joemat-Pettersson, Ms TM",Tina Monica Joemat-Pettersson
"Nwamitwa-Shilubana, Ms TL",Tinyiko Lwandlamuni Phillia Nwamitwa-Shilubana
"Bam-Mugwanya, Ms V",Vatiswa Bam-Mugwanya
"Newhoudt-Druchen, Ms WS",Wilma Susan Newhoudt-Druchen
"Kota-Fredericks, Ms ZA",Zoliswa Albertina Kota-Fredericks
"Mashishi, Ms AC",Agnes Christin Mashishi
"Qikani, Ms AN",Agnes Noluthando Daphne Qikani
"Ndlazi, Ms AZ",Alexia Zintle Ndlazi
"Mpontshane, Mr MA",Alfred Mkhipheni Mpontshane
"Matila, Mr AG",Amos Gerald Matila
"Dreyer, Ms AM",Anchen Margaretha Dreyer
"Nel, Mr AC",Andries Carl Nel
"Gaum, Adv AH",André Hurtley Gaum
"Lovemore, Ms AT",Annette Theresa Lovemore
"Nyambi, Mr AJ",Archibold Jomo Nyambi
"Ainslie, Mr AR",Arthur Roy Ainslie
"Muthambi, Ms AF",Azwihangwisi Faith Muthambi
"Dambuza, Ms BN",Beauty Nomhle Dambuza
"Dlulane, Ms BN",Beauty Nomvuzo Dlulane
"Martins, Mr BA",Benedict Anthony Duke Martins
"Bhanga, Mr BM",Bennet Mzwenqaba Bhanga
"Mabe, Ms BP",Bertha Peace Mabe
"Ferguson, Ms BD",Beryl Delores Ferguson
"Abrahams, Ms BL",Beverley Lynette Abrahams
"Molewa, Ms BE",Bomo Edna Edith Molewa
"Mashile, Mr BL",Budang Lemias Mashile
"Mncube,Ms BV",Busisiwe Veronica Mncube
"Diemu, Ms BC",Buyiswa Cornelia Diemu
"Kotsi, Ms CM",Cecilia Mampe Papadi Kotsi
"Frolick, Mr CT",Cedric Thomas Frolick
"Madlopha, Ms CQ",Celiwe Qhamkile Madlopha
"Kekana, Mr CD",Charles Danny Kekana
"Gololo, Mr CL",Christopher Lancaster Gololo
"Mosimane, Ms CK",Constance Kedibone Kelekegile Mosimane
"Zikalala, Ms CN",Constance Ntombikayise Zerish Zikalala
"September, Ms CC",Cornelia Carol September
"Moni, Mr CM",Crosby Mpoxo Moni
"Boshigo, Ms DF",Dalitha Fiki Boshigo
"Rantho, Ms DZ",Daphne Zukiswa Rantho
"Worth, Mr DA",Darryl Arthur Worth
"Ross, Mr DC",David Christie Ross
"Bloem, Mr DV",Dennis Victor Bloem
"Hanekom, Mr DA",Derek Andre Hanekom
"Kganare, Mr DA",Diratsagae Alfred Kganare
"Feldman, Mr DB",Dirk Benjamin Feldman
"Stubbe, Mr DJ",Dirk Jan Stubbe
"Mavunda, Mr DW",Divili Wilson Mavunda
"Smiles, Mr DC",Donald Cecil Smiles
"Gumede, Mr DM",Donald Mlindwa Gumede
"Ramodibe, Ms DM",Dorothy Mapula Ramodibe
"Dlakude, Ms DE",Dorries Eunice Dlakude
"Chili, Ms DO",Dudu Olive Chili
"Gamede, Mr DD",Dumisani Dennis Gamede
"Nhlengethwa, Ms DG",Dumisile Goodness Nhlengethwa
"Ximbi, Rev DL",Dumsani Livingstone Ximbi
"Peters, Ms ED",Elizabeth Dipuo Peters
"Sogoni, Mr EM",Elliot Mshiyeni Sogoni
"Coleman, Ms EM",Elsie Mmathulare Coleman
"Magubane, Mr NE",Emmanuel Magubane
"Eloff, Mr EH",Ernst Hendrik Eloff
"Bikani, Ms FC",Faith Claudine Bikani
"Chohan, Ms FI",Fatima Ismail Chohan
