County Code,,County,,,,,Const. Code,,,Constituency,,,,Full Names A,,,,,Full Names B,,,,,Party/Independent Candidate
41,,Siaya,,,,,234,,,Alego Usonga,,,,George Washinton Mallan,,,,,Omondi,,,,,Wiper Democratic Movement- Kenya
41,,Siaya,,,,,235,,,Gem,,,,Washington Jakoyo,,,,,Midiwo,,,,,Orange Democratic Movement
41,,Siaya,,,,,236,,,Bondo,,,,Gideon Ochanda,,,,,Ogolla,,,,,Orange Democratic Movement
41,,Siaya,,,,,237,,,Rarieda,,,,Nicolas O.,,,,,Gumbo,,,,,Orange Democratic Movement
42,,Kisumu,,,,,238,,,Kisumu East,,,,Shakeel Shabbir A.,,,,,Ahmed,,,,,Orange Democratic Movement
42,,Kisumu,,,,,239,,,Kisumu West,,,,John Olago,,,,,Aluoch,,,,,Forum For Restoration of Democracy-Kenya
42,,Kisumu,,,,,240,,,Kisumu Central,,,,Ken Obura,,,,,Mirenga,,,,,Orange Democratic Movement
42,,Kisumu,,,,,241,,,Seme,,,,James Wambura,,,,,Nyikal,,,,,Orange Democratic Movement
42,,Kisumu,,,,,242,,,Nyando,,,,Fredrick Otieno,,,,,Outa,,,,,Orange Democratic Movement
42,,Kisumu,,,,,243,,,Muhoroni,,,,James Onyango,,,,,Oyoo,,,,,Peoples Democratic Party
42,,Kisumu,,,,,244,,,Nyakach,,,,Joshua Aduma,,,,,Owuor,,,,,Orange Democratic Movement
43,,Homa Bay,,,,,245,,,Kasipul,,,,Joseph O.,,,,,Magwanga,,,,,Orange Democratic Movement
43,,Homa Bay,,,,,246,,,Kabondo Kasipul,,,,Silvance Osele,,,,,Onyango,,,,,Orange Democratic Movement
43,,Homa Bay,,,,,247,,,Karachuonyo,,,,James Gordon Kwanya,,,,,Rege,,,,,Orange Democratic Movement
43,,Homa Bay,,,,,248,,,Rangwe,,,,George Oner,,,,,Ogalo,,,,,Orange Democratic Movement
43,,Homa Bay,,,,,249,,,Homa Bay Town,,,,George Peter Opondo,,,,,Kaluma,,,,,Orange Democratic Movement
43,,Homa Bay,,,,,250,,,Ndhiwa,,,,Aghostinho Neto,,,,,Oyugi,,,,,Orange Democratic Movement
43,,Homa Bay,,,,,251,,,Mbita,,,,Millie Grace Akoth,,,,,Odhiambo,,,,,Orange Democratic Movement
43,,Homa Bay,,,,,252,,,Suba,,,,Mbadi John,,,,,Ng'ongo,,,,,Orange Democratic Movement
44,,Migori,,,,,253,,,Rongo,,,,Dalmas Otieno,,,,,Anyango,,,,,Orange Democratic Movement
44,,Migori,,,,,254,,,Awendo,,,,Jared Odhiambo,,,,,Opiyo,,,,,Forum For Restoration of Democracy- Kenya
44,,Migori,,,,,255,,,Suna East,,,,Junet Sheikh,,,,,Nuh,,,,,Orange Democratic Movement
44,,Migori,,,,,256,,,Suna West,,,,Joseph Obiero,,,,,Ndiege,,,,,Orange Democratic Movement
44,,Migori,,,,,257,,,Uriri,,,,John Owuor Onyango,,,,,Kobado,,,,,Orange Democratic Movement
44,,Migori,,,,,258,,,Nyatike,,,,Peter Edick Omondi,,,,,Anyanga,,,,,Orange Democratic Movement
44,,Migori,,,,,259,,,Kuria West,,,,Mathias Nyamabe,,,,,Robi,,,,,United Republican Party
44,,Migori,,,,,260,,,Kuria East,,,,Shadrack Roger Mwita,,,,,Manga,,,,,Kenya African National Union
45,,Kisii,,,,,261,,,Bonchari,,,,Zebedeo John,,,,,Opore,,,,,Ford-People
45,,Kisii,,,,,262,,,South Mugirango,,,,Manson Oyongo,,,,,Nyamweya,,,,,Orange Democratic Movement
45,,Kisii,,,,,263,,,Bomachoge Borabu,,,,Joel Onyancha,,,,,Omagwa,,,,,The National Alliance
45,,Kisii,,,,,264,,,Bobasi,,,,Stephen Kengere,,,,,Manoti,,,,,Ford-People
45,,Kisii,,,,,265,,,Bomachoge Chache,,,,Simon Nyaundi,,,,,Ogari,,,,,Orange Democratic Movement
45,,Kisii,,,,,266,,,Nyaribari Masaba,,,,Elijah Mosomi,,,,,Moindi,,,,,Narc-Kenya
45,,Kisii,,,,,267,,,Nyaribari Chache,,,,Chris Munga Nyamaratandi,,,,,Bichage,,,,,Orange Democratic Movement
45,,Kisii,,,,,268,,,Kitutu Chache North,,,,Jimmy Nuru Ondieki,,,,,Angwenyi,,,,,The National Alliance
45,,Kisii,,,,,269,,,Kitutu Chache South,,,,Richard Momoima,,,,,Onyonka,,,,,Orange Democratic Movement
46,,Nyamira,,,,,270,,,Kitutu Masaba,,,,Timothy Moseti . E,,,,,Bosire,,,,,Orange Democratic Movement
46,,Nyamira,,,,,271,,,West Mugirango,,,,James Gesami,,,,,Ondicho,,,,,Orange Democratic Movement
46,,Nyamira,,,,,272,,,North Mugirango,,,,Charles Mongare,,,,,Geni,,,,,Orange Democratic Movement
46,,Nyamira,,,,,273,,,Borabu,,,,Ben George Orori,,,,,Momanyi,,,,,Wiper Democratic Movement- Kenya
47,,Nairobi City,,,,,274,,,Westlands,,,,Timothy Wanyonyi,,,,,Wetangula,,,,,Orange Democratic Movement
47,,Nairobi City,,,,,275,,,Dagoretti North,,,,Paul Arati,,,,,Simba,,,,,Orange Democratic Movement
47,,Nairobi City,,,,,276,,,Dagoretti South,,,,Dennis Kariuki,,,,,Waweru,,,,,The National Alliance
47,,Nairobi City,,,,,277,,,Langata,,,,Joash Odhiambo,,,,,Olum,,,,,Orange Democratic Movement
47,,Nairobi City,,,,,278,,,Kibra,,,,Kenneth Odhiambo,,,,,Okoth,,,,,Orange Democratic Movement
47,,Nairobi City,,,,,279,,,Roysambu,,,,Isaac Waihenya,,,,,Ndirangu,,,,,The National Alliance
47,,Nairobi City,,,,,280,,,Kasarani,,,,John Njoroge,,,,,Chege,,,,,The National Alliance
47,,Nairobi City,,,,,281,,,Ruaraka,,,,Kajwang' Tom Joseph,,,,,Francis,,,,,Orange Democratic Movement
47,,Nairobi City,,,,,282,,,Embakasi South,,,,Irshadali Mohamed,,,,,Sumra,,,,,Orange Democratic Movement
47,,Nairobi City,,,,,283,,,Embakasi North,,,,James Mwangi,,,,,Gakuya,,,,,The National Alliance
47,,Nairobi City,,,,,284,,,Embakasi Central,,,,John Ndirangu,,,,,Kariuki,,,,,The National Alliance
47,,Nairobi City,,,,,285,,,Embakasi East,,,,John Ogutu,,,,,Omondi,,,,,Orange Democratic Movement
47,,Nairobi City,,,,,286,,,Embakasi West,,,,George,,,,,Theuri,,,,,The National Alliance
47,,Nairobi City,,,,,287,,,Makadara,,,,Benson Mutura,,,,,Kangara,,,,,The National Alliance
47,,Nairobi City,,,,,288,,,Kamukunji,,,,Yusuf Hassan,,,,,Abdi,,,,,The National Alliance
47,,Nairobi City,,,,,289,,,Starehe,,,,William Maina,,,,,Kamanda,,,,,The National Alliance
47,,Nairobi City,,,,,290,,,Mathare,,,,George Mike,,,,,Wanjohi,,,,,The National Alliance
