County Code,,,,,County Name,,,,,,Full Names A,,,,,,Full Names B,,,,Party/Independent Candidate
1,,,,,Mombasa,,,,,,Mishi Juma,,,,,,Khamisi,,,,Orange Democratic Movement
2,,,,,Kwale,,,,,,Zainab Kalekye,,,,,,Chidzuga,,,,Orange Democratic Movement
3,,,,,Kilifi,,,,,,Aisha Jumwa,,,,,,Katana,,,,Orange Democratic Movement
4,,,,,Tana River,,,,,,Halima Ware,,,,,,Duri,,,,Wiper Democratic Movement- Kenya
5,,,,,Lamu,,,,,,Shakila Abdalla,,,,,,Mohamed,,,,Wiper Democratic Movement- Kenya
6,,,,,Taita Taveta,,,,,,Joyce Wanjalah,,,,,,Lay,,,,Orange Democratic Movement
7,,,,,Garissa,,,,,,Shukra Hussein,,,,,,Gure,,,,Wiper Democratic Movement- Kenya
8,,,,,Wajir,,,,,,Fatuma Ibrahim,,,,,,Ali,,,,Orange Democratic Movement
9,,,,,Mandera,,,,,,Mahbub,,,,,,Fathia,,,,United Republican Party
10,,,,,Marsabit,,,,,,Nasra Ibrahim,,,,,,Ibren,,,,Orange Democratic Movement
11,,,,,Isiolo,,,,,,Tiyah Galgalo,,,,,,Ali,,,,The National Alliance
12,,,,,Meru,,,,,,Florence,,,,,,Kajuju,,,,The National Alliance
13,,,,,Tharaka - Nithi,,,,,,Beatrice Nkatha,,,,,,Nyaga,,,,The National Alliance
14,,,,,Embu,,,,,,Rose Rwamba,,,,,,Mitaru,,,,The National Alliance
15,,,,,Kitui,,,,,,Winfred Nyiva,,,,,,Mwendwa,,,,Wiper Democratic Movement- Kenya
16,,,,,Machakos,,,,,,Susan Mbinya,,,,,,Musyoka,,,,Wiper Democratic Movement- Kenya
17,,,,,Makueni,,,,,,Rose Museo,,,,,,Mumo,,,,Wiper Democratic Movement- Kenya
18,,,,,Nyandarua,,,,,,Wanjiku,,,,,,Muhia,,,,The National Alliance
19,,,,,Nyeri,,,,,,Priscilla Nyokabi,,,,,,Kanyua,,,,The National Alliance
20,,,,,Kirinyaga,,,,,,Winnie Karimi,,,,,,Njuguna,,,,The National Alliance
21,,,,,Muranga,,,,,,Sabina Wanjiru,,,,,,Chege,,,,The National Alliance
22,,,,,Kiambu,,,,,,Annah Nyokabi,,,,,,Gathecha,,,,The National Alliance
23,,,,,Turkana,,,,,,Joyce Akai,,,,,,Emanikor,,,,United Republican Party
24,,,,,West Pokot,,,,,,Regina Nyeris,,,,,,Changorok,,,,United Republican Party
25,,,,,Samburu,,,,,,Maison,,,,,,Leshoomo,,,,The National Alliance
26,,,,,Trans Nzoia,,,,,,Janet Nangabo,,,,,,Wanyama,,,,New Ford Kenya
27,,,,,Uasin Gishu,,,,,,Eusilah Jepkosgei,,,,,,Ngeny,,,,United Republican Party
28,,,,,Elgeyo/Marakwet,,,,,,Susan Kipketer,,,,,,Chebet,,,,United Republican Party
29,,,,,Nandi,,,,,,Zipporah Jesang Kurgat,,,,,,Kering,,,,United Republican Party
30,,,,,Baringo,,,,,,Grace Jemutai,,,,,,Kiptui,,,,United Republican Party
31,,,,,Laikipia,,,,,,Jane Agnes Wanjira,,,,,,Machira,,,,The National Alliance
32,,,,,Nakuru,,,,,,Mary Njoki G,,,,,,Mbugua,,,,The National Alliance
33,,,,,Narok,,,,,,Roselinda Soipan,,,,,,Tuya,,,,United Republican Party
34,,,,,Kajiado,,,,,,Mary Yiane,,,,,,Seneta,,,,The National Alliance
35,,,,,Kericho,,,,,,Hellen Chelangat,,,,,,Chepkwony,,,,United Republican Party
36,,,,,Bomet,,,,,,Cecilia Chelangat,,,,,,Ngetich,,,,United Republican Party
37,,,,,Kakamega,,,,,,Rachel Ameso,,,,,,Amolo,,,,Orange Democratic Movement
38,,,,,Vihiga,,,,,,Dorcas Luvalitsa,,,,,,Kedogo,,,,Orange Democratic Movement
39,,,,,Bungoma,,,,,,Reginalda Nakhumicha,,,,,,Wanyonyi,,,,New Ford Kenya
40,,,,,Busia,,,,,,Florence Mwikali,,,,,,Mutua,,,,Orange Democratic Movement
41,,,,,Siaya,,,,,,Christine Oduor,,,,,,Ombaka,,,,Orange Democratic Movement
42,,,,,Kisumu,,,,,,Rose Auma,,,,,,Ogendo,,,,Orange Democratic Movement
43,,,,,Homa Bay,,,,,,Gladys Atieno,,,,,,Nyasuna,,,,Orange Democratic Movement
44,,,,,Migori,,,,,,Dennitah,,,,,,Ghati,,,,Orange Democratic Movement
45,,,,,Kisii,,,,,,Mary Sally,,,,,,Keraa,,,,Orange Democratic Movement
46,,,,,Nyamira,,,,,,Alice  Nyanchoka,,,,,,Chae,,,,Orange Democratic Movement
47,,,,,Nairobi City,,,,,,Rachael Wambui,,,,,,Shebesh,,,,The National Alliance
