current_name,correct_name,lga_areas
IKEJA,IKEJA,Ikeja
Atakumosa / East/ West & Ilesa East /West,Atakumosa / East / West & Ilesa East / West,"Atakumosa East, Atakumosa West, Ilesha East, Ilesha West"
Bagwai/Shanono,Bagwai / Shanono,"Bagwai, Shanono"
Surulere I Federal Constituency,Surulere I Federal Constituency,Surulere
Brass / Nembe,Brass / Nembe,"Brass, Nembe"
Ihiala,Ihiala,Ihiala
OBANIKU/OBUDU/BEKWARRA,OBANIKU / OBUDU / BEKWARRA,"OBANIKU, Obudu, Bekwarra"
Esan North East/South West,Esan North East / South West,"Esan North East, EsanSout"
SAFANA/DAN-MUSA/BATSARI,SAFANA / DAN-MUSA / BATSARI,"Safana, Danmusa, Batsari"
Akoko North East/North-West,Akoko North East / North-West,"Akoko North-East, AkokoNorthWest"
Sabon Gari,Sabon Gari,Sabon-Ga
Argungu/Augie,Argungu / Augie,"Argungu, Augie"
Guyuk/Shelleng,Guyuk / Shelleng,"Guyuk, Shelleng"
Jaba/Zangon Kafat,Jaba / Zangon Kafat,"Jaba, ZangonKa"
Bursari/Geidam/Yunusari,Bursari / Geidam / Yunusari,"Borsari, Geidam, Yunusari"
Kaura,Kaura,Kaura
Oshodi / Isolo Fed. Const II,Oshodi / Isolo Fed. Const II,"Oshodi, Isolo"
Yauri/Shanga/Ngaski,Yauri / Shanga / Ngaski,
