current_name,correct_name,lga_areas
Idanre / Ifedore,Idanre / Ifedore,"Idanre, Ifedore"
Gummi/Bukkuyum,Gummi / Bukkuyum,"Gummi, Bukkuyum"
Afijio/Atiba East/Oyo West,Afijio / Atiba East / Oyo West,"Afijio, Atiba East, Oyo West"
Gwale,Gwale,Gwale
Kura/Madobi/Garin Malan,Kura / Madobi / Garin Malan,"Kura, Madobi, Garin Malan"
"Ogbomosho North,South/Orire","Ogbomosho North,South / Orire","Ogbomosho North, Ogbomosho South, Ori-Ire"
Kumbotso,Kumbotso,Kumbotso
Ibarapa Central/North,Ibarapa Central / North,"Ibarapa Central, Ibarapa North"
Akinyele/Lagelu,Akinyele / Lagelu,"Akinyele, Lagelu"
Nasarawa / Toto,Nasarawa / Toto,"Nasarawa, Toto"
Goronyo/Gada,Goronyo / Gada,"Goronyo, Gada"
Gezawa/Gabasawa,Gezawa / Gabasawa,"Gezawa, Gabasawa"
Dawakin-Kudu/Warawa,Dawakin-Kudu / Warawa,"DawakinK, Warawa"
Jahun/Miga,Jahun / Miga,"Jahun, Miga"
Bomadi/Patani,Bomadi / Patani,"Bomadi, Patani"
BINJI/SILAME,BINJI / SILAME,"Binji, Silame"
Ogbia,Ogbia,Ogbia
Tarauni,Tarauni,Tarauni
Gwarzo/kabo Federal Constituency,Gwarzo / kabo Federal Constituency,"Gwarzo, Kabo"
ZANGO/BAURE,ZANGO / BAURE,"Zango, Baure"
Nassarawa,Nassarawa,Nassaraw
Oriade / Obokon,Oriade / Obokon,"Oriade, Obokun"
Aniocha North/Aniocha South/Oshimili North/Oshimili South,Aniocha North / Aniocha South / Oshimili North / Oshimili South,"AniochaN, AniochaS, Oshimili North, Oshimili South"
Isuikwuato/Umunneochi,Isuikwuato / Umunneochi,"Isuikwuato, Umu-Nneochi"
CALABAR/UDOKPANI,CALABAR / UDOKPANI,"Calabar, Odukpani"
Bende,Bende,Bende
Ovia Federal Constituency,Ovia Federal Constituency,Ovi
NINGI/WARJI,NINGI / WARJI,"Ningi, Warji"
Ikan North-East,Ikan North-East,Ikan North-East
EPE,EPE,Epe
Enugu North/Enugu South,Enugu North / Enugu South,"Enugu North, EnuguSou"
Udu/Ughelli North/South,Udu / Ughelli North / South,"Udu, Ughelli North, Ughelli South"
Etche / Omuma,Etche / Omuma,"Etche, Omumma"
