legal_name,place_kind,place_name,organisation_kind,organisation_name,position_title,source
Scott BF,Province,KuaZulu-Natal,KwaZulu-Natal Provincial Legislature Committee,SCOPA    ,Member,committees
Singh A,Province,KuaZulu-Natal,KwaZulu-Natal Provincial Legislature Committee,SCOPA    ,Alternate Member,committees
Steele M,Province,KuaZulu-Natal,KwaZulu-Natal Provincial Legislature Committee,SCOPA    ,Member,committees
Blose HM,Province,KuaZulu-Natal,KwaZulu-Natal Provincial Legislature Committee,Social Developm,Member,committees
Buthelezi ME,Province,KuaZulu-Natal,KwaZulu-Natal Provincial Legislature Committee,Social Developm,Member,committees
Downs JM,Province,KuaZulu-Natal,KwaZulu-Natal Provincial Legislature Committee,Social Developm,Alternate Member,committees
Govender P,Province,KuaZulu-Natal,KwaZulu-Natal Provincial Legislature Committee,Social Developm,Member,committees
Khuzwayo DN,Province,KuaZulu-Natal,KwaZulu-Natal Provincial Legislature Committee,Social Developm,Member,committees
Maharaj R,Province,KuaZulu-Natal,KwaZulu-Natal Provincial Legislature Committee,Social Developm,Alternate Member,committees
Mchunu S,Province,KuaZulu-Natal,KwaZulu-Natal Provincial Legislature Committee,Social Developm,Alternate Member,committees
Mdlalose M,Province,KuaZulu-Natal,KwaZulu-Natal Provincial Legislature Committee,Social Developm,Member,committees
Mohlaka BS ,Province,KuaZulu-Natal,KwaZulu-Natal Provincial Legislature Committee,Social Developm,Alternate Member,committees
Nahara YM,Province,KuaZulu-Natal,KwaZulu-Natal Provincial Legislature Committee,Social Developm,Member,committees
Ngcobo W,Province,KuaZulu-Natal,KwaZulu-Natal Provincial Legislature Committee,Social Developm,Alternate Member,committees
Nkosi SC,Province,KuaZulu-Natal,KwaZulu-Natal Provincial Legislature Committee,Social Developm,Member,committees
Nkwanyana NJ,Province,KuaZulu-Natal,KwaZulu-Natal Provincial Legislature Committee,Social Developm,Alternate Member,committees
Shabalala NB,Province,KuaZulu-Natal,KwaZulu-Natal Provincial Legislature Committee,Social Developm,Alternate Member,committees
Sikosana D,Province,KuaZulu-Natal,KwaZulu-Natal Provincial Legislature Committee,Social Developm,Member,committees
Tambo VV,Province,KuaZulu-Natal,KwaZulu-Natal Provincial Legislature Committee,Social Developm,Member,committees
Thakur-Rajbansi S,Province,KuaZulu-Natal,KwaZulu-Natal Provincial Legislature Committee,Social Developm,Member,committees
Zondi WP,Province,KuaZulu-Natal,KwaZulu-Natal Provincial Legislature Committee,Social Developm,Alternate Member,committees
Frazer M,Province,KuaZulu-Natal,KwaZulu-Natal Provincial Legislature Committee,Sport & Recreation,Alternate Member,committees
Khawula M,Province,KuaZulu-Natal,KwaZulu-Natal Provincial Legislature Committee,Sport & Recreation,Alternate Member,committees
Khuzwayo DN,Province,KuaZulu-Natal,KwaZulu-Natal Provincial Legislature Committee,Sport & Recreation,Member,committees
Ludidi ZM,Province,KuaZulu-Natal,KwaZulu-Natal Provincial Legislature Committee,Sport & Recreation,Member,committees
Maharaj R,Province,KuaZulu-Natal,KwaZulu-Natal Provincial Legislature Committee,Sport & Recreation,Member,committees
Mazibuko J,Province,KuaZulu-Natal,KwaZulu-Natal Provincial Legislature Committee,Sport & Recreation,Alternate Member,committees
Mchunu S,Province,KuaZulu-Natal,KwaZulu-Natal Provincial Legislature Committee,Sport & Recreation,Alternate Member,committees
Moodley S,Province,KuaZulu-Natal,KwaZulu-Natal Provincial Legislature Committee,Sport & Recreation,Alternate Member,committees
Mthethwa TP,Province,KuaZulu-Natal,KwaZulu-Natal Provincial Legislature Committee,Sport & Recreation,Member,committees
Ngxongo H,Province,KuaZulu-Natal,KwaZulu-Natal Provincial Legislature Committee,Sport & Recreation,Member,committees
Nkosi SC,Province,KuaZulu-Natal,KwaZulu-Natal Provincial Legislature Committee,Sport & Recreation,Alternate Member,committees
Ntuli M,Province,KuaZulu-Natal,KwaZulu-Natal Provincial Legislature Committee,Sport & Recreation,Member,committees
Shabalala NB,Province,KuaZulu-Natal,KwaZulu-Natal Provincial Legislature Committee,Sport & Recreation,Member,committees
Stokes T,Province,KuaZulu-Natal,KwaZulu-Natal Provincial Legislature Committee,Sport & Recreation,Member,committees
Swartbooi GN,Province,KuaZulu-Natal,KwaZulu-Natal Provincial Legislature Committee,Sport & Recreation,Alternate Member,committees
Thakur-Rajbansi S,Province,KuaZulu-Natal,KwaZulu-Natal Provincial Legislature Committee,Sport & Recreation,Alternate Member,committees
Zondi WP,Province,KuaZulu-Natal,KwaZulu-Natal Provincial Legislature Committee,Sport & Recreation,Member,committees
,Province,KuaZulu-Natal,KwaZulu-Natal Provincial Legislature Committee,Transport,Alternate Member,committees
Bebee L,Province,KuaZulu-Natal,KwaZulu-Natal Provincial Legislature Committee,Transport,Alternate Member,committees
Dlamini DD,Province,KuaZulu-Natal,KwaZulu-Natal Provincial Legislature Committee,Transport,Alternate Member,committees
Gabela LS,Province,KuaZulu-Natal,KwaZulu-Natal Provincial Legislature Committee,Transport,Member,committees
Hlongwa L,Province,KuaZulu-Natal,KwaZulu-Natal Provincial Legislature Committee,Transport,Member,committees
Kaunda M,Province,KuaZulu-Natal,KwaZulu-Natal Provincial Legislature Committee,Transport,Member,committees
Keys R,Province,KuaZulu-Natal,KwaZulu-Natal Provincial Legislature Committee,Transport,Member,committees
Khawula  M,Province,KuaZulu-Natal,KwaZulu-Natal Provincial Legislature Committee,Transport,Alternate Member,committees
Ludidi ZM,Province,KuaZulu-Natal,KwaZulu-Natal Provincial Legislature Committee,Transport,Member,committees
Maharaj R,Province,KuaZulu-Natal,KwaZulu-Natal Provincial Legislature Committee,Transport,Alternate Member,committees
Mari G,Province,KuaZulu-Natal,KwaZulu-Natal Provincial Legislature Committee,Transport,Alternate Member,committees
Mazibuko MJ,Province,KuaZulu-Natal,KwaZulu-Natal Provincial Legislature Committee,Transport,Member,committees
Mncwango LA,Province,KuaZulu-Natal,KwaZulu-Natal Provincial Legislature Committee,Transport,Member,committees
Moodley S,Province,KuaZulu-Natal,KwaZulu-Natal Provincial Legislature Committee,Transport,Alternate Member,committees
Msimango NP,Province,KuaZulu-Natal,KwaZulu-Natal Provincial Legislature Committee,Transport,Alternate Member,committees
Ntuli B,Province,KuaZulu-Natal,KwaZulu-Natal Provincial Legislature Committee,Transport,Member,committees
Shabalala LF,Province,KuaZulu-Natal,KwaZulu-Natal Provincial Legislature Committee,Transport,Member,committees
Singh A,Province,KuaZulu-Natal,KwaZulu-Natal Provincial Legislature Committee,Transport,Member,committees
,Province,KuaZulu-Natal,KwaZulu-Natal Provincial Legislature Committee,Works,Alternate Member,committees
Blose HM,Province,KuaZulu-Natal,KwaZulu-Natal Provincial Legislature Committee,Works,Alternate Member,committees
Combrinck HL,Province,KuaZulu-Natal,KwaZulu-Natal Provincial Legislature Committee,Works,Alternate Member,committees
Downs JM,Province,KuaZulu-Natal,KwaZulu-Natal Provincial Legislature Committee,Works,Alternate Member,committees
Hlongwa L,Province,KuaZulu-Natal,KwaZulu-Natal Provincial Legislature Committee,Works,Alternate Member,committees
Mari G,Province,KuaZulu-Natal,KwaZulu-Natal Provincial Legislature Committee,Works,Alternate Member,committees
Mazibuko J,Province,KuaZulu-Natal,KwaZulu-Natal Provincial Legislature Committee,Works,Alternate Member,committees
Shabalala NB,Province,KuaZulu-Natal,KwaZulu-Natal Provincial Legislature Committee,Works,Alternate Member,committees
Tambo VV,Province,KuaZulu-Natal,KwaZulu-Natal Provincial Legislature Committee,Works,Alternate Member,committees
Thakur-Rajbansi S,Province,KuaZulu-Natal,KwaZulu-Natal Provincial Legislature Committee,Works,Alternate Member,committees
,,,,,,
,,,,,,
